date,pos,ret_gross,cost,ret_net,eq_curve
2025-01-06,0.0,0.0,0.0,0.0,1.0
2025-01-07,0.0,0.0,0.0,0.0,1.0
2025-01-14,0.0,-0.0,0.0,-0.0,1.0
2025-01-21,0.0,0.0,0.0,0.0,1.0
2025-01-28,0.0,-0.0,0.0,-0.0,1.0
2025-02-04,0.0,-0.0,0.0,-0.0,1.0
2025-02-07,0.0,-0.0,0.0,-0.0,1.0
2025-02-11,0.0,-0.0,0.0,-0.0,1.0
2025-02-18,0.0,-0.0,0.0,-0.0,1.0
2025-02-19,0.0,0.0,0.0,0.0,1.0
2025-02-21,0.0,-0.0,0.0,-0.0,1.0
2025-02-25,0.0,0.0,0.0,0.0,1.0
2025-03-03,0.0,0.0,0.0,0.0,1.0
2025-03-04,0.0,-0.0,0.0,-0.0,1.0
2025-03-11,0.0,-0.0,0.0,-0.0,1.0
2025-03-12,0.0,-0.0,0.0,-0.0,1.0
2025-03-14,0.0,0.0,0.0,0.0,1.0
2025-03-18,0.0,0.0,0.0,0.0,1.0
2025-03-21,0.0,-0.0,0.0,-0.0,1.0
2025-03-25,0.0,-0.0,0.0,-0.0,1.0
2025-03-26,0.0,-0.0,0.0,-0.0,1.0
2025-04-01,0.0,-0.0,0.0,-0.0,1.0
2025-04-02,0.0,0.0,0.0,0.0,1.0
2025-04-08,0.0,-0.0,0.0,-0.0,1.0
2025-04-15,0.0,-0.0,0.0,-0.0,1.0
2025-04-22,0.0,0.0,0.0,0.0,1.0
2025-04-29,0.0,0.0,0.0,0.0,1.0
2025-05-02,0.0,0.0,0.0,0.0,1.0
2025-05-06,0.0,-0.0,0.0,-0.0,1.0
2025-05-09,0.0,-0.0,0.0,-0.0,1.0
2025-05-13,0.0,-0.0,0.0,-0.0,1.0
2025-05-14,0.0,-0.0,0.0,-0.0,1.0
2025-05-20,0.0,0.0,0.0,0.0,1.0
2025-05-27,0.0,0.0,0.0,0.0,1.0
2025-06-03,0.0,0.0,0.0,0.0,1.0
2025-06-04,0.0,0.0,0.0,0.0,1.0
2025-06-10,0.0,0.0,0.0,0.0,1.0
2025-06-17,0.0,-0.0,0.0,-0.0,1.0
2025-06-18,0.0,-0.0,0.0,-0.0,1.0
2025-06-20,0.0,-0.0,0.0005,-0.0005,0.9995
2025-06-23,1.0,0.0014397396351348846,0.0,0.0014397396351348846,1.0009390197653174
2025-06-24,1.0,0.012257831963513821,0.0005,0.01175783196351382,1.0127078925654422
2025-06-25,0.0,0.0,0.0005,-0.0005,1.0122015386191596
2025-06-26,1.0,0.00238989797464928,0.0,0.00238989797464928,1.0146205970262425
2025-06-27,1.0,-0.0021606954424401303,0.0,-0.0021606954424401303,1.012428310926442
2025-07-01,1.0,0.014244480476073296,0.0005,0.013744480476073295,1.0263436120793945
