date,pos,ret_gross,cost,ret_net,eq_curve
2025-01-07,0.0,-0.0,0.0,-0.0,1.0
2025-01-14,0.0,0.0,0.0,0.0,1.0
2025-01-21,0.0,0.0,0.0,0.0,1.0
2025-01-28,0.0,-0.0,0.0,-0.0,1.0
2025-02-04,0.0,0.0,0.0,0.0,1.0
2025-02-11,0.0,0.0,0.0,0.0,1.0
2025-02-18,0.0,0.0,0.0,0.0,1.0
2025-02-25,0.0,0.0,0.0,0.0,1.0
2025-02-27,0.0,0.0,0.0,0.0,1.0
2025-03-04,0.0,-0.0,0.0,-0.0,1.0
2025-03-11,0.0,-0.0,0.0,-0.0,1.0
2025-03-18,0.0,-0.0,0.0,-0.0,1.0
2025-03-25,0.0,-0.0,0.0,-0.0,1.0
2025-04-01,0.0,0.0,0.0,0.0,1.0
2025-04-08,0.0,-0.0,0.0,-0.0,1.0
2025-04-15,0.0,0.0,0.0,0.0,1.0
2025-04-22,0.0,0.0,0.0,0.0,1.0
2025-04-29,0.0,0.0,0.0,0.0,1.0
2025-05-06,0.0,-0.0,0.0,-0.0,1.0
2025-05-13,0.0,-0.0,0.0,-0.0,1.0
2025-05-20,0.0,-0.0,0.0,-0.0,1.0
2025-05-27,0.0,0.0,0.0,0.0,1.0
2025-06-03,0.0,-0.0,0.0,-0.0,1.0
2025-06-10,0.0,0.0,0.0,0.0,1.0
2025-06-17,0.0,-0.0,0.0,-0.0,1.0
2025-06-24,0.0,0.0,0.0,0.0,1.0
2025-07-01,0.0,0.0,0.0,0.0,1.0
