industry,ticker,variant,cagr,vol_ann,sharpe,max_dd,hit_rate,n_days,z_thr,cost_bps
Communication Services,XLC,long_only,-0.0007639732684477929,0.02091666737663451,-0.02606158891508045,-0.008279546616393407,0.03571428571428571,56,1.0,5
Communication Services,XLC,long_short,-0.054577625537261976,0.034775901137658084,-1.5961869052283346,-0.021827829576075986,0.05357142857142857,56,1.0,5
Consumer Cyclical,XLY,long_only,-0.004022188317063136,0.052477985196150545,-0.05045396319011375,-0.018723409595128748,0.05660377358490566,53,1.0,5
Consumer Cyclical,XLY,long_short,-0.03687045767626684,0.054858762909427074,-0.6572023125894523,-0.025620421755965128,0.05660377358490566,53,1.0,5
Energy,XLE,long_only,0.0,0.0,0.0,0.0,0.0,28,1.0,5
Energy,XLE,long_short,0.0,0.0,0.0,0.0,0.0,28,1.0,5
Financial Services,XLF,long_only,0.0,0.0,0.0,0.0,0.0,38,1.0,5
Financial Services,XLF,long_short,0.0,0.0,0.0,0.0,0.0,38,1.0,5
Healthcare,XLV,long_only,0.1530942716706194,0.04220951274696318,3.396697822125286,-0.0021606954424401303,0.08695652173913043,46,1.0,5
Healthcare,XLV,long_short,0.14998205799911912,0.0413618630178897,3.4000845059849034,-0.0021606954424401303,0.08695652173913043,46,1.0,5
Industrials,XLI,long_only,0.0,0.0,0.0,0.0,0.0,35,1.0,5
Industrials,XLI,long_short,0.0,0.0,0.0,0.0,0.0,35,1.0,5
Real Estate,XLRE,long_only,0.0,0.0,0.0,0.0,0.0,27,1.0,5
Real Estate,XLRE,long_short,0.0,0.0,0.0,0.0,0.0,27,1.0,5
Utilities,XLU,long_only,0.0,0.0,0.0,0.0,0.0,26,1.0,5
Utilities,XLU,long_short,0.0,0.0,0.0,0.0,0.0,26,1.0,5
Technology,XLK,long_only,-0.017640103561801235,0.05615616079216375,-0.2886620961241793,-0.02378064575611616,0.0759493670886076,79,1.0,5
Technology,XLK,long_short,0.2376284439280718,0.13786065377097992,1.613980341224233,-0.02378064575611616,0.10126582278481013,79,1.0,5
