feature,importance
to,0.006485675381117836
price,0.006266031403222973
in,0.006000596718864311
buy,0.004660565598731766
for,0.00462728268035284
astrazeneca,0.0044405369661655696
share price,0.004389898766271839
up,0.004357973202321582
on,0.004303986523866354
as,0.0038822156871132184
update,0.0038554779473197803
share,0.003621430066087083
by,0.003457149140199777
ceo,0.0033464786498862034
to buy,0.0030429587731820363
with,0.0029802261526512453
billion,0.0029646693374394497
and,0.002951979705224322
chief,0.0026761377454882457
uk,0.002589249186302649
oil,0.0025859998669359326
over,0.0025579036583455216
shire,0.002557389865850301
tesco,0.0025373165117810615
sales,0.00252762329282385
shell,0.0024967119912018172
as new,0.002493294721955325
bhp,0.0024582697852556954
inbev,0.0024497490952576227
centrica,0.002423262619552
from,0.0024171606639082676
cut,0.00237446943973054
the,0.0023542572132586406
rise,0.0023297647043184467
bhp billiton,0.0022276821483008637
sabmiller,0.0022211708283389787
group,0.002218227981079019
barclays,0.0021992927357542985
asda,0.002196687653263188
fall,0.0021950775222810874
falls,0.0021879399779804686
drug,0.0021366635469524534
after,0.0021280357521188406
shares,0.0021107562202181754
shareholders,0.0020977300982143437
cancer,0.002093671710748183
names,0.002057883358206493
takeover,0.0020130535562284143
faces,0.001972196845081484
hit,0.00196080273384543
plc,0.00194799419047254
ahead,0.0019375756890518808
assets,0.001926352787678425
hsbc,0.0019204171967778134
posts,0.001913592813161856
rival,0.0019092855714584209
billiton,0.0018841643248042918
sells,0.00187601720969847
royal,0.0018661989326001173
growth,0.0018634374632708847
offer,0.0018586529001506933
buys,0.0018245316544656803
deal,0.0018217069747709705
life,0.0018127948813090177
deals,0.0017810893373216795
mail,0.0017617056044868528
britain,0.001758189745900992
hit by,0.001745163446175433
ftse,0.001736044434022364
stake in,0.0017222054999390707
plc set,0.0017208603552821995
itv,0.0017159804780807766
it,0.0017083198130092973
us,0.0017005935280358497
dividend,0.0016960960695344093
carphone,0.0016929164334805193
jumps,0.0016891621286170035
paul compton,0.001688666243533531
cancer drug,0.001681357299871702
royal mail,0.0016748828258171164
chairman,0.0016722295072976994
new ceo,0.0016514681863643381
interim,0.0016500259291847405
tough,0.0016489808919555012
hospitalized,0.0016423191141742872
surges,0.0016334335963728713
glencore,0.0015983759914243692
morrisons,0.0015901337747356039
aviva,0.001585239688828271
to boost,0.0015847566969901315
lifts,0.0015800951956856557
london,0.001578469803925349
dixons carphone,0.0015763578542095848
ab,0.0015736639415248146
friends,0.0015702622762288057
set to,0.0015697626925758716
lower,0.0015683768490414203
expects,0.0015675636477999345
centrica plc,0.0015587968237598293
bg,0.0015469061157044651
set,0.0015348747187632513
ecb,0.001526163935171503
plan,0.0015005864861936896
price jumps,0.0014995350989760155
lingus,0.0014864616387145091
sankyo to,0.0014851150658261993
higher,0.0014831001122316105
movantik in,0.0014658296704936572
dixons,0.0014629121762578681
board,0.0014555837307826116
ceo walden,0.001441806447644066
today,0.0014396486655440615
aer lingus,0.0014348348622671757
sankyo,0.0014279743557035654
are,0.001425350566261126
daiichi,0.0014245400713359026
ftse lower,0.0014236162397033255
citigroup,0.0014222963780597174
valeant,0.0014078865880280884
sainsbury cfo,0.0014028707446650682
ab inbev,0.0013942883511233418
britain ftse,0.001387817933916993
compton,0.0013872970744737668
more,0.0013860438475123162
sainsbury,0.0013830455439413118
lse,0.0013800824258631708
appoints,0.001379263402825846
aer,0.0013779193846721845
jpmorgan paul,0.0013738989024745418
movantik,0.001373660137312114
report,0.0013693609393263494
deutsche,0.001369301998356374
10,0.0013636800092394594
daiichi sankyo,0.001363032766474001
at,0.0013533595629228216
profits,0.0013448714982815379
of,0.0013416792124920018
retail,0.0013414632994834278
debt,0.0013413058423405097
insurance,0.0013382225252721008
update bp,0.001338144962207236
john,0.0013332542544249642
strategy,0.001332908655561472
in the,0.0013228900605846343
against,0.0013210112151755343
american,0.0013188936356892348
will,0.001317832460995085
ipo,0.0013145109642331123
new coo,0.0013128923697613745
paul,0.0013121255066669477
cfo,0.00131142835141743
spirits,0.0013112255653901963
oil falls,0.001310365899093667
cut petrol,0.001306877917392282
prices as,0.0013042200825666098
walden,0.001303113070238359
approves,0.00129620691064088
standard,0.001290072730774362
should,0.0012869794178466181
friends life,0.001283393180074264
gsk,0.0012755697766308374
tax,0.0012720749894640539
stake,0.001271532038103396
slides,0.0012712439034402799
prices,0.0012712085223545672
reports,0.001265871399275075
unit,0.0012656474755833788
off,0.0012643647022656161
business,0.0012595548430455535
blinkbox,0.0012583333702803712
barclays appoints,0.0012565139745546155
home retail,0.0012547487131398334
kantar,0.0012483223738205746
compton as,0.0012482525975049822
taking,0.001247357912663055
drive,0.0012439841323813683
you buy,0.0012400378795828619
british,0.0012385237229229204
general,0.001237177063407546
million,0.001235661561901768
all,0.0012351519234480744
petrol,0.0012341248391782643
its,0.001231797838209988
based,0.001230367057607666
down,0.0012220126095457756
drops,0.0012147459177815098
asda tesco,0.0012107528959859706
pearson,0.0012095280255666578
