feature,importance
to,0.04158263863251559
is,0.03751889505183752
from,0.03192358429392007
and,0.027888749071730275
the,0.027159237904338728
in,0.019981104404145956
eur,0.019763902064430447
profit,0.01935623716601396
year,0.018413414820029648
mn,0.018226685901669037
up,0.016905878069968995
from eur,0.016406022306456804
by,0.015751794760102456
sales,0.015497639504268426
to eur,0.014936877743200684
rose,0.014421101977371913
down,0.014383449200201808
will,0.014039131754660093
be,0.013825576852423565
increased,0.013692196090586186
period,0.013455572741391031
of the,0.012827251646645004
decreased,0.012467483302396326
will be,0.012105965943971075
net,0.012077695121346651
finnish,0.01150647108873166
mn in,0.0112823188190172
rose to,0.011262970182765475
operating,0.010624058834451767
in the,0.01037970955263937
compared,0.009714674396842584
loss,0.009603740783993432
up from,0.009594449096947039
profit rose,0.009472253244530545
finland,0.009346849771125315
business,0.008965229072852307
increase,0.00886437582860669
compared to,0.008741113754267086
fell,0.008428260782972478
the corresponding,0.008380972643597348
down from,0.008284726969183209
corresponding,0.008268605779800079
as,0.00811630085423199
of,0.0077110799951916695
has,0.007355067525136953
quarter,0.007295088895691691
value,0.007103252163386084
eur mn,0.0070838352313341985
said,0.007050108726672863
corresponding period,0.006936818912593801
not,0.006876454637181939
oyj,0.006811908197888729
grew,0.0067633541864799114
operating profit,0.006690152787580982
decreased to,0.006583095486306227
it,0.00655100413164971
net profit,0.006486322791224114
are,0.006438582954352085
about,0.006336481171781625
company,0.006272091447124101
include,0.006220334682235986
its,0.006190676117181747
an,0.006185286302007921
contract,0.006167243798031775
value of,0.006124173903626042
includes,0.0060626947023052795
mn up,0.006047915529960427
year earlier,0.005829559334521988
with,0.00574492690555601
period in,0.00566544162856842
the contract,0.005617158642292621
group,0.005567987989595142
increased by,0.0055582856188466255
loss of,0.005489941496940365
services,0.005451581380919796
2010,0.0054352070299747875
for,0.005420874907999432
mn from,0.00533958472343136
mn down,0.005328575929111553
2008,0.005296297986487484
as well,0.005269018561217526
production,0.005212124362607642
earlier,0.005185242435777784
well as,0.0051488630548194875
under,0.005097765681749482
percent,0.005077648413510344
corporation,0.005072059618901018
development,0.005057974601083746
rights,0.005028584213526106
other,0.0049702142074754055
helsinki,0.004898969651082548
profit of,0.004881155633499454
all,0.004861674004676285
board,0.00481634564623046
for the,0.004796880811315919
total,0.00462189659183493
were,0.0045785984599131194
2005,0.004572967972471482
products,0.004448444634654982
the first,0.0044361004752121735
on the,0.004410551132827281
order,0.00440187862160418
same period,0.004386957924762268
decreased by,0.0043804255410283335
both,0.004310062576361405
the board,0.004299718238232409
2009,0.00429758894774054
oy,0.004243425244448384
new,0.004210496514066468
year on,0.0041965486099885315
per,0.004170958618896109
com,0.00415429785977803
the same,0.004138901121388344
our,0.004124214224589148
same,0.004114249313437072
months,0.004111186261979852
start,0.00410970602004224
the order,0.004106537230232456
first,0.004019070931597519
exchange,0.004016963025611509
net sales,0.003981488693528085
project,0.003978918065554768
won,0.003975894997807843
disclosed,0.003931987358879793
approximately,0.003913932488637533
2007,0.0038989629083738186
quarter of,0.00385657164906189
the company,0.003823011295474102
one,0.003799555554036253
fell to,0.0037934340501515804
that,0.003789781760413733
months of,0.0037894797594899333
net loss,0.003777215733430639
today,0.0037516074446309047
information,0.0037470251236659843
to increase,0.0037378601570747507
at,0.0037373984648945402
service,0.003735331346198494
the business,0.0037206102835656042
on year,0.0037049613983569313
of 2008,0.0037048167587055204
headquartered,0.0037042461787880052
share,0.003676497435370474
transaction,0.0036529966147406767
shares,0.0036410508883166553
report,0.0036408448320787794
headquartered in,0.0036093699781404795
the value,0.003597116338722012
unit,0.003574173106058854
its net,0.0035655486742027947
growth,0.0035572150502178267
voting,0.003544195502193784
in 2009,0.0035433300435165943
half,0.0035429259059525436
deal,0.0035350652733380354
www,0.0035280681969955038
no,0.0035151987554809363
construction,0.0035013746666299793
mln,0.0034965548682843067
nine months,0.003472609189982706
sales increased,0.003472522059244371
employees,0.0034720887612607002
stake,0.003442141400879389
provides,0.003440980606573359
also,0.003435269058262932
technology,0.003430459362394096
an increase,0.003423430855362098
nine,0.003416532634254729
people,0.003402707523695803
2010 from,0.0033950059122681876
the transaction,0.003389222877682892
per share,0.0033762548655756866
the share,0.003375388489782
related,0.003365238032603201
well,0.003353407170465025
such,0.0033533560156021307
the deal,0.003348068585635133
used,0.003344223114136005
the new,0.0033304620012950693
annual,0.00330778004120619
voting rights,0.003278825588159972
rise,0.0032589513405855085
respectively,0.003230111546659101
have,0.003226758082431532
maker,0.0032103363428384085
earnings,0.003207409353712041
narrowed,0.003201665621728378
share capital,0.0032008696433494365
option,0.003188855891737322
price,0.003183484058317497
result,0.003182269401102562
to the,0.003177628796715621
mln eur,0.0031648177921070643
by the,0.003164082564227967
than,0.003155703999619187
plc,0.0031536861720021466
11,0.0031232437717535365
nokia,0.0031108777072552884
office,0.003104938713643099
profit decreased,0.0030860248682778924
first nine,0.003085184325614389
into,0.0030467199871409773
sales decreased,0.003045781856249542
eps,0.003036668062681641
mn compared,0.003033353316917878
more,0.003032302147235006
fell by,0.0030169016249553464
to profit,0.003016515293012216
profit fell,0.0030142048392567994
first half,0.0030139759541828954
increased to,0.0030136796828436306
operates,0.0030123265416254733
the project,0.0030112111610613645
2004,0.002974405524345011
the total,0.0029671720130258596
pretax,0.002963592351167255
awarded,0.0029434604373671093
period of,0.00293639502066685
in 2005,0.0029205533421160466
their,0.002917214974429041
and it,0.0028844958427871833
second quarter,0.0028789354715801655
14,0.0028606287300480837
operating loss,0.0028414395740731786
and voting,0.0028365102451596113
research,0.0028218965670307795
ltd,0.00279605710236682
any,0.0027938896414210607
million from,0.002789192678880031
based,0.0027859228574343827
rose by,0.0027745119769900938
dropped,0.0027617356342942386
covers,0.0027508071400767736
on,0.0027482406524174602
capman,0.0027480016819718374
take,0.0027397758053600845
period increased,0.0027325960383754754
board of,0.002730316441742221
part of,0.0027243161827825058
positive,0.002722997016292658
media,0.002713267661182561
second,0.002710865970537791
responsible,0.0027067746727427837
narrowed to,0.0026906328555799117
of 2010,0.002676827854275128
release,0.0026652076054367265
year to,0.0026448849174021375
grew by,0.0026290419538360795
savings,0.002620182192467489
responsible for,0.00261330005764639
to be,0.0026123773904893005
can,0.002597914658928061
the year,0.002594071951892439
investment,0.002581213769812969
such as,0.0025693577007403633
chairman,0.0025678992468482144
last year,0.002566372032316333
stake in,0.00256554099929098
the second,0.0025647947315191027
employs,0.0025612175090828668
loss narrowed,0.002556852774277604
in 2008,0.002550265324224848
and is,0.0025304089091400307
profit for,0.002518755285024414
details,0.002517014069431873
between,0.0025079014168773624
percent to,0.0025069927479790255
part,0.0025065551103507617
or,0.0025042492714763163
and the,0.0025031764603699316
in 2010,0.002502886918899639
global,0.002499642242717996
euro,0.0024944286207987457
lower,0.002489090618311208
design,0.002487299335536869
developed,0.002486191504879119
improved,0.002485835600364634
europe,0.002483788077838366
directors,0.0024828313544734805
in finland,0.0024701768232862132
ago,0.0024684698051061923
some,0.002467500989117461
of eur,0.0024664182366844413
prices,0.00246390520371524
usa,0.0024620170811899753
engineering,0.0024527086033171415
increased respectively,0.0024502659057085334
president,0.002446852246529084
area,0.0024462014967008864
had,0.002443301795619195
including,0.0024422471337316315
hel,0.00244018984408457
each,0.0024362040098850134
half of,0.002428056793796275
center,0.0024216829842224996
content,0.002412689045070643
profit and,0.0024049276666554204
earnings per,0.002394180116209124
power,0.002388760532395916
slipped to,0.0023882610928646357
about eur,0.0023842595363809515
made,0.0023766007420474356
around,0.002374590264597458
worth,0.0023717320411262986
respectively from,0.002365797607410734
not disclosed,0.002365572959122777
said today,0.0023588918718423727
stock,0.0023525162157492937
billion,0.0023522653118202897
mln for,0.0023488122975394215
slipped,0.0023469415183114462
year ago,0.0023463786441906597
million,0.00234566711470713
markets,0.002344374812546317
and its,0.00233808986654921
15,0.0023048536310386085
last,0.002303988878754979
pct,0.0023011676395451237
is about,0.002293524540948712
strong,0.0022921505824124804
is expected,0.002288402364630972
steel,0.0022794007957599423
the report,0.0022788753516811756
announced,0.002277360837104722
is part,0.0022770582262859056
distribution,0.002256433498757678
number,0.0022563390453190207
previous year,0.002254755582772712
two,0.002246161675363567
through,0.0022446612993679963
in 2004,0.0022434153099022383
and net,0.0022383553400831184
resources,0.002235891885654462
agreement,0.0022318469213605855
subscribed,0.0022264808597010468
000,0.0022256089784296663
based on,0.002219220172280826
inc,0.0022166740438883796
may,0.0022132013373526477
plant,0.002212129019452827
following,0.0022114154487085846
market in,0.002197059306833378
maintenance,0.0021869863055588644
