method,frac_removed,prob,example_idx
IG,0.0,0.8369767665863037,0
IG,0.1,0.8899863362312317,0
IG,0.3,0.8131292462348938,0
IG,0.5,0.6773192286491394,0
IG,0.0,0.881271481513977,1
IG,0.1,0.8686578273773193,1
IG,0.3,0.8438827395439148,1
IG,0.5,0.864858090877533,1
IG,0.0,0.6366661190986633,2
IG,0.1,0.6335256099700928,2
IG,0.3,0.08642566949129105,2
IG,0.5,0.05210912972688675,2
IG,0.0,0.9255444407463074,3
IG,0.1,0.6437037587165833,3
IG,0.3,0.3091520667076111,3
IG,0.5,0.2398635894060135,3
IG,0.0,0.9365779161453247,4
IG,0.1,0.9378052353858948,4
IG,0.3,0.9447633028030396,4
IG,0.5,0.9408429861068726,4
IG,0.0,0.930913507938385,5
IG,0.1,0.9409588575363159,5
IG,0.3,0.90821772813797,5
IG,0.5,0.8433576822280884,5
IG,0.0,0.671546220779419,6
IG,0.1,0.053921740502119064,6
IG,0.3,0.026705952361226082,6
IG,0.5,0.03257722780108452,6
IG,0.0,0.9524285793304443,7
IG,0.1,0.9390318393707275,7
IG,0.3,0.930158257484436,7
IG,0.5,0.9101909399032593,7
IG,0.0,0.8879339098930359,8
IG,0.1,0.05568167567253113,8
IG,0.3,0.05664210021495819,8
IG,0.5,0.11163945496082306,8
IG,0.0,0.43152913451194763,9
IG,0.1,0.15433071553707123,9
IG,0.3,0.01577604003250599,9
IG,0.5,0.00987800769507885,9
IG,0.0,0.9081827402114868,10
IG,0.1,0.9232403635978699,10
IG,0.3,0.9403246641159058,10
IG,0.5,0.9412292838096619,10
IG,0.0,0.7115058898925781,11
IG,0.1,0.40682822465896606,11
IG,0.3,0.1597091257572174,11
IG,0.5,0.22947761416435242,11
IG,0.0,0.9194586873054504,12
IG,0.1,0.8105466365814209,12
IG,0.3,0.13450250029563904,12
IG,0.5,0.6364504098892212,12
IG,0.0,0.7762134075164795,13
IG,0.1,0.42812374234199524,13
IG,0.3,0.07830853015184402,13
