class,rank,dim,coef,sign
0,1,178,0.25001530876114203,top
0,2,260,0.24043189708878454,top
0,3,593,0.2252587008997171,top
0,4,711,0.2173974160864221,top
0,5,344,0.21739606075592394,top
0,6,738,0.2097872506187909,top
0,7,185,0.20040456865628323,top
0,8,327,0.19743771962642076,top
0,9,318,0.18965347960457513,top
0,10,359,0.18278043298494637,top
0,11,41,0.17086682379480347,top
0,12,557,0.17055033363009872,top
0,13,50,0.16796884605077222,top
0,14,284,0.16447514810108613,top
0,15,735,0.15771823544953212,top
0,16,249,0.15421227621441602,top
0,17,727,0.15229609931366153,top
0,18,653,0.151282268938104,top
0,19,692,0.15005803109633936,top
0,20,643,0.14810886078637273,top
0,1,48,-0.30582071825638735,bottom
0,2,194,-0.26069758516367275,bottom
0,3,288,-0.23760503077578568,bottom
0,4,733,-0.23548378589896485,bottom
0,5,714,-0.22771812184607862,bottom
0,6,686,-0.21967230360057852,bottom
0,7,22,-0.19730207777316652,bottom
0,8,182,-0.18060777777897707,bottom
0,9,62,-0.18043891645680105,bottom
0,10,187,-0.1761695772052125,bottom
0,11,250,-0.17094013956175486,bottom
0,12,413,-0.17073911815072454,bottom
0,13,641,-0.16436450974761188,bottom
0,14,708,-0.15739863301713003,bottom
0,15,315,-0.15737367052583143,bottom
0,16,766,-0.1521103966603642,bottom
0,17,536,-0.1472629093974855,bottom
0,18,481,-0.14388386776547832,bottom
0,19,602,-0.14176807062165803,bottom
0,20,446,-0.14107931584158076,bottom
1,1,503,0.18243188261538287,top
1,2,689,0.17111791703940857,top
1,3,462,0.16705370223380162,top
1,4,379,0.16386505734265275,top
1,5,430,0.14885575309039878,top
1,6,364,0.14772104991153057,top
1,7,535,0.14737748174798582,top
1,8,470,0.1430408090835213,top
1,9,413,0.14100409336434777,top
1,10,233,0.13919066818126338,top
1,11,627,0.1354657471395642,top
1,12,313,0.13093996701499616,top
1,13,65,0.12789890514507288,top
1,14,75,0.12390761715270028,top
1,15,672,0.11917464089038662,top
1,16,69,0.11836015230267462,top
1,17,499,0.11439979560379147,top
1,18,20,0.10771333564017008,top
1,19,468,0.10708977065262407,top
1,20,378,0.10651996969453424,top
1,1,331,-0.17198394626472413,bottom
1,2,735,-0.16198543147847294,bottom
1,3,318,-0.15349713603564485,bottom
1,4,268,-0.15333316050960766,bottom
1,5,697,-0.15081518423229578,bottom
1,6,669,-0.149932673503927,bottom
1,7,113,-0.14401367118254618,bottom
1,8,681,-0.13927925094370003,bottom
1,9,325,-0.1376514884290677,bottom
1,10,297,-0.13677217146015952,bottom
1,11,483,-0.13623658235089248,bottom
1,12,711,-0.1346941632819097,bottom
1,13,767,-0.12249956529090664,bottom
1,14,671,-0.12189922669713162,bottom
1,15,230,-0.12145034140337971,bottom
1,16,165,-0.11966591724523282,bottom
1,17,554,-0.11965437113506004,bottom
1,18,43,-0.11797547670847641,bottom
1,19,608,-0.11708927702805635,bottom
1,20,135,-0.11387824457245106,bottom
2,1,733,0.3067976378568502,top
2,2,608,0.2512970001940005,top
2,3,48,0.23763575320342806,top
2,4,194,0.225428109289159,top
2,5,187,0.21488398101577696,top
2,6,356,0.21269349879741592,top
2,7,714,0.19807016910711225,top
2,8,11,0.19175808884751322,top
2,9,32,0.18798182378034392,top
2,10,71,0.18403410420512328,top
2,11,697,0.1838162905170605,top
2,12,158,0.1807443791140163,top
2,13,708,0.17746018354132895,top
2,14,288,0.1719204403211701,top
2,15,761,0.17170328287949682,top
2,16,645,0.17134706622433732,top
2,17,113,0.1701906194219917,top
2,18,444,0.16946073853030613,top
2,19,539,0.16726594258110936,top
2,20,220,0.16371878344693178,top
2,1,260,-0.30413930500808034,bottom
2,2,593,-0.2968457158911926,bottom
2,3,178,-0.24531312074311493,bottom
2,4,627,-0.21720379295218492,bottom
2,5,41,-0.20393914911291472,bottom
2,6,611,-0.20309209178213658,bottom
2,7,503,-0.2003123468280664,bottom
2,8,379,-0.19464686932599584,bottom
2,9,643,-0.18383682354380382,bottom
2,10,184,-0.18340483648960956,bottom
2,11,249,-0.17959524729517226,bottom
2,12,327,-0.17758545239001863,bottom
2,13,216,-0.1763826478194041,bottom
2,14,359,-0.17184796084832152,bottom
2,15,185,-0.17099951978156466,bottom
2,16,378,-0.170732671695602,bottom
2,17,442,-0.16472996964898498,bottom
2,18,484,-0.1639525576545409,bottom
2,19,644,-0.15652301747401917,bottom
2,20,101,-0.1534734883502539,bottom
