class,rank,dim,coef,sign
0,1,216,0.19999590966031433,top
0,2,403,0.18698144156965701,top
0,3,141,0.16933937072308114,top
0,4,150,0.16860187329280554,top
0,5,382,0.16427957996229134,top
0,6,104,0.15936490494499425,top
0,7,600,0.15801245507347025,top
0,8,485,0.15523095460119535,top
0,9,202,0.15067457678956298,top
0,10,56,0.15026189636174903,top
0,11,304,0.1439769092440657,top
0,12,427,0.14219035066268323,top
0,13,46,0.1397477732052005,top
0,14,80,0.13963384854781744,top
0,15,435,0.12787964818893902,top
0,16,481,0.12613429435822793,top
0,17,506,0.1256150425963623,top
0,18,518,0.12110838838225418,top
0,19,267,0.11945627607822311,top
0,20,221,0.11922908909346246,top
0,1,451,-0.21295968128319293,bottom
0,2,297,-0.17916186419444893,bottom
0,3,355,-0.1709182617463779,bottom
0,4,66,-0.16604599301362646,bottom
0,5,395,-0.16303800281560285,bottom
0,6,491,-0.15414863140899024,bottom
0,7,537,-0.14929760902197473,bottom
0,8,172,-0.14830092213231025,bottom
0,9,41,-0.14679510822257857,bottom
0,10,121,-0.1459911503537052,bottom
0,11,11,-0.14203252642913433,bottom
0,12,688,-0.13985161283141526,bottom
0,13,182,-0.13363385492553478,bottom
0,14,93,-0.1278770585620469,bottom
0,15,238,-0.12372298775983415,bottom
0,16,102,-0.12300432130186721,bottom
0,17,714,-0.1225087251740658,bottom
0,18,341,-0.12199673279801414,bottom
0,19,738,-0.12174030215642355,bottom
0,20,717,-0.12153765147195769,bottom
1,1,205,0.15597147696906105,top
1,2,207,0.14533935630361527,top
1,3,537,0.13718957734251103,top
1,4,625,0.1330476448437126,top
1,5,389,0.13199472360223008,top
1,6,589,0.1236889891829125,top
1,7,404,0.1142837643305278,top
1,8,451,0.11399076400505283,top
1,9,372,0.11034592480685344,top
1,10,735,0.10973683006454123,top
1,11,249,0.1093235749173936,top
1,12,491,0.10877316592624317,top
1,13,678,0.10729917813585219,top
1,14,69,0.10721301783321459,top
1,15,430,0.10518808803997456,top
1,16,486,0.10464455644511061,top
1,17,659,0.1045834978685281,top
1,18,487,0.10317936211648918,top
1,19,637,0.10299973958984182,top
1,20,498,0.10293608121951207,top
1,1,739,-0.145607340273514,bottom
1,2,648,-0.139599900446264,bottom
1,3,733,-0.13859376387981204,bottom
1,4,288,-0.13463050882251662,bottom
1,5,692,-0.13011039979568473,bottom
1,6,111,-0.1287864098430722,bottom
1,7,697,-0.126083161354579,bottom
1,8,413,-0.1252784742788659,bottom
1,9,497,-0.12146720115220162,bottom
1,10,90,-0.12118172422103454,bottom
1,11,105,-0.12048506719440458,bottom
1,12,544,-0.1192392007712689,bottom
1,13,27,-0.11729022225943155,bottom
1,14,536,-0.1134151727594092,bottom
1,15,403,-0.11340503570169608,bottom
1,16,12,-0.11306151883996196,bottom
1,17,434,-0.10793125739959263,bottom
1,18,35,-0.10558083125801151,bottom
1,19,748,-0.1037393397337735,bottom
1,20,514,-0.10271434250468772,bottom
2,1,41,0.23265347318736182,top
2,2,648,0.2005167019260511,top
2,3,697,0.1884192209320828,top
2,4,27,0.17335086737989575,top
2,5,738,0.1723227323376835,top
2,6,650,0.17037479425590848,top
2,7,437,0.1673182718845299,top
2,8,255,0.16636693230225758,top
2,9,717,0.1643969585976896,top
2,10,37,0.15353459807801326,top
2,11,327,0.15269278605576492,top
2,12,11,0.15089328885373104,top
2,13,341,0.14645992333116797,top
2,14,57,0.144512034922639,top
2,15,395,0.1429915516544312,top
2,16,238,0.14163823342744417,top
2,17,732,0.1406916726408773,top
2,18,101,0.1385174931516991,top
2,19,355,0.13818387072408259,top
2,20,66,0.1348717010108866,top
2,1,498,-0.2078802719495317,bottom
2,2,485,-0.2069398812413026,bottom
2,3,382,-0.19987694681306567,bottom
2,4,384,-0.198937433699348,bottom
2,5,735,-0.19314909046795659,bottom
2,6,216,-0.19191787534124016,bottom
2,7,150,-0.19089625505528285,bottom
2,8,518,-0.1891619097191573,bottom
2,9,506,-0.18662951479734502,bottom
2,10,104,-0.1791713873769355,bottom
2,11,520,-0.1774117745071903,bottom
2,12,641,-0.16775121197593315,bottom
2,13,439,-0.16602281202950867,bottom
2,14,402,-0.15337786518912783,bottom
2,15,277,-0.15102057422254206,bottom
2,16,435,-0.1493443656878758,bottom
2,17,360,-0.14648733155201435,bottom
2,18,356,-0.1464816891396441,bottom
2,19,181,-0.1440646555381941,bottom
2,20,398,-0.142275641595864,bottom
