class,rank,dim,coef,sign
0,1,700,0.3430777629220392,top
0,2,58,0.3348637652506809,top
0,3,536,0.27180947583028825,top
0,4,698,0.2664472090858757,top
0,5,47,0.25507918956214554,top
0,6,277,0.245946572066956,top
0,7,411,0.24317740517043265,top
0,8,564,0.2427589533413414,top
0,9,132,0.24180715723422386,top
0,10,767,0.2368292370823479,top
0,11,76,0.2289180755038729,top
0,12,487,0.22346341691611984,top
0,13,431,0.21656993031857277,top
0,14,462,0.21649239938151954,top
0,15,663,0.21491169560070655,top
0,16,88,0.2143211440187696,top
0,17,417,0.20933998148468966,top
0,18,161,0.2051081862191771,top
0,19,412,0.20003128031497833,top
0,20,613,0.20002381706737335,top
0,1,625,-0.27410463604699176,bottom
0,2,233,-0.26274020613585064,bottom
0,3,591,-0.2536964362255508,bottom
0,4,118,-0.25138710014536336,bottom
0,5,348,-0.24020842777025828,bottom
0,6,146,-0.23916245701817915,bottom
0,7,728,-0.22945785236549693,bottom
0,8,54,-0.2246296049154068,bottom
0,9,695,-0.22304507755458405,bottom
0,10,634,-0.2217819063190465,bottom
0,11,734,-0.21916710089031416,bottom
0,12,140,-0.21633617088475185,bottom
0,13,604,-0.21388258153541617,bottom
0,14,606,-0.2129280605121474,bottom
0,15,240,-0.21069580202119065,bottom
0,16,300,-0.20531333986940611,bottom
0,17,488,-0.2046560168460201,bottom
0,18,236,-0.2016009807181632,bottom
0,19,675,-0.19709363510889463,bottom
0,20,584,-0.19671760064621996,bottom
1,1,325,0.41810716676165377,top
1,2,736,0.3480672483370195,top
1,3,473,0.32691417358457886,top
1,4,231,0.29155127771204165,top
1,5,624,0.28913260515846434,top
1,6,213,0.2817263803126068,top
1,7,118,0.276132888278583,top
1,8,18,0.2628891075067241,top
1,9,206,0.2561138469384852,top
1,10,378,0.2550340463253417,top
1,11,463,0.25304470079465896,top
1,12,12,0.24730161402904047,top
1,13,297,0.24700139053366674,top
1,14,96,0.24486138099453544,top
1,15,742,0.2437304068369034,top
1,16,41,0.24175658724971444,top
1,17,616,0.23854612524440835,top
1,18,153,0.23210405885994936,top
1,19,143,0.2319122041410225,top
1,20,453,0.231892979187692,top
1,1,47,-0.39851243275960113,bottom
1,2,379,-0.3735045084974716,bottom
1,3,507,-0.3651062879889815,bottom
1,4,288,-0.34418664968819745,bottom
1,5,317,-0.34361100382088944,bottom
1,6,431,-0.3342185391521217,bottom
1,7,144,-0.33363908771736084,bottom
1,8,161,-0.30655874008325373,bottom
1,9,225,-0.3064806951339389,bottom
1,10,700,-0.2850213191845097,bottom
1,11,3,-0.2847466858495847,bottom
1,12,191,-0.27831686899733526,bottom
1,13,539,-0.2755773387569574,bottom
1,14,469,-0.2502070069530414,bottom
1,15,524,-0.24703444520705095,bottom
1,16,58,-0.2354202539975948,bottom
1,17,719,-0.2313778764242832,bottom
1,18,374,-0.23129776697310048,bottom
1,19,105,-0.2271596395466791,bottom
1,20,608,-0.2255558693382957,bottom
2,1,288,0.43222323018373715,top
2,2,608,0.38491822245385143,top
2,3,144,0.3763723385464386,top
2,4,604,0.32345047582737196,top
2,5,507,0.29461143501414483,top
2,6,233,0.28111546727438524,top
2,7,448,0.27641935535857864,top
2,8,11,0.2687168557564612,top
2,9,191,0.26137334152915703,top
2,10,225,0.2608909440718709,top
2,11,38,0.25857806592858673,top
2,12,568,0.2580795917697838,top
2,13,120,0.2540784940912143,top
2,14,439,0.23590732444081242,top
2,15,683,0.23168646681455674,top
2,16,382,0.22960955104857714,top
2,17,317,0.22836836984786243,top
2,18,702,0.2142703190582165,top
2,19,438,0.21309036670496334,top
2,20,379,0.21207053651298552,top
2,1,564,-0.39726079790677793,bottom
2,2,325,-0.3469397556962869,bottom
2,3,624,-0.3306759649172318,bottom
2,4,386,-0.30095042842297776,bottom
2,5,514,-0.2843412991983499,bottom
2,6,487,-0.28087334751574583,bottom
2,7,116,-0.26802199309249497,bottom
2,8,96,-0.2604827928138622,bottom
2,9,554,-0.2562091356790356,bottom
2,10,736,-0.25261249251988416,bottom
2,11,12,-0.25112799868917907,bottom
2,12,595,-0.24842829310453662,bottom
2,13,290,-0.24707310045007302,bottom
2,14,88,-0.24472025308755452,bottom
2,15,14,-0.24345042864050717,bottom
2,16,637,-0.24328808566008522,bottom
2,17,248,-0.23731849137897798,bottom
2,18,437,-0.23719777380623244,bottom
2,19,297,-0.2359827914699274,bottom
2,20,216,-0.23185317933686758,bottom
