class,rank,token,mean_abs_shap
0,1,00 pm,0.0019056256833755083
0,2,00,0.0016834597576790952
0,3,000,0.0016584036255355664
1,1,00 pm,0.0018341149384088447
1,2,000,0.0017841906222038316
1,3,00,0.0015967161488616274
2,1,00 pm,0.0016791660344849186
2,2,00,0.0015675156847094723
2,3,000,0.001490943596430766
3,1,00 pm,0.001995394412586037
3,2,000,0.0018693247882698404
3,3,00,0.0014532926242971373
4,1,00,0.0023627770285306548
4,2,00 pm,0.0021593011989944955
4,3,000,0.0019144102405605845
5,1,00,0.0022743509228640188
5,2,00 pm,0.0021165905424209595
5,3,000,0.0017560005244600242
6,1,00,0.002087947552868505
6,2,00 pm,0.0018568419973975965
6,3,000,0.001507741161555569
7,1,00 pm,0.0020234359100948464
7,2,000,0.001656566197579464
7,3,00,0.0015855163629529883
8,1,00,0.002049185639780937
8,2,00 pm,0.001994457218767357
8,3,000,0.0019012557637720143
9,1,00,0.002149863458399086
9,2,00 pm,0.0019172447544078943
9,3,000,0.0017151444731305968
10,1,000,0.0019087196780806985
10,2,00 pm,0.0019001818795943409
10,3,00,0.0017906412788116948
11,1,00,0.0021119278710571175
11,2,00 pm,0.0017988698521072177
11,3,000,0.0017338051419843103
12,1,00 pm,0.0022144092566475696
12,2,000,0.001644622668865851
12,3,00,0.0016144086781594343
13,1,00 pm,0.0019711729044743238
13,2,00,0.0017395603281739067
13,3,000,0.0015247421391796163
14,1,00 pm,0.001920108332109248
14,2,000,0.0016052175034072264
14,3,00,0.0014290660872391357
15,1,00,0.002095831568224435
15,2,00 pm,0.002042673435613028
15,3,000,0.0015123532691539222
16,1,00 pm,0.0018019482012033156
16,2,00,0.0017550307801007287
16,3,000,0.001730983831451593
17,1,00 pm,0.0022825002393461117
17,2,000,0.0017982394855114332
17,3,00,0.0015549672312640363
18,1,000,0.0016268810652762782
18,2,00 pm,0.001551839774164925
18,3,00,0.001409042199360724
19,1,00,0.002146536540423757
19,2,00 pm,0.0019854563024183022
19,3,000,0.001960994883861655
20,1,00 pm,0.001704262415639919
20,2,000,0.0015365290451228903
20,3,00,0.0014005306167489903
21,1,00 pm,0.0020029751047879836
21,2,00,0.001935380192585785
21,3,000,0.0017024331823427528
22,1,000,0.001823758696194552
22,2,00 pm,0.001652136612979306
22,3,00,0.001375066855059835
23,1,000,0.0017997107037034882
23,2,00 pm,0.001741846022428978
23,3,00,0.0014968294006414433
24,1,00 pm,0.002007791762528315
24,2,00,0.0016601927671812168
24,3,000,0.001519695920296417
25,1,00,0.0023225704280656493
25,2,00 pm,0.00200431795805409
25,3,000,0.0016442113206122093
26,1,000,0.0017697997508375153
26,2,00 pm,0.0016660181158316063
26,3,00,0.0015469075911714147
27,1,00 pm,0.00186877668676268
27,2,00,0.0014859050791160638
27,3,000,0.0013346404193593227
28,1,00 pm,0.0017588777178195924
28,2,000,0.0015289370974351014
28,3,00,0.0015045503498571778
29,1,000,0.0019581523426711912
29,2,00 pm,0.0018771997117730155
29,3,00,0.0014505135760487118
30,1,00 pm,0.00198391651248042
30,2,000,0.0018157487725872815
30,3,00,0.001705420061009535
31,1,00 pm,0.001732478513863397
31,2,00,0.001708449122450189
31,3,000,0.0014562506428612506
32,1,000,0.0019849580139083864
32,2,00 pm,0.0018819805696351154
32,3,00,0.0015377722999241911
33,1,00,0.002224702333873848
33,2,00 pm,0.0019441699037473928
33,3,000,0.0018644636378637343
34,1,00 pm,0.002005085401627172
34,2,00,0.00158996659164152
34,3,000,0.0015529221586955216
35,1,00 pm,0.0019543605499489965
35,2,000,0.001880085177208002
35,3,00,0.001704009466254252
36,1,00,0.0020283765281182632
36,2,00 pm,0.001956744613969625
36,3,000,0.0016292731013746566
37,1,00,0.002064573260865227
37,2,00 pm,0.001956970075616792
37,3,000,0.0016422629214034733
38,1,000,0.00187132959545589
38,2,00 pm,0.0018314908861295353
38,3,00,0.0014860188946804224
39,1,00 pm,0.0020566918336000347
39,2,000,0.001824165662133973
39,3,00,0.0014731094250029283
40,1,00 pm,0.002112488485391593
