class,rank,token,mean_abs_shap
0,1,00 pm,0.0018477850868681282
0,2,000,0.0015126493870856682
0,3,00,0.001262350523222195
1,1,00 pm,0.002297641499677903
1,2,000,0.0018752142841650086
1,3,00,0.0015828193496952858
2,1,00 pm,0.0017032812036430294
2,2,000,0.0015697297956794901
2,3,00,0.0015502445795750703
3,1,00 pm,0.0020780974292621316
3,2,000,0.0020025522694888725
3,3,00,0.001998357704036537
4,1,00 pm,0.0022473843318759515
4,2,000,0.0017928842976643212
4,3,00,0.0014369106540078858
5,1,00 pm,0.0023358277216607194
5,2,000,0.0018383838508577992
5,3,00,0.0014315936908411374
6,1,00 pm,0.002263177948016076
6,2,000,0.001795387505910705
6,3,00,0.0014193584839494666
7,1,00 pm,0.0018710596558854783
7,2,000,0.001597702299071938
7,3,00,0.0013817677511649524
8,1,00,0.0020733272196790027
8,2,00 pm,0.0018058724789429788
8,3,000,0.0015663895443111264
9,1,00 pm,0.0020987933005176935
9,2,000,0.0015800707586177197
9,3,00,0.0014906337269587776
10,1,00 pm,0.001829611514604495
10,2,000,0.0017049787646153964
10,3,00,0.0015528588150779945
11,1,00 pm,0.001732544021645159
11,2,000,0.0016811162703526182
11,3,00,0.0012863672705195283
12,1,00 pm,0.002281431230696607
12,2,000,0.0018354073989543885
12,3,00,0.001669646344492253
13,1,00 pm,0.0017135118703560386
13,2,00,0.0016773330665462328
13,3,000,0.001287977583325469
14,1,00,0.002095025564940162
14,2,00 pm,0.0018741706725802858
14,3,000,0.0017687244475268207
15,1,00 pm,0.0021174330009458234
15,2,000,0.0018339810052730476
15,3,00,0.0015363872893986268
16,1,000,0.0019477415969101455
16,2,00 pm,0.0019057169404415753
16,3,00,0.0016676711846658184
17,1,00 pm,0.0019828316833541758
17,2,000,0.001810395998290604
17,3,00,0.0013975646307142298
18,1,000,0.001897095979455658
18,2,00 pm,0.0017730253516660638
18,3,00,0.001489698398839384
19,1,00 pm,0.0025247704509218597
19,2,000,0.0018529874940402748
19,3,00,0.0015029224124246804
20,1,00 pm,0.0019378831617530346
20,2,00,0.001917061456686637
20,3,000,0.0018783030301646197
21,1,00 pm,0.0018835985981931628
21,2,00,0.0018763218911297182
21,3,000,0.0014974553816135628
22,1,000,0.0019234618257022971
22,2,00 pm,0.0017135420377752805
22,3,00,0.0015829750425807344
23,1,000,0.001985447618643169
23,2,00 pm,0.0019110700172751658
23,3,00,0.0015557356505026955
24,1,000,0.001841013050617771
24,2,00 pm,0.0018136503208322817
24,3,00,0.0014953941348842445
25,1,00 pm,0.0021587939145018896
25,2,000,0.0020567016097232877
25,3,00,0.0016504746364965058
26,1,00 pm,0.001974178283796275
26,2,00,0.0017065967650511827
26,3,000,0.0015562752459714222
27,1,00 pm,0.0020082250372500227
27,2,000,0.0016063320189190376
27,3,00,0.0014712405874494183
28,1,00 pm,0.0019335549789307497
28,2,000,0.0016264787959498065
28,3,00,0.0013001411766860324
29,1,00 pm,0.002128777974629191
29,2,000,0.0016682027947961427
29,3,00,0.0015945670793464008
30,1,00 pm,0.0022120687008777996
30,2,000,0.0017023837099532087
30,3,00,0.0015933323376259778
31,1,00 pm,0.0021167167703855286
31,2,00,0.0021009638921041804
31,3,000,0.0017489426042746829
32,1,000,0.0020364216641578577
32,2,00 pm,0.0019038771912890818
32,3,00,0.0016710081891840333
33,1,00 pm,0.0020938052128739596
33,2,000,0.0017417942845086968
33,3,00,0.0016534342107204876
34,1,000,0.0019218651641187954
34,2,00 pm,0.0018005728209818377
34,3,00,0.001467539115789876
35,1,00,0.0018920649337871786
35,2,00 pm,0.0018029937492790595
35,3,000,0.0018001396424371884
36,1,00 pm,0.0023154394637274135
36,2,000,0.0018858976871285761
36,3,00,0.0015635351479285214
37,1,00,0.0022944978519445236
37,2,00 pm,0.0019648627653891357
37,3,000,0.0017208579137016203
38,1,00 pm,0.0020873757842676047
38,2,000,0.0018603293040207055
38,3,00,0.0015988055082999076
39,1,00 pm,0.0017549303870906929
39,2,000,0.0016391689948975548
39,3,00,0.0016125609438420116
40,1,00 pm,0.0018532453969433177
