class,rank,token,mean_abs_shap
0,1,00 pm,0.002139388877075025
0,2,000,0.00201868192867818
0,3,00,0.0016498650201871691
1,1,00,0.002374362253237987
1,2,00 pm,0.002186875024796601
1,3,000,0.0021761385951668388
2,1,00 pm,0.0025891336201247115
2,2,000,0.002158347884825303
2,3,00,0.001925289198418491
3,1,00 pm,0.0025625806540582677
3,2,000,0.0021618132707982465
3,3,00,0.0019225741265031463
4,1,000,0.0021968017481892306
4,2,00 pm,0.002178149529532527
4,3,00,0.0016028403499258191
5,1,00 pm,0.0020202327743348183
5,2,000,0.0018568242240454605
5,3,00,0.0017835191447212475
6,1,000,0.002229789283377057
6,2,00 pm,0.001969609229943613
6,3,00,0.0019496331192411188
7,1,00 pm,0.0024882387557470615
7,2,000,0.0021559913800325726
7,3,00,0.0020499740145579273
8,1,00,0.0023843805142117155
8,2,00 pm,0.0022551273090481694
8,3,000,0.0020305351951294902
9,1,00 pm,0.002161750682395936
9,2,000,0.0020719883497142834
9,3,00,0.002061177000271071
10,1,00,0.0027076812363914997
10,2,000,0.00232435840232038
10,3,00 pm,0.002235264525833721
11,1,00 pm,0.0023899562282206016
11,2,00,0.0023665535396875975
11,3,000,0.002213658484362321
12,1,00 pm,0.0022029769534679224
12,2,00,0.0021707981662796587
12,3,000,0.002098417464858405
13,1,00 pm,0.002445190644878339
13,2,000,0.002160564875011923
13,3,00,0.0017749039056034952
14,1,00 pm,0.0025699947553731047
14,2,000,0.002041767702050068
14,3,00,0.0018475849543107417
15,1,00 pm,0.0024036977804115754
15,2,000,0.001996303147115738
15,3,00,0.0019392569089994153
16,1,00,0.0024383066290313386
16,2,00 pm,0.0024076531585607293
16,3,000,0.002353091495101219
17,1,000,0.002330479023048729
17,2,00 pm,0.0021187649412522393
17,3,00,0.0018552545593183898
18,1,00 pm,0.002168337254468597
18,2,00,0.0021546787225716017
18,3,000,0.0018071845561966676
19,1,00 pm,0.002228819534093708
19,2,000,0.0022069348864774676
19,3,00,0.0017042880804552711
20,1,00 pm,0.002280761581138508
20,2,00,0.002021230178767346
20,3,000,0.002018550699813629
21,1,00 pm,0.0023133654498027328
21,2,000,0.002215323220440336
21,3,00,0.002110806829797283
22,1,00 pm,0.0022703842102670194
22,2,00,0.0022201625294748705
22,3,000,0.0021939678552818104
23,1,00 pm,0.002572002397627168
23,2,000,0.0018918583545813352
23,3,00,0.0017244850720342247
24,1,00 pm,0.002499354938671627
24,2,000,0.0020833071181674207
24,3,00,0.001959090354445301
25,1,00 pm,0.0023429835797680347
25,2,000,0.0020528487227175615
25,3,00,0.001824019174985121
26,1,00 pm,0.00221424291081341
26,2,00,0.0021396369777394084
26,3,000,0.0016050876390676313
27,1,000,0.0021320053575637457
27,2,00 pm,0.002102221077649882
27,3,00,0.001961123678328004
28,1,000,0.0022489909367586144
28,2,00 pm,0.0021075115910890196
28,3,00,0.002017489780057293
29,1,00 pm,0.002061245873521703
29,2,00,0.0019815651624394337
29,3,000,0.0019621553786887476
30,1,000,0.002490007635001828
30,2,00,0.002306846257526312
30,3,00 pm,0.002288581919009962
31,1,00 pm,0.0020650908878221837
31,2,000,0.001990572079828565
31,3,00,0.0018588234488051277
32,1,00 pm,0.0022630145516760953
32,2,000,0.0020678047182931974
32,3,00,0.0019667629414496604
33,1,00 pm,0.002263189455606544
33,2,000,0.0022546895144534493
33,3,00,0.0018723508011860793
34,1,00 pm,0.0021911311866221295
34,2,000,0.0019625073330137343
34,3,00,0.0018978943131048543
35,1,00 pm,0.0024760870629663635
35,2,00,0.002220863545311087
35,3,000,0.00207326647251423
36,1,00 pm,0.002405804197228017
36,2,000,0.002278202822683273
36,3,00,0.0020774698145928205
37,1,000,0.002599490026677215
37,2,00,0.002323487141718854
37,3,00 pm,0.0022445366836122142
38,1,000,0.0023614485173782582
38,2,00 pm,0.002256673389057274
38,3,00,0.0017905307352249044
39,1,000,0.0024448990559319157
39,2,00 pm,0.002290986275933803
39,3,00,0.0021631779777748343
40,1,00 pm,0.0024807822230169577
40,2,00,0.0021927547227368798
40,3,000,0.002042456031929576
41,1,00 pm,0.0025601743891999983
41,2,000,0.002060060945441505
41,3,00,0.0019378797709414556
42,1,00 pm,0.0022486814004708893
42,2,000,0.002044714618635672
42,3,00,0.0020260067362358144
43,1,00,0.0023076693194262316
43,2,00 pm,0.002205680838336747
43,3,000,0.0016974615770495964
44,1,00 pm,0.00247185213232905
44,2,000,0.0020412484630227966
44,3,00,0.0018922541835856641
45,1,00 pm,0.0025453144117607825
45,2,000,0.0021186210073270424
45,3,00,0.0018952618631103686
46,1,00 pm,0.002643636646137558
46,2,000,0.0020367420662967465
46,3,00,0.0018066553277560266
47,1,00 pm,0.0021635805399929232
47,2,000,0.0021436373947392754
47,3,00,0.0018651741032795878
48,1,000,0.002172064946790496
48,2,00 pm,0.0021115065996167334
48,3,00,0.001871007633398987
49,1,000,0.002175273619217537
49,2,00 pm,0.002107342543419887
49,3,00,0.001932567007289586
50,1,00 pm,0.0020125420764604404
50,2,000,0.0018043863821292346
50,3,00,0.0017192872544705654
51,1,00 pm,0.0024355538767969697
51,2,00,0.002045494078340229
51,3,000,0.001848330735175835
52,1,00 pm,0.0022226627524844383
52,2,00,0.0018879362025910336
52,3,000,0.001796963455623922
53,1,000,0.0022960876774232447
53,2,00 pm,0.001988016790936766
53,3,00,0.0017598674978097214
54,1,00 pm,0.0019192115248394504
54,2,00,0.0019096469963032659
54,3,000,0.0019018655542468327
55,1,00,0.002117322213358678
55,2,000,0.0020436019781487607
55,3,00 pm,0.001967224788607185
56,1,00 pm,0.002274864088435529
56,2,000,0.0022021923884134676
56,3,00,0.002011960427421613
57,1,00 pm,0.00259864812464122
57,2,00,0.002566058572420746
57,3,000,0.002436352695536522
58,1,00 pm,0.0023077836315944077
58,2,000,0.0022433703277814623
58,3,00,0.0019687007190050884
59,1,000,0.002218878336609444
59,2,00 pm,0.0022061589565621517
59,3,00,0.0021028309344195374
60,1,00,0.002599516121950308
60,2,00 pm,0.0023481337868802815
60,3,000,0.002146723297525585
61,1,000,0.002236543163142106
61,2,00 pm,0.002193391165928793
61,3,00,0.0017889215892297737
62,1,00,0.002467861572290811
62,2,00 pm,0.0024342111046321653
62,3,000,0.002219551497583643
63,1,00,0.002532646455008086
63,2,000,0.002256976777533142
63,3,00 pm,0.0021683152946202922
64,1,00 pm,0.0025732183214887097
64,2,00,0.002466381879397888
64,3,000,0.002321142122618221
