class,rank,token,mean_abs_shap
0,1,00,0.0020660204982000424
0,2,00 pm,0.0018628124214249253
0,3,000,0.0016853076777653471
1,1,000,0.002335176980921513
1,2,00,0.0020990181305519332
1,3,00 pm,0.0020227438225647954
2,1,000,0.0023081718554910026
2,2,00 pm,0.002191956583045697
2,3,00,0.0018736740414574697
3,1,00 pm,0.0022294586387484757
3,2,000,0.002221589288384495
3,3,00,0.002169973462311243
4,1,00,0.002175192483972262
4,2,00 pm,0.002135804957701413
4,3,000,0.0018133974179167075
5,1,000,0.002218972049513725
5,2,00,0.002192966146451552
5,3,00 pm,0.002132161718266422
6,1,000,0.002353669984669461
6,2,00 pm,0.002340092811286312
6,3,00,0.00212647887026469
7,1,000,0.0021602407807289926
7,2,00 pm,0.0020540822750290595
7,3,00,0.0016011515040902675
8,1,00 pm,0.0026618013491658587
8,2,000,0.002169302241032941
8,3,00,0.0017133327817227782
9,1,00 pm,0.0027442718120575765
9,2,000,0.002275178917967428
9,3,00,0.0019073190452155477
10,1,00 pm,0.0022494509024094432
10,2,00,0.001965246768538869
10,3,000,0.0017626452595888885
11,1,00,0.002059309247277045
11,2,00 pm,0.0020026254196688956
11,3,000,0.0019219012623089662
12,1,00 pm,0.002358529490703808
12,2,000,0.002134266066269977
12,3,00,0.0020939922547854165
13,1,00 pm,0.002225566356791985
13,2,000,0.0020803971803739153
13,3,00,0.0019365072008631539
14,1,000,0.002408584412275735
14,2,00 pm,0.0023908917626482584
14,3,00,0.0023335511073422715
15,1,00 pm,0.0021392437136479934
15,2,000,0.0020287925454453995
15,3,00,0.0019205995568467732
16,1,000,0.0023999191159353958
16,2,00 pm,0.002203979990348976
16,3,00,0.0021024590612276376
17,1,000,0.0022222817588097663
17,2,00 pm,0.0020506010669338686
17,3,00,0.0017089527318501464
18,1,00,0.0023143825245004377
18,2,00 pm,0.0019719414509870997
18,3,000,0.0018436793921104806
19,1,00 pm,0.00243566583167651
19,2,00,0.002269570612293673
19,3,000,0.0022115988779926555
20,1,00 pm,0.0023307646842204957
20,2,00,0.002085587031069452
20,3,000,0.0020505650162139697
21,1,00 pm,0.002567731355489325
21,2,000,0.0023275216376650648
21,3,00,0.00201888817473258
22,1,000,0.0020841467743979197
22,2,00 pm,0.0020312956716063008
22,3,00,0.0015799583726677053
23,1,00 pm,0.002211881001392148
23,2,000,0.002050674230448965
23,3,00,0.0020459410932019365
24,1,00 pm,0.002340072141587265
24,2,000,0.0018965784606999121
24,3,00,0.001670856010788127
25,1,000,0.0020176013322710153
25,2,00 pm,0.001819653603250085
25,3,00,0.0017580053906480482
26,1,000,0.00224043301087665
26,2,00 pm,0.0020934380826468915
26,3,00,0.0019325740387836877
27,1,00 pm,0.0024810411172599034
27,2,000,0.0023168071941718424
27,3,00,0.002144511120042567
28,1,000,0.0020700381880180943
28,2,00 pm,0.001965973887136488
28,3,00,0.0016982416250718624
29,1,00,0.002190136234152697
29,2,000,0.002094628977729426
29,3,00 pm,0.0020887424438400144
30,1,000,0.0023645553160362162
30,2,00 pm,0.002078281327031288
30,3,00,0.0019108185099053247
31,1,000,0.0022183979034908936
31,2,00 pm,0.001973678335486381
31,3,00,0.001802308596729014
32,1,00 pm,0.002248865430250849
32,2,00,0.002230248174768209
32,3,000,0.0020727532659645994
33,1,000,0.002138841310543896
33,2,00 pm,0.0020189558309821796
33,3,00,0.0018144012841244117
34,1,00 pm,0.002435128718444265
34,2,000,0.0024161248607432622
34,3,00,0.0023175310916232353
35,1,000,0.0021945429120448
35,2,00 pm,0.002094923102858562
35,3,00,0.001852186464162325
36,1,00,0.0022897311735577894
36,2,000,0.0021602497961398016
36,3,00 pm,0.0021115245922903657
37,1,000,0.0023114940673711138
37,2,00 pm,0.0021354189870543346
37,3,00,0.0020619737090918876
38,1,00 pm,0.0022219675539460995
38,2,000,0.0022128899330560448
38,3,00,0.0019196973684133367
39,1,000,0.0023318876603280483
39,2,00 pm,0.0020796677310172197
39,3,00,0.0017914823509009661
40,1,00 pm,0.00224274931771701
40,2,00,0.0022036588538300534
40,3,000,0.0019877459301447333
41,1,00 pm,0.0023188153012395616
41,2,000,0.002275112274734364
41,3,00,0.0018733509669159952
42,1,000,0.0021209394798729123
42,2,00,0.0019599792833784016
42,3,00 pm,0.001760910719356997
43,1,00 pm,0.002490301213859183
43,2,000,0.0021496140722953596
43,3,00,0.001656238099921846
44,1,00 pm,0.002478931248703293
44,2,000,0.0021707191550937215
44,3,00,0.001830612893303414
45,1,00 pm,0.002314215833986546
45,2,000,0.002052862654298471
45,3,00,0.0019628410817573104
46,1,00 pm,0.002246918640433916
46,2,000,0.00214325435946886
46,3,00,0.0020397111838687918
47,1,00,0.00267389025719991
47,2,000,0.002469940075402411
47,3,00 pm,0.0024002832676336253
48,1,000,0.0022109480116277893
48,2,00 pm,0.002138189638955358
48,3,00,0.001978668778730461
49,1,00 pm,0.002576364094564017
49,2,000,0.0022946390513955517
49,3,00,0.0019535267285904164
50,1,00 pm,0.002483766301292962
50,2,000,0.0019815177463836514
50,3,00,0.0019528437512115432
51,1,00 pm,0.002689508981362871
51,2,000,0.002334119715719351
51,3,00,0.0018841327123132062
52,1,000,0.0022478914469789752
52,2,00 pm,0.002106724010974334
52,3,00,0.001768539022200196
53,1,00,0.002555895749445536
53,2,000,0.0022444244128419686
53,3,00 pm,0.0021263349238395284
54,1,00,0.002383406080979017
54,2,00 pm,0.0022557547366817117
54,3,000,0.002073158189865783
55,1,000,0.002181684129118225
55,2,00 pm,0.0021799676475917056
55,3,00,0.0021255668293677994
56,1,00 pm,0.0028175471652457417
56,2,00,0.002463558679671307
56,3,000,0.002389949558493461
57,1,00 pm,0.0027786156227904983
57,2,00,0.00241600318461018
57,3,000,0.0022772357834899386
58,1,00,0.002479478649756631
58,2,000,0.002433048034871804
58,3,00 pm,0.0022357549456128315
59,1,00 pm,0.002329279284709882
59,2,000,0.0022881813612907107
59,3,00,0.002244870191101268
60,1,00 pm,0.0023630088550213495
60,2,00,0.00215710445471497
60,3,000,0.0019581837356663907
61,1,00 pm,0.00220063978649259
61,2,000,0.0019069402287763984
61,3,00,0.001889346836066055
62,1,000,0.0021437597022491563
62,2,00 pm,0.002111596864439741
62,3,00,0.0018486611241685694
63,1,00,0.002304980847368547
63,2,00 pm,0.002137696518284603
63,3,000,0.0019432227094172301
