class,rank,token,mean_abs_shap
0,1,04,0.0031658828430527895
0,2,01,0.002334908444106391
0,3,000,0.0022108961174984493
1,1,04,0.002865620978971165
1,2,01,0.0021494383931279213
1,3,000,0.0019930785332906496
2,1,04,0.0026065921389111226
2,2,01,0.0022004088101274214
2,3,000,0.0017728229136604262
3,1,04,0.002570899918791348
3,2,000,0.002125250285263957
3,3,01,0.002065159055016433
4,1,01,0.0024763984796745456
4,2,04,0.002427927542532981
4,3,000,0.0019120757786446007
5,1,04,0.0022879444920702752
5,2,01,0.001795997116445029
5,3,000,0.0015464615279278187
6,1,04,0.0025746580400528964
6,2,01,0.0019269693067405632
6,3,000,0.0016529889894456758
7,1,01,0.002821997365617173
7,2,04,0.002545056227385073
7,3,000,0.00182661405469554
8,1,04,0.00269258247648239
8,2,01,0.002193587651585606
8,3,000,0.001743932368125547
9,1,04,0.002726381066507172
9,2,01,0.0021494041622982275
9,3,000,0.0018469676861628882
10,1,04,0.0023048268093244237
10,2,01,0.00196697810424627
10,3,000,0.0016443392040359816
11,1,01,0.0025938683868813564
11,2,04,0.0022650363525881807
11,3,000,0.0017718500763374131
12,1,01,0.002224970021689466
12,2,04,0.0020987989874096786
12,3,000,0.001715089446516537
13,1,04,0.002584896532738975
13,2,01,0.002233197795197399
13,3,000,0.0016323099315564708
14,1,01,0.003003757380431312
14,2,04,0.0026079035937582678
14,3,000,0.0018286683087840752
15,1,04,0.002294386054896096
15,2,01,0.0019236607678805161
15,3,000,0.0015059062813130306
16,1,01,0.003030535777674746
16,2,04,0.0028469406314117008
16,3,000,0.0017436465861640886
17,1,04,0.002577275449046399
17,2,01,0.002164055566548047
17,3,000,0.002096292647726211
18,1,04,0.0025184027233172
18,2,01,0.0022368840799339203
18,3,000,0.001721275806332385
19,1,04,0.002579607887584375
19,2,01,0.002168224270526099
19,3,000,0.001622452888426981
20,1,04,0.0025954681547109225
20,2,01,0.0022430096391745846
20,3,000,0.001628326401059877
21,1,01,0.003052224423604379
21,2,04,0.002736710989670898
21,3,000,0.0017333910196861953
22,1,000,0.002618797562771718
22,2,04,0.0023561346631708817
22,3,01,0.002139929465902471
23,1,04,0.0025418572521005043
23,2,01,0.002052074010628266
23,3,000,0.001886941646291361
24,1,04,0.0022333713977993634
24,2,01,0.0019715494066306453
24,3,000,0.001692012394231206
25,1,04,0.0027709641116888954
25,2,01,0.002531027557137384
25,3,000,0.0017348652533150928
26,1,04,0.0027688387687271622
26,2,01,0.002559968489467032
26,3,000,0.0017443114805486368
27,1,01,0.0032322860704902586
27,2,04,0.0028938328187151276
27,3,000,0.0017918390724157927
28,1,01,0.0029589032514593335
28,2,04,0.002584274939130628
28,3,000,0.001843255736085039
29,1,000,0.0029890905413622773
29,2,04,0.002736110336646013
29,3,01,0.0021351028074213943
30,1,04,0.003093242021189486
30,2,000,0.0026856189607496086
30,3,01,0.0025595497491985733
31,1,04,0.0024468993348494466
31,2,01,0.0021197176555701083
31,3,000,0.0016721628187188289
32,1,04,0.0022951151830646437
32,2,01,0.0020471625608083454
32,3,000,0.0020208966603500397
33,1,04,0.002706053736008584
33,2,000,0.00265082402957977
33,3,01,0.0017505128821931428
34,1,04,0.0024784673242838093
34,2,01,0.0020967379406895384
34,3,000,0.001697312605520478
35,1,04,0.0028783617485181254
35,2,01,0.002444018369380397
35,3,000,0.0021156160187683916
36,1,04,0.0026109711724862355
36,2,01,0.0022956357590141517
36,3,000,0.0018477374717566957
37,1,04,0.002419885285742414
37,2,01,0.0024130451315880885
37,3,000,0.0018524736291965795
38,1,04,0.0024416990757519627
38,2,01,0.0018773850262395265
38,3,000,0.0016614235316735897
39,1,04,0.0022848724248793963
39,2,000,0.0017996448546970844
39,3,01,0.0016290288197790027
40,1,000,0.0033727285370843438
40,2,04,0.0030853429764669646
40,3,01,0.0020755683702451348
41,1,000,0.0033727285370843438
41,2,04,0.0030853429764669646
41,3,01,0.0020755683702451348
