class,rank,token,mean_abs_shap
0,1,04,0.0025796514757684135
0,2,01,0.0021545251313141523
0,3,000,0.00158042612901318
1,1,04,0.0026371864185293944
1,2,01,0.0021901172490095887
1,3,000,0.0018557402388816634
2,1,04,0.0023267128352995807
2,2,01,0.00210529829400968
2,3,000,0.0018556155945452005
3,1,04,0.002247467500414902
3,2,01,0.0018260202546633096
3,3,000,0.0018220521689244315
4,1,04,0.002784194031749807
4,2,000,0.0022122629994622734
4,3,01,0.0019090718619117816
5,1,04,0.002718941844346232
5,2,01,0.0024269529003591527
5,3,000,0.0017949560573488873
6,1,04,0.0023491579009497607
6,2,01,0.0019666613086796953
6,3,000,0.0018782064203792454
7,1,04,0.0026223969425046285
7,2,01,0.002540272310274691
7,3,000,0.0017312215764264027
8,1,04,0.0026787590027024335
8,2,01,0.0024130025855845943
8,3,000,0.001748189479041916
9,1,04,0.002906264479408846
9,2,01,0.0025289926032609957
9,3,000,0.0019377333366184517
10,1,000,0.00272064012907965
10,2,04,0.002537690907030437
10,3,01,0.0020105884406011877
11,1,04,0.0025542498667668356
11,2,01,0.0019894802204333665
11,3,000,0.0016546794590341896
12,1,04,0.002558416131245186
12,2,01,0.002414605154559416
12,3,000,0.0018883625235254489
13,1,04,0.002343703445113373
13,2,01,0.0020591629337560918
13,3,000,0.0016205016016631686
14,1,01,0.002885964352364929
14,2,04,0.0028406003815456874
14,3,000,0.0015182781292564606
15,1,04,0.002270929953028682
15,2,01,0.0020688393217155004
15,3,000,0.0020289172221055213
16,1,04,0.002447285119635342
16,2,01,0.0021629301906168886
16,3,000,0.002034749574259719
17,1,04,0.0022707379596495184
17,2,000,0.0021048615735476586
17,3,01,0.0020870327102942175
18,1,04,0.0023132786219605384
18,2,01,0.002025307780907452
18,3,000,0.0015823735963916444
19,1,04,0.00254081689290093
19,2,01,0.002309818714303322
19,3,000,0.0018473738178391933
20,1,04,0.002644928361306569
20,2,01,0.002345748232854025
20,3,000,0.0015321814108299706
21,1,04,0.0026692660222273016
21,2,01,0.002161406567174016
21,3,000,0.0016640380196058626
22,1,04,0.0023733205713897536
22,2,000,0.0018709579627484599
22,3,01,0.0017881918543112521
23,1,04,0.00275542413194254
23,2,01,0.0026713174505209915
23,3,000,0.001870057926742709
24,1,000,0.0030462943935171973
24,2,04,0.0030096044624278724
24,3,01,0.002288401396804958
25,1,01,0.003019873989107794
25,2,04,0.002830312696612363
25,3,000,0.0019090145094500153
26,1,04,0.0027422466824329876
26,2,01,0.0024325701194508084
26,3,000,0.001730544994673964
27,1,04,0.002425158856539343
27,2,01,0.0021309849028076024
27,3,000,0.001404761901596231
28,1,01,0.002047128073028921
28,2,04,0.002036062434497207
28,3,000,0.0016743005709079796
29,1,000,0.0025380427824928846
29,2,04,0.002494620376990954
29,3,01,0.002285900708227707
30,1,04,0.002679978566919738
30,2,01,0.002132887028493468
30,3,000,0.0019897045655125657
31,1,01,0.0031421766380329264
31,2,04,0.0029207595653217167
31,3,000,0.0017078807529170117
32,1,000,0.0030391752213616754
32,2,04,0.002677100863915247
32,3,01,0.002127875495680221
33,1,04,0.0026071203403566934
33,2,01,0.0021120724011709393
33,3,000,0.001786452874069708
34,1,04,0.002591893002058589
34,2,01,0.002456142041808622
34,3,000,0.0021820172778793945
35,1,01,0.00315116896273945
35,2,04,0.002853505443519305
35,3,000,0.0017932704959341859
36,1,01,0.0032561430302299973
36,2,04,0.0030544679591410547
36,3,000,0.0017976338979155764
37,1,04,0.0026284149304519077
37,2,01,0.0020742979831365202
37,3,000,0.001633972325100743
38,1,04,0.0026322563653413495
38,2,01,0.0020506955611566103
38,3,000,0.0018587640444110028
39,1,04,0.002868077005193566
39,2,01,0.002440600459015493
39,3,000,0.0017730249193743278
40,1,04,0.0025432795973010175
40,2,01,0.001968411778873284
40,3,000,0.001883839070069981
