class,rank,token,mean_abs_shap
0,1,000,0.002916381551674885
0,2,00 pm,0.00261621075909939
0,3,00,0.0022330394612624063
1,1,000,0.0028211048339080837
1,2,00 pm,0.0026872663793767572
1,3,00,0.002309044442818675
2,1,00,0.003509369887846932
2,2,000,0.003026556106334117
2,3,00 pm,0.0029953868587759237
3,1,00,0.002598599604546233
3,2,00 pm,0.002573607804068538
3,3,000,0.002501776696133111
4,1,000,0.002810006298741377
4,2,00 pm,0.00268440234735815
4,3,00,0.0019773949941633085
5,1,000,0.002617212476090215
5,2,00 pm,0.002418485764196735
5,3,00,0.002170813107272045
6,1,000,0.0028997186941721173
6,2,00 pm,0.0027379954107838705
6,3,00,0.0022654179820707494
7,1,000,0.0029986563252086063
7,2,00 pm,0.002710496117187544
7,3,00,0.001975477155464136
8,1,00 pm,0.003173617573793559
8,2,000,0.002891017115185578
8,3,00,0.002834689114708773
9,1,000,0.002899395348422136
9,2,00 pm,0.0027547464688641127
9,3,00,0.0019507028490092196
10,1,00 pm,0.003276658915164543
10,2,000,0.002768720991807546
10,3,00,0.0019362744674781857
11,1,00 pm,0.0030928652448972533
11,2,000,0.0027701829620951383
11,3,00,0.002041330069157934
12,1,00 pm,0.0026250588832606525
12,2,000,0.0026053488741027944
12,3,00,0.002364134237627063
13,1,000,0.002748018599289398
13,2,00 pm,0.002724493695457474
13,3,00,0.0019960222704522128
14,1,00 pm,0.002789611696722569
14,2,000,0.0023874723732695414
14,3,00,0.002184151766953052
15,1,000,0.002560205185094532
15,2,00 pm,0.002329890181193465
15,3,00,0.0018166181738093657
16,1,000,0.0029840283466929136
16,2,00 pm,0.0029812254612480733
16,3,00,0.002160874904264165
17,1,00,0.0033341065612534576
17,2,00 pm,0.00294643983172205
17,3,000,0.0029402443290501255
18,1,00 pm,0.002893671051463922
18,2,000,0.0025788785013075065
18,3,00,0.002328940814533677
19,1,00 pm,0.003496887729322626
19,2,000,0.00304628780294002
19,3,00,0.002189861923077275
20,1,00 pm,0.003261346418504897
20,2,000,0.0030042748394888464
20,3,00,0.0021505246025299535
21,1,000,0.0028322170984107315
21,2,00 pm,0.0028126006155970826
21,3,00,0.002126421660980598
22,1,00 pm,0.002940684320394513
22,2,000,0.0023314754402727752
22,3,00,0.002255099196671052
23,1,00 pm,0.0029762428714986125
23,2,000,0.0023637311204396686
23,3,00,0.002224761223969692
24,1,00 pm,0.0026557147342723933
24,2,000,0.0023560155312457452
24,3,00,0.0023191945380763856
25,1,00 pm,0.0030339175524428997
25,2,000,0.002564696582568937
25,3,00,0.002159839802337505
26,1,000,0.0023808509842328665
26,2,00 pm,0.0022547975115369567
26,3,00,0.0019157881759991034
27,1,000,0.0027824862795946155
27,2,00 pm,0.00271770624017378
27,3,00,0.0023998558877516324
28,1,000,0.002721571119617366
28,2,00 pm,0.0025179526861470462
28,3,00,0.0024877564428814913
29,1,000,0.0029470020463569662
29,2,00 pm,0.0027788502829038343
29,3,00,0.002320894065815645
30,1,00 pm,0.0024206239016615794
30,2,000,0.002384042043682215
30,3,00,0.0022625055378865263
31,1,00 pm,0.0021823481384987313
31,2,00,0.001939935127868974
31,3,000,0.0017923392193144175
32,1,00 pm,0.00292168558893721
32,2,000,0.002363576119890472
32,3,00,0.00190674285251801
33,1,000,0.002900459670189213
33,2,00 pm,0.00256418200880915
33,3,00,0.0020524497292195537
34,1,000,0.002895880994419754
34,2,00,0.0027813859812206567
34,3,00 pm,0.002327256953559242
35,1,000,0.003148384028072292
35,2,00 pm,0.0027650834338408623
35,3,00,0.0021423844112562003
36,1,000,0.0028614863085176232
36,2,00 pm,0.0027080966806891514
36,3,00,0.002374196279430458
37,1,00 pm,0.002971037796090178
37,2,000,0.00237552995525516
37,3,00,0.002284359362174641
38,1,000,0.002601438043031845
38,2,00 pm,0.002319831157912352
38,3,00,0.0018539414812654743
39,1,00 pm,0.003269266551870937
39,2,000,0.0028693368508218116
39,3,00,0.001961030857216375
40,1,000,0.003047036769724042
40,2,00 pm,0.002823050455212265
40,3,00,0.0021468012722882244
41,1,000,0.002444243979222247
41,2,00 pm,0.0019291271982046637
41,3,00,0.0019073015433688843
42,1,00 pm,0.002929535687890269
42,2,00,0.002770044041061044
42,3,000,0.002665682519159
43,1,00 pm,0.0027405015959073094
43,2,000,0.002492893233460127
43,3,00,0.002225164697282742
44,1,00 pm,0.002799292363774112
44,2,000,0.0022463202889293583
44,3,00,0.002025444391355703
45,1,00 pm,0.0030646646817785103
45,2,000,0.002895668173403818
45,3,00,0.002475475253179642
46,1,000,0.002642707151388679
46,2,00 pm,0.0025577387207869665
46,3,00,0.0021560277881212233
47,1,000,0.003114872842825144
47,2,00 pm,0.002765959526758016
47,3,00,0.002172954341064922
