class,rank,token,mean_abs_shap
0,1,000,0.0027975551630124613
0,2,00 pm,0.0027370989113821914
0,3,00,0.002350403602024519
1,1,00,0.0032610957781332916
1,2,00 pm,0.0029206061782306157
1,3,000,0.0028919681788530153
2,1,00 pm,0.002460950991706237
2,2,00,0.0022272311411043653
2,3,000,0.002147913045588475
3,1,00,0.0034827564744514755
3,2,000,0.003003715751419382
3,3,00 pm,0.002934300803178949
4,1,00 pm,0.0024420871649857337
4,2,000,0.002225132567327258
4,3,00,0.0018954254366413824
5,1,00,0.003512554325473992
5,2,00 pm,0.0028888985242009526
5,3,000,0.0024842952639758734
6,1,00 pm,0.0027639568579954296
6,2,000,0.0026426260940817033
6,3,00,0.0023008652859903863
7,1,00 pm,0.002864445838211131
7,2,000,0.0027033154015804143
7,3,00,0.0017715809303561624
8,1,00 pm,0.002806128756459178
8,2,000,0.002745389215102667
8,3,00,0.0020391702839904226
9,1,00 pm,0.0024594719142426486
9,2,00,0.0020934957061302627
9,3,000,0.001960748944817977
10,1,00,0.00382165409025062
10,2,00 pm,0.0029211140685330293
10,3,000,0.0028352809132851896
11,1,00 pm,0.0030973918504755885
11,2,000,0.002915345482191818
11,3,00,0.002448116368346755
12,1,00 pm,0.0026576715974466225
12,2,000,0.0024432916604793216
12,3,00,0.001873212662720941
13,1,000,0.002633375016458862
13,2,00 pm,0.002537191331051459
13,3,00,0.0020264916882689332
14,1,00,0.003508667453055086
14,2,00 pm,0.002928072168336878
14,3,000,0.0027870029173366023
15,1,00,0.003427564558863056
15,2,00 pm,0.0029686547067711644
15,3,000,0.0024815117088862397
16,1,000,0.0027422133123525417
16,2,00 pm,0.0024575248568087186
16,3,00,0.002070624373378591
17,1,000,0.0022126594901658507
17,2,00 pm,0.0018506394622924095
17,3,00,0.0017988316502192672
18,1,000,0.002643889323270565
18,2,00 pm,0.002368799487400649
18,3,00,0.002044619112359703
19,1,00,0.0036099752149863266
19,2,00 pm,0.0028665768353589678
19,3,000,0.0026505603842828457
20,1,000,0.0029834702249310102
20,2,00 pm,0.002586378294299295
20,3,00,0.002243511999004835
21,1,00 pm,0.002660268707109277
21,2,000,0.002353522979925986
21,3,00,0.001985189095605245
22,1,000,0.0027951615088765355
22,2,00 pm,0.0022911983085365847
22,3,00,0.002018504937423873
23,1,000,0.002900619329840117
23,2,00 pm,0.0027529593849100783
23,3,00,0.0026442940373880394
24,1,00 pm,0.0029692191803364497
24,2,000,0.0025924130313175076
24,3,00,0.0022021866463262066
25,1,000,0.002806443588612132
25,2,00 pm,0.0027282992032446134
25,3,00,0.001949590332983985
26,1,000,0.0026354035255674083
26,2,00 pm,0.0023194596871743164
26,3,00,0.002188051176174646
27,1,000,0.0029363546698877754
27,2,00 pm,0.0027632628317717203
27,3,00,0.0020434423109530336
28,1,000,0.002991260830830751
28,2,00 pm,0.0025200679841875357
28,3,00,0.0019947545449352753
29,1,00 pm,0.0032969805303445228
29,2,000,0.0029647583846208678
29,3,00,0.0029304507226483897
30,1,00 pm,0.0027760907244304737
30,2,000,0.0023116149353086344
30,3,00,0.0020516528438795233
31,1,00 pm,0.002692679320436373
31,2,000,0.0023277555576484356
31,3,00,0.0020444658778821876
32,1,000,0.0030825771270951052
32,2,00 pm,0.0027620441164709075
32,3,00,0.0021308419914974853
33,1,00 pm,0.00263909915618458
33,2,000,0.002316859692245837
33,3,00,0.0021007597061352386
34,1,00 pm,0.0035917398101445353
34,2,000,0.0029233334872664427
34,3,00,0.0021519249072392385
35,1,00 pm,0.00359423542150873
35,2,000,0.00299534349824262
35,3,00,0.0021932029519089887
36,1,000,0.002555974884031874
36,2,00 pm,0.0025542790600945166
36,3,00,0.002135475445139674
37,1,00 pm,0.002819752116932322
37,2,000,0.0026690394225011146
37,3,00,0.0019236711213217392
38,1,00 pm,0.002850445735496035
38,2,000,0.002557939312273081
38,3,00,0.002152376527109915
39,1,000,0.0032083701145979577
39,2,00 pm,0.002954476260695047
39,3,00,0.0020629617571885943
40,1,00 pm,0.003945887309249627
40,2,000,0.003090080905111811
40,3,00,0.0022837136299192974
41,1,00 pm,0.0028867240965122333
41,2,000,0.0027030448893837723
41,3,00,0.0021584431680264807
42,1,00,0.0034576265097866735
42,2,00 pm,0.002932908662965452
42,3,000,0.0028510024018025765
43,1,000,0.0025095849697662938
43,2,00 pm,0.0022068237294448046
43,3,00,0.0016562053891609604
44,1,00,0.0030320488652407812
44,2,000,0.0029071353982916453
44,3,00 pm,0.002676275919552211
45,1,00 pm,0.0028043500958836115
45,2,000,0.0023891650215694302
45,3,00,0.001848147945678022
46,1,000,0.0030328424088040683
46,2,00 pm,0.0026938894132209055
46,3,00,0.0022750979684703497
