class,rank,token,mean_abs_shap
0,1,000,0.002747288822850432
0,2,00 am,0.0025631034133884846
0,3,00,0.002397510907484879
1,1,00 am,0.003114330887544076
1,2,000,0.0026863026673377794
1,3,00,0.002022419396665226
2,1,000,0.0031757939933489128
2,2,00 am,0.0029191578905433907
2,3,00,0.0021979364560252516
3,1,00 am,0.0031654283057674783
3,2,000,0.002911578106512843
3,3,00,0.0027725725196578025
4,1,00,0.0033890581097713547
4,2,00 am,0.003016912662733634
4,3,000,0.002683166118471424
5,1,000,0.0032117047357213095
5,2,00,0.003153660634571717
5,3,00 am,0.002420661859708883
6,1,00 am,0.0025082445413745556
6,2,000,0.00245841105253275
6,3,00,0.0019937152036640835
7,1,00 am,0.0030655417320442926
7,2,000,0.0025250540253811114
7,3,00,0.0019041054365033076
8,1,00 am,0.0030090398045065337
8,2,000,0.0025500437836692477
8,3,00,0.0019298104872922874
9,1,00 am,0.0027738034699585612
9,2,000,0.002629298341567177
9,3,00,0.0019489875214858078
10,1,000,0.0031220173710777488
10,2,00,0.003005394029839068
10,3,00 am,0.0021185479493323837
11,1,00 am,0.0033107731118501914
11,2,000,0.0028322056522175547
11,3,00,0.0027861821379115844
12,1,00 am,0.0032576104658889353
12,2,000,0.002886216349516989
12,3,00,0.002254004860415702
13,1,00 am,0.002953244035188373
13,2,000,0.0028919014447827515
13,3,00,0.00248645773403475
14,1,000,0.0029114469299205445
14,2,00 am,0.0028999436494649674
14,3,00,0.002110773696023181
15,1,000,0.003043201758588929
15,2,00 am,0.0027933613444339036
15,3,00,0.0022199967108312035
16,1,00 am,0.0026215075813171983
16,2,000,0.002547103085510169
16,3,00,0.0020478373113965984
17,1,000,0.002840651188519779
17,2,00 am,0.002836341264618836
17,3,00,0.0020975161722229354
18,1,00,0.0034220677439128775
18,2,00 am,0.0028257826155991287
18,3,000,0.0027188749882514004
19,1,000,0.003312795995159483
19,2,00 am,0.0027508884835997717
19,3,00,0.0020970199323773414
20,1,000,0.0031832430959343786
20,2,00 am,0.0028581149538460296
20,3,00,0.002093489558943625
21,1,00 am,0.0026855518476389994
21,2,000,0.0025291099660459324
21,3,00,0.0020012105695159754
22,1,00 am,0.00278827036567064
22,2,000,0.0026326795787056274
22,3,00,0.002175960246210096
23,1,000,0.002615879093973071
23,2,00 am,0.002580483545168286
23,3,00,0.002291177398340504
24,1,00 am,0.002514034124249076
24,2,000,0.002047471511607482
24,3,00,0.0019827656007330905
25,1,000,0.0029295923968127376
25,2,00,0.0026932384046966813
25,3,00 am,0.002318453313043596
26,1,000,0.0033610770665787335
26,2,00 am,0.002948725212514111
26,3,00,0.0023810232380901057
27,1,000,0.0029084621900041857
27,2,00 am,0.002508728829207053
27,3,00,0.0019229015328191428
28,1,000,0.002778920974182212
28,2,00,0.002606156908752874
28,3,00 am,0.0022793939758873846
29,1,00,0.0031446943484675933
29,2,000,0.0030255138861869464
29,3,00 am,0.0020742588613570636
30,1,000,0.0032461704029918014
30,2,00 am,0.002953316206276874
30,3,00,0.0020640289087305646
31,1,000,0.0027715502411551555
31,2,00 am,0.002571102064027696
31,3,00,0.0021568502508756554
32,1,000,0.0027301171419229038
32,2,00 am,0.0026222769722443516
32,3,00,0.001978785685026324
33,1,000,0.0034467472195913317
33,2,00,0.0030869035385966944
33,3,00 am,0.0022347297438084237
34,1,00 am,0.0023197304533950367
34,2,000,0.0023070079477643547
34,3,00,0.0021760524774723793
35,1,00 am,0.0027075144488874206
35,2,000,0.0026806653034052285
35,3,00,0.002229597003447467
36,1,000,0.003028388799168851
36,2,00 am,0.0025877937332987226
36,3,00,0.001994947197098655
37,1,00,0.0032442164584158984
37,2,000,0.0032426436715785327
37,3,00 am,0.002179496522342024
38,1,00 am,0.002602555939305776
38,2,000,0.0024696326396890164
38,3,00,0.0019634321281273934
39,1,000,0.0032710048007596228
39,2,00 am,0.0028649009056106005
39,3,00,0.002006604647082397
40,1,000,0.0028856471678064557
40,2,00,0.002535383278743332
40,3,00 am,0.0024332972539769697
41,1,00,0.0027886267316926216
41,2,000,0.002740448240626903
41,3,00 am,0.0027247228697243452
42,1,000,0.0030483932917526927
42,2,00 am,0.0027052465625308653
42,3,00,0.001901825496280496
43,1,000,0.0031877242482352703
43,2,00 am,0.0027409129610043476
43,3,00,0.0019064328618776081
44,1,00 am,0.002811333775174722
44,2,000,0.0027760316102181815
44,3,00,0.0022603413814237935
45,1,00 am,0.0027790626376548878
45,2,000,0.002547278268219804
45,3,00,0.001961078964356403
46,1,000,0.0028722608170345166
46,2,00 am,0.0028037439549848005
46,3,00,0.0022846206574031135
47,1,000,0.0029826031686564086
47,2,00 am,0.002848319423699907
47,3,00,0.002130878333464474
48,1,00,0.0030560438454630677
48,2,00 am,0.0029430933588005252
48,3,000,0.002704904474756002
49,1,000,0.002644179124631923
49,2,00 am,0.0025123632712016368
49,3,00,0.0022011887932808154
50,1,000,0.0026227687127511933
50,2,00 am,0.0024041987498375876
50,3,00,0.0021594517313285946
51,1,00 am,0.0029082058703445
51,2,000,0.00255328896682174
51,3,00,0.0023254580077121416
52,1,000,0.002871059538931748
52,2,00 am,0.002610893728869651
52,3,00,0.0023018269505839196
