class,rank,token,mean_abs_shap
0,1,00 pm,0.003007932460613973
0,2,00 am,0.0026793469935910506
0,3,00,0.0017804118726467983
1,1,00 am,0.002932910826567401
1,2,00 pm,0.0028509285015403973
1,3,00,0.002367273932594899
2,1,00 am,0.003634696116394491
2,2,00 pm,0.003141700731088572
2,3,00,0.0018460516741269214
3,1,00 pm,0.003230748488411489
3,2,00 am,0.002883035163762831
3,3,00,0.002471583196865554
4,1,00 am,0.0036652450837336053
4,2,00 pm,0.0031657188441035246
4,3,00,0.0019440085019606112
5,1,00 am,0.003593189367116041
5,2,00 pm,0.0031166556025596613
5,3,00,0.001964721580240048
6,1,00 pm,0.0029796044743953575
6,2,00 am,0.0025529830108057183
6,3,00,0.001916885236477805
7,1,00 am,0.003546384167171856
7,2,00 pm,0.0029727670807885966
7,3,00,0.0019116073228558617
8,1,00 pm,0.0028365352768199106
8,2,00 am,0.00250533804595672
8,3,00,0.001939917042353031
9,1,00 pm,0.002594210596502335
9,2,00 am,0.002413551933264233
9,3,00,0.0016520837379295575
10,1,00 am,0.0029656261862338338
10,2,00 pm,0.002809104740793143
10,3,00,0.002097545835245781
11,1,00 am,0.0036505979179279405
11,2,00 pm,0.00309296401052731
11,3,00,0.001866524266884407
12,1,00 pm,0.002944368881775664
12,2,00 am,0.002871951169118464
12,3,00,0.0020655028174296542
13,1,00 pm,0.003283652935660117
13,2,00 am,0.002798717436526149
13,3,00,0.001975508145037408
14,1,00,0.0035072804933084165
14,2,00 pm,0.0030372594647734732
14,3,00 am,0.0026740160076039418
15,1,00 am,0.002841501007954573
15,2,00 pm,0.002598548676241672
15,3,00,0.0022228451040724566
16,1,00 am,0.0034811383033729985
16,2,00 pm,0.0029781394039000843
16,3,00,0.001997232549008453
17,1,00 pm,0.002450402722241515
17,2,00 am,0.002417086280582228
17,3,00,0.0018307568857273524
18,1,00 am,0.003448966906509839
18,2,00 pm,0.0030227525280662614
18,3,00,0.0019122252348514961
19,1,00 am,0.002823521958279171
19,2,00 pm,0.0028064278227091007
19,3,00,0.0018780566345237447
20,1,00 pm,0.0031440717339237902
20,2,00 am,0.0028151649769272463
20,3,00,0.001942675175294287
21,1,00 pm,0.0032683266802876697
21,2,00 am,0.0027695439916095997
21,3,00,0.001911428901314042
22,1,00 pm,0.002848936950477273
22,2,00 am,0.0027656148434076796
22,3,00,0.0020244937100807672
23,1,00,0.0030119829226084188
23,2,00 pm,0.0027613714004094277
23,3,00 am,0.0023610750126967692
24,1,00,0.003604656677225115
24,2,00 pm,0.0030540218996999713
24,3,00 am,0.0027276771574411165
25,1,00 pm,0.002710885023662528
25,2,00 am,0.002463908498511184
25,3,00,0.0018086266204356983
26,1,00 am,0.0037267949488881047
26,2,00 pm,0.0030920356279197556
26,3,00,0.0019634641965086816
27,1,00 am,0.003746848843225676
27,2,00 pm,0.0031414963169556303
27,3,00,0.001797345502920548
28,1,00 pm,0.003241119360254892
28,2,00 am,0.0027276093858979314
28,3,00,0.0020102098217617977
29,1,00 am,0.003098607293497093
29,2,00 pm,0.002634862962965412
29,3,00,0.0021201009700345394
30,1,00 am,0.0030586941593466854
30,2,00 pm,0.002653318342089634
30,3,00,0.0019397850985459983
31,1,00 am,0.0032348325312232936
31,2,00,0.002835645554994288
31,3,00 pm,0.002806182011667016
32,1,00 am,0.0030893840321450576
32,2,00 pm,0.0025650986119870856
32,3,00,0.001922058572684329
33,1,00 am,0.002949005615084521
33,2,00 pm,0.002638083276138803
33,3,00,0.002209553050603844
34,1,00,0.0028021663005765585
34,2,00 am,0.002716043958561637
34,3,00 pm,0.002628617273238295
35,1,00 pm,0.0026804886310242354
35,2,00 am,0.0024736590901257736
35,3,00,0.001730767971660479
36,1,00 am,0.003293713692512649
36,2,00 pm,0.0029829026074094343
36,3,00,0.001969350289043294
37,1,00 am,0.0030256870080140105
37,2,00 pm,0.002582452298132942
37,3,00,0.0019438620011256685
38,1,00 am,0.0032742652296275446
38,2,00 pm,0.0029843045829523137
38,3,00,0.001878008668498432
39,1,00 am,0.003155514285496605
39,2,00 pm,0.0026196656637515487
39,3,00,0.0019659888846613413
40,1,00 am,0.002709284966395092
40,2,00 pm,0.002668628971789891
40,3,00,0.0022241126534093135
41,1,00 am,0.0030265794692431935
41,2,00 pm,0.0027217455098267253
41,3,00,0.0022997289685025915
42,1,00,0.003116255750616303
42,2,00 am,0.0028401024410542363
42,3,00 pm,0.002649435741589731
43,1,00 am,0.003446531243991936
43,2,00 pm,0.002986055508120228
43,3,00,0.002982456954798471
44,1,00 pm,0.0027237342316872746
44,2,00 am,0.0025508470107965518
44,3,00,0.0019986967704291292
45,1,00 pm,0.002781665835780341
45,2,00 am,0.002661207464630489
45,3,00,0.0019805630770458184
