class,rank,token,mean_abs_shap
0,1,00 am,0.0033783538872730534
0,2,00 pm,0.0028054285228610886
0,3,00,0.0018011314417546796
1,1,00 am,0.0034485807465158575
1,2,00 pm,0.002859363872040711
1,3,00,0.001770716823086228
2,1,00 pm,0.003056279371514934
2,2,00 am,0.0027127635736873454
2,3,00,0.001991857809906081
3,1,00,0.0034266737118114955
3,2,00 pm,0.0030423195140889233
3,3,00 am,0.0030261242414889367
4,1,00 am,0.002575872998927946
4,2,00 pm,0.0024559132597467724
4,3,00,0.001776093712531956
5,1,00,0.002795413837009275
5,2,00 am,0.002727051934213789
5,3,00 pm,0.002497794405785561
6,1,00 am,0.0036672046979878492
6,2,00 pm,0.003236461902445334
6,3,00,0.002137218064690418
7,1,00 pm,0.002606878891433258
7,2,00 am,0.002455249615782677
7,3,00,0.0018739094868217903
8,1,00 am,0.002918177662795512
8,2,00 pm,0.0028842671462984437
8,3,00,0.0019753808897428455
9,1,00 pm,0.002475028702719576
9,2,00 am,0.0023375573905567125
9,3,00,0.0018681562005770076
10,1,00,0.0030733756995611396
10,2,00 am,0.0028631889463016837
10,3,00 pm,0.002636019591176747
11,1,00 am,0.0027662350139261516
11,2,00 pm,0.002367950502605403
11,3,00,0.0017114993490778621
12,1,00 am,0.002631645050829865
12,2,00 pm,0.002532792462699581
12,3,00,0.0019205757285849791
13,1,00 pm,0.0027354066105640643
13,2,00 am,0.002434674454495672
13,3,00,0.001921238545490256
14,1,00 am,0.0029906090330980776
14,2,00 pm,0.0027222333621139665
14,3,00,0.0020815683445799343
15,1,00 pm,0.0026811394735753295
15,2,00 am,0.002273188844058378
15,3,00,0.0017080200349958727
16,1,00 pm,0.0026549384468955843
16,2,00 am,0.002458822114360993
16,3,00,0.002052272913731081
17,1,00 pm,0.003159891004125274
17,2,00 am,0.0027733117804236013
17,3,00,0.0021238776608009883
18,1,00 pm,0.002914707972368295
18,2,00 am,0.0026182550385735383
18,3,00,0.001880393820533499
19,1,00 pm,0.0032463475388414148
19,2,00 am,0.0028720700869908147
19,3,00,0.0022729022928018993
20,1,00 pm,0.0030018212511048687
20,2,00 am,0.002534581082737083
20,3,00,0.001957828073301372
21,1,00 am,0.003464370060641464
21,2,00 pm,0.0031131841209266695
21,3,00,0.001907214454025312
22,1,00 pm,0.0027403345946529927
22,2,00 am,0.002390433184699255
22,3,00,0.001684966017522324
23,1,00 pm,0.0030932225561805657
23,2,00 am,0.0026916987409744265
23,3,00,0.0018819383545634367
24,1,00 am,0.0028718291976794603
24,2,00 pm,0.0028400416166842646
24,3,00,0.002105696684653115
25,1,00 am,0.003583396104838559
25,2,00 pm,0.002992916197167692
25,3,00,0.0019285904446286139
26,1,00 am,0.002625646283253334
26,2,00 pm,0.002567261815596604
26,3,00,0.002305646208158609
27,1,00 pm,0.0029698791548477188
27,2,00 am,0.0027980509630106285
27,3,00,0.002232168460725046
28,1,00 am,0.0028435063430991034
28,2,00 pm,0.002506643524583325
28,3,00,0.001662920774368775
29,1,00 pm,0.003150208056724771
29,2,00 am,0.0026644524411830084
29,3,00,0.0019332916641860234
30,1,00 am,0.002849824864895892
30,2,00 pm,0.0023330358292937103
30,3,00,0.0016459403638970941
31,1,00 am,0.0030975393589105786
31,2,00 pm,0.0030741039311376274
31,3,00,0.0015896843726033924
32,1,00 pm,0.0028967303391284065
32,2,00,0.002847100054523941
32,3,00 am,0.0024761950678204377
33,1,00 am,0.0029957516629618673
33,2,00 pm,0.0027211008295823205
33,3,00,0.002014505749570585
34,1,00 am,0.003002317836443243
34,2,00 pm,0.0028428863043464697
34,3,00,0.002181687648916902
35,1,00 pm,0.0028689971860652442
35,2,00,0.002855529480038537
35,3,00 am,0.002712967933110599
36,1,00 am,0.0026679599548600367
36,2,00 pm,0.0026406417586414327
36,3,00,0.002370494160168325
37,1,00 pm,0.0027362653383630232
37,2,00 am,0.0026917734654858375
37,3,00,0.0021131720567744705
38,1,00 pm,0.003289420882786133
38,2,00 am,0.0027112718873511118
38,3,00,0.0022574986626656807
39,1,00 am,0.0027432290344557193
39,2,00 pm,0.0027115319673667393
39,3,00,0.002182689966626416
40,1,00 pm,0.003029420264309027
40,2,00 am,0.002690268575370193
40,3,00,0.0017699768953095235
41,1,00 pm,0.002786186729996676
41,2,00 am,0.002705429189160993
41,3,00,0.0019362893773727202
42,1,00 am,0.0037863996902737515
42,2,00 pm,0.0031777059572808456
42,3,00,0.0018735522549860673
43,1,00 am,0.003052836453440458
43,2,00 pm,0.0028232407335303895
43,3,00,0.002008888483863893
44,1,00 am,0.002583977135046334
44,2,00 pm,0.0024071317466315212
44,3,00,0.0022550245220412726
45,1,00 pm,0.002890285932672335
45,2,00 am,0.0028586680350233067
45,3,00,0.0020466037635654835
