class,rank,token,mean_abs_shap
0,1,039,0.0024252632492724174
0,2,10,0.0022768653532421355
0,3,03,0.0008725165564744869
1,1,039,0.0027018529776853305
1,2,10,0.0026818688418978566
1,3,03,0.000856441581361602
2,1,10,0.0029152865230774073
2,2,039,0.0025651616302600697
2,3,03,0.0016497602043135217
3,1,10,0.002543600049716248
3,2,039,0.0023213409036369776
3,3,03,0.0009578412958829026
4,1,039,0.0030247424887595697
4,2,10,0.0029081258236113823
4,3,03,0.0008886491478347781
5,1,10,0.0025930375195305074
5,2,039,0.0024335869895108666
5,3,03,0.0008851193249417232
6,1,10,0.0030145829779283048
6,2,039,0.002862754407997392
6,3,03,0.001108448397864601
7,1,10,0.0021732381955002203
7,2,039,0.0019225400863200142
7,3,03,0.0008663980024811167
8,1,10,0.003197408845080285
8,2,039,0.0031154148050882686
8,3,03,0.0010820332163638624
9,1,10,0.0025035540763315533
9,2,039,0.002267408479379799
9,3,03,0.0008627934040359175
10,1,039,0.002251812004088203
10,2,10,0.002179164482712227
10,3,03,0.0009343957863697419
11,1,039,0.002735747727972896
11,2,10,0.0027130266081500697
11,3,03,0.0011196149346660276
12,1,10,0.002554211761368009
12,2,039,0.0023967306187368973
12,3,03,0.0009985342377333564
13,1,10,0.002337916049808762
13,2,039,0.0021510695865909844
13,3,03,0.0008989372062642594
14,1,10,0.0026952536398990494
14,2,039,0.0023474421469465516
14,3,03,0.0009856455132228235
15,1,10,0.0025364018408779074
15,2,039,0.0022750538869343415
15,3,03,0.0008640774701395659
16,1,10,0.0024277402115860775
16,2,039,0.0022051272297463954
16,3,03,0.0008766954031722709
17,1,10,0.0025780131028333673
17,2,039,0.002334345100175009
17,3,03,0.0009030579330082506
18,1,10,0.0027340243289625805
18,2,039,0.0023477909519348966
18,3,03,0.0010808974715377957
19,1,10,0.0023504385886700227
19,2,039,0.0021389308800079916
19,3,03,0.0008321642608873259
20,1,10,0.002564327873241827
20,2,039,0.002334714112394994
20,3,03,0.0010033773771450229
21,1,10,0.0025284567293910273
21,2,039,0.00226962951713986
21,3,03,0.0009843794088143878
22,1,10,0.0026503110876500884
22,2,039,0.002352779159382708
22,3,03,0.0009333121836349671
23,1,10,0.002665162410234432
23,2,039,0.002324744391428531
23,3,03,0.0009807543042087497
24,1,10,0.003475810366973442
24,2,03,0.002873919696439565
24,3,039,0.002606493676555211
25,1,10,0.002581775348441018
25,2,039,0.0023006495412059053
25,3,03,0.0008950686836536609
26,1,039,0.0030086236826731365
26,2,10,0.002851386146058454
26,3,03,0.0009409862433098855
27,1,10,0.0025211874906768384
27,2,039,0.0023459784471442664
27,3,03,0.0020618956126029907
28,1,10,0.002629831273768567
28,2,039,0.0023115832590716134
28,3,03,0.0010028943012540344
29,1,10,0.0023697026382368228
29,2,039,0.002151595581439721
29,3,03,0.0011716995833019235
30,1,03,0.002831539674481824
30,2,10,0.0027944434722605555
30,3,039,0.0027035546975227647
31,1,10,0.0024217603172725934
31,2,039,0.0023676097273412126
31,3,03,0.0009400729787994313
32,1,039,0.0023280911531865494
32,2,10,0.0022923363218046414
32,3,03,0.0008934117178954498
33,1,10,0.0025756158551633436
33,2,039,0.0025298150338379267
33,3,03,0.0010633620644989977
34,1,10,0.0021564742072043017
34,2,039,0.002117124951532115
34,3,03,0.0009884583098086046
35,1,10,0.0026683489858254266
35,2,039,0.002434007135602383
35,3,03,0.0015008757941434336
36,1,10,0.0025655436830427157
36,2,039,0.0023075153471813358
36,3,03,0.0008615097008136828
37,1,10,0.0025998806873403437
37,2,039,0.0024272812582784844
37,3,03,0.0008368274639856548
