class,rank,token,mean_abs_shap
0,1,10,0.003276480654198309
0,2,039,0.0020902232710926774
0,3,03,0.002049185483920883
1,1,10,0.0025844188479343905
1,2,039,0.0022882966745449715
1,3,03,0.0008439282981147772
2,1,10,0.0024379316988005152
2,2,039,0.002415850028260441
2,3,03,0.0008427718042611821
3,1,10,0.002389145512073517
3,2,039,0.0021971305512911918
3,3,03,0.0008970582521999965
4,1,10,0.0024330242960876615
4,2,039,0.0022314227946227407
4,3,03,0.0008720543987010767
5,1,10,0.002489583756436401
5,2,039,0.002252277116069941
5,3,03,0.0012809255228687043
6,1,10,0.002310366306000945
6,2,039,0.0021122408117670815
6,3,03,0.0008402903123003216
7,1,10,0.0024229738440662086
7,2,039,0.0021082083308187247
7,3,03,0.0008011519127761294
8,1,10,0.00242798265486162
8,2,039,0.0021824511833391422
8,3,03,0.000837681846599861
9,1,10,0.002567568603021729
9,2,039,0.0023980099411684635
9,3,03,0.001453989721667779
10,1,10,0.0024397843787970865
10,2,039,0.002200183514598474
10,3,03,0.0008585995901005086
11,1,10,0.00236458492490851
11,2,039,0.0023342539261577357
11,3,03,0.0009425403493251812
12,1,039,0.002773874596544027
12,2,10,0.002673038336937516
12,3,03,0.0008252592935849483
13,1,10,0.0027070594689328474
13,2,039,0.0023609877058072366
13,3,03,0.000904877046000146
14,1,10,0.0026911713139985017
14,2,039,0.0024742399883657903
14,3,03,0.0008081784957217304
15,1,03,0.002690355634790783
15,2,10,0.002654769397222826
15,3,039,0.0023720964066897277
16,1,10,0.002215861243014518
16,2,039,0.002044163297274323
16,3,03,0.0008632122269119717
17,1,10,0.0023647466439870152
17,2,039,0.002199533795276532
17,3,03,0.0009508154944961483
18,1,10,0.0022865466263892148
18,2,039,0.0021108301263989444
18,3,03,0.0009116287324841941
19,1,10,0.0023149278251446822
19,2,039,0.0021650127349288387
19,3,03,0.0008052427457683218
20,1,10,0.0024236642298346143
20,2,039,0.002356759548175211
20,3,03,0.0009163203297031986
21,1,10,0.0025410936517799095
21,2,039,0.0022263649202118726
21,3,03,0.0008248784480345815
22,1,10,0.00256671593352238
22,2,039,0.002384597028141767
22,3,03,0.0009725666535008052
23,1,10,0.002567826635763629
23,2,039,0.0022927048148772325
23,3,03,0.0008897508035736332
24,1,10,0.0026414018053777097
24,2,039,0.0023986467015756387
24,3,03,0.0009248006969334023
25,1,10,0.002640226651819906
25,2,039,0.002632492943441803
25,3,03,0.0008499517724522228
26,1,039,0.002323820722716576
26,2,10,0.002222739643258686
26,3,03,0.0009533093879310515
27,1,10,0.0025755111442347755
27,2,039,0.0023216736141331946
27,3,03,0.0008427139550039478
28,1,10,0.002441333210718008
28,2,039,0.0021866230870117498
28,3,03,0.0009832521510257076
29,1,10,0.0023427901975486064
29,2,039,0.002138938923211013
29,3,03,0.000864270024179182
30,1,10,0.002430009415957585
30,2,039,0.002132385399845844
30,3,03,0.0008314648720063528
31,1,10,0.0028341392904466848
31,2,039,0.0028314287761521447
31,3,03,0.0009271338738317031
32,1,039,0.0031135612909037494
32,2,10,0.0030568377895013425
32,3,03,0.0008071347476426851
33,1,039,0.0031913550303709066
33,2,10,0.0030890407317688768
33,3,03,0.00083318642104772
34,1,10,0.0029354447927370402
34,2,039,0.0027990668988027846
34,3,03,0.001513130993681231
35,1,10,0.0030814162177430333
35,2,039,0.0030705122018057627
35,3,03,0.001203498349461417
36,1,10,0.002295445728244531
36,2,039,0.0022673776099173724
36,3,03,0.0010592616525731391
37,1,10,0.0024061961945633587
37,2,039,0.002401870133384631
37,3,03,0.0012771897492000052
