class,rank,token,mean_abs_shap
0,1,10,0.0034082409116210255
0,2,03,0.0030669834304823318
0,3,03 2025,0.0020719556307442605
1,1,10,0.0034245528802368777
1,2,03,0.0025663264679082593
1,3,03 2025,0.0019826667450429758
2,1,10,0.003519105589710188
2,2,03,0.0025517095895385214
2,3,03 2025,0.0021842961220050992
3,1,10,0.003249913385334301
3,2,03,0.0025181359905768093
3,3,03 2025,0.002267697880233422
4,1,03 2025,0.0037935210098485384
4,2,10,0.003635335130910139
4,3,03,0.0027997892862275035
5,1,03,0.003974555282190338
5,2,10,0.0033407896564001654
5,3,03 2025,0.002322564136680397
6,1,10,0.003447732396774506
6,2,03,0.002584343802767988
6,3,03 2025,0.001989620866436608
7,1,03,0.0027931352725556286
7,2,10,0.0026666114914441555
7,3,03 2025,0.0026426635683916067
8,1,10,0.003307719869478355
8,2,03,0.0027427227907827483
8,3,03 2025,0.0023451642883524216
9,1,10,0.0037361887979839464
9,2,03,0.002747532099585993
9,3,03 2025,0.0022073769965479857
10,1,10,0.0037861552246842636
10,2,03,0.0027728821583411405
10,3,03 2025,0.002148064281089819
11,1,10,0.0032034381098065396
11,2,03,0.002740886977558389
11,3,03 2025,0.002028599916471974
12,1,10,0.0032439646699198945
12,2,03,0.0031639795688931794
12,3,03 2025,0.0022167486277604913
13,1,03,0.003972998783778303
13,2,10,0.0033525366429522554
13,3,03 2025,0.0023135739600148916
14,1,10,0.003035845376990206
14,2,03,0.002550672317733296
14,3,03 2025,0.0021964542617000323
15,1,03,0.003966942806039972
15,2,10,0.0033616376578926768
15,3,03 2025,0.0022936057461160815
16,1,10,0.003763261169271173
16,2,03,0.002681293569996581
16,3,03 2025,0.002219650588329898
17,1,03,0.0039242696946693405
17,2,10,0.003666547652351677
17,3,03 2025,0.0024730096936275386
18,1,10,0.003095799294660771
18,2,03,0.0026664777753780686
18,3,03 2025,0.002061904399506672
19,1,10,0.003481918762678869
19,2,03,0.0026521383218985222
19,3,03 2025,0.0021200800589413556
20,1,03,0.0027913153370149792
20,2,10,0.002618555064919668
20,3,03 2025,0.0025954470516830045
21,1,03 2025,0.0030967217627888913
21,2,10,0.0030323533849464443
21,3,03,0.0027435884191765996
22,1,03 2025,0.003753474333226978
22,2,10,0.0036790648730757494
22,3,03,0.0028549483882263603
23,1,10,0.003403379377888792
23,2,03,0.0025605100255316777
23,3,03 2025,0.001967655163790304
24,1,10,0.0030771233074030012
24,2,03,0.002520093347287436
24,3,03 2025,0.001827623039232045
25,1,10,0.003780947340732313
25,2,03,0.0026914205135170916
25,3,03 2025,0.002226975637521895
26,1,10,0.0031524987111814775
26,2,03,0.002647391757184724
26,3,03 2025,0.002136264990297644
27,1,10,0.003567260872487329
27,2,03,0.002664317576483535
27,3,03 2025,0.0021343996450962285
28,1,10,0.0030227052219390415
28,2,03 2025,0.0025859958069893198
28,3,03,0.0025479861972419553
29,1,10,0.0035544357761432338
29,2,03 2025,0.002562129441288477
29,3,03,0.002453814648433941
30,1,10,0.003403379377888792
30,2,03,0.0025605100255316777
30,3,03 2025,0.001967655163790304
