class,rank,token,mean_abs_shap
0,1,10,0.0036314873049699144
0,2,03,0.002751309517078577
0,3,03 2025,0.002146596218814386
1,1,10,0.0034262210764079647
1,2,03,0.003094906844244588
1,3,03 2025,0.002081994913969656
2,1,03,0.0038761345964660743
2,2,10,0.0034295152027014266
2,3,03 2025,0.002404266128422898
3,1,03,0.003615237493966251
3,2,10,0.0033693988284143215
3,3,03 2025,0.0022456613384861748
4,1,03,0.00401784706921542
4,2,10,0.0035065106374709706
4,3,03 2025,0.002418363044628558
5,1,03,0.0037097728379101064
5,2,10,0.0032078422381903236
5,3,03 2025,0.0021080031451378906
6,1,03,0.0037745325305965235
6,2,10,0.0034759962281587353
6,3,03 2025,0.0022615247013795347
7,1,03,0.004083413174738103
7,2,10,0.0035369409818758473
7,3,03 2025,0.0023659648491639452
8,1,10,0.0032935801641733632
8,2,03 2025,0.003063121575965456
8,3,03,0.0029638176940848366
9,1,03,0.003949724105331206
9,2,10,0.0034883554390238054
9,3,03 2025,0.00242785752304386
10,1,10,0.003454867945042803
10,2,03,0.003145649182041645
10,3,03 2025,0.002090059614561833
11,1,03,0.003864481791180992
11,2,10,0.003617908999520601
11,3,03 2025,0.0025785339529028855
12,1,10,0.002877849912241935
12,2,03,0.002367913148986077
12,3,03 2025,0.002225284267743923
13,1,03,0.0034646206965122557
13,2,10,0.003396300460289182
13,3,03 2025,0.0024610094059774653
14,1,10,0.0035046673984684903
14,2,03,0.0025519796707347726
14,3,03 2025,0.0021637527029124038
15,1,03,0.0038395011450578346
15,2,10,0.003248656965090514
15,3,03 2025,0.0023089412165265173
16,1,10,0.0037539358093718438
16,2,03,0.003400013713141258
16,3,03 2025,0.0027671889381509275
17,1,03,0.0037124019212067187
17,2,10,0.0035467186573274597
17,3,03 2025,0.002469909067929587
18,1,10,0.003447732396774506
18,2,03,0.002584343802767988
18,3,03 2025,0.001989620866436608
19,1,10,0.0036314873049699144
19,2,03,0.002751309517078577
19,3,03 2025,0.002146596218814386
20,1,10,0.0032518600353169886
20,2,03,0.003163039689094285
20,3,03 2025,0.0028253857179893547
21,1,10,0.003264300586918815
21,2,03,0.002576063936494586
21,3,03 2025,0.002136434733575869
22,1,10,0.003141674947584622
22,2,03,0.0031277880769101066
22,3,03 2025,0.002568362360785361
23,1,10,0.0029903110975646042
23,2,03 2025,0.002368196069402329
23,3,03,0.0022660945586506793
24,1,10,0.0034245528802368777
24,2,03,0.0025663264679082593
24,3,03 2025,0.0019826667450429758
25,1,03,0.003277774011856048
25,2,10,0.0032245530521016093
25,3,03 2025,0.0025170530575580846
26,1,10,0.003451189336697342
26,2,03,0.003070848886084642
26,3,03 2025,0.0025670511340923075
27,1,10,0.0036314873049699144
27,2,03,0.002751309517078577
27,3,03 2025,0.002146596218814386
28,1,10,0.003624992906306354
28,2,03,0.0029238717599927187
28,3,03 2025,0.0023930588588093817
29,1,10,0.0036736938725073173
29,2,03,0.0026968283356980805
29,3,03 2025,0.002148613662605086
