class,rank,token,mean_abs_shap
0,1,000 as,0.0003923024624132036
0,2,000,0.00033812425967623015
0,3,000 and,0.00033413372327915274
1,1,000 and,0.0003540219181121538
1,2,000 as,0.0003498706298347741
1,3,000,0.0003028860363077927
2,1,000 as,0.000509756045132771
2,2,000 and,0.0004023065445183269
2,3,000,0.0003257932003255138
3,1,000 as,0.0003848211290760883
3,2,000 and,0.0003614628761639773
3,3,000,0.0002815885521770874
4,1,000 as,0.00039773412679093426
4,2,000 and,0.00037395133595346993
4,3,000,0.00035946646416737534
5,1,000 as,0.0004126720589326785
5,2,000 and,0.0003262460875459698
5,3,000,0.0003091041060106641
6,1,000,0.00038426719679655067
6,2,000 as,0.000377007250783503
6,3,000 and,0.0003594254006394725
7,1,000,0.0003780366154007533
7,2,000 as,0.0003728822633814998
7,3,000 and,0.0003547742492840733
8,1,000 as,0.00037311442523110425
8,2,000 and,0.00032314549807717255
8,3,000,0.0002791589968207159
9,1,000 as,0.0003829580898757362
9,2,000,0.0003655170649091228
9,3,000 and,0.00035754401583086456
10,1,000 as,0.00034770261994115746
10,2,000 and,0.0003094812092146407
10,3,000,0.00030175351466298593
11,1,000 as,0.00044613319122039925
11,2,000,0.00040769799451434023
11,3,000 and,0.0003855642582514148
12,1,000 as,0.0003821627734172506
12,2,000 and,0.00034549761043113663
12,3,000,0.0003443432746164518
13,1,000,0.0003120983080819524
13,2,000 as,0.0003094352824763882
13,3,000 and,0.00029104889896160624
14,1,000 as,0.00035419963426317624
14,2,000 and,0.00029531551726961195
14,3,000,0.0002706377050031496
15,1,000 and,0.00034340277172470056
15,2,000 as,0.00032122068908247136
15,3,000,0.0002816456083681515
16,1,000 as,0.000450481263719449
16,2,000,0.0003961376083070127
16,3,000 and,0.00037098486542644794
17,1,000 as,0.0004183855180093903
17,2,000,0.0003538667363669593
17,3,000 and,0.00034392726092778014
18,1,000 as,0.0003706452984073357
18,2,000,0.00033327478885633404
18,3,000 and,0.0003195298407961193
19,1,000 as,0.0003826641387498728
19,2,000 and,0.00037919340871685626
19,3,000,0.0003706721832918705
20,1,000 as,0.0004013729862257687
20,2,000,0.00039300220124008974
20,3,000 and,0.0003267330245711785
21,1,000 as,0.0003135595390480623
21,2,000 and,0.00029114698768831237
21,3,000,0.00027082952625341264
22,1,000 and,0.0003642591267360807
22,2,000 as,0.0003517591326996095
22,3,000,0.00031816529586615083
23,1,000 as,0.00045031465048322045
23,2,000 and,0.00035426112414878064
23,3,000,0.0003416656667758035
24,1,000 as,0.0003929419989678549
24,2,000 and,0.0003720709093378557
24,3,000,0.0002819657909445725
25,1,000 as,0.00034709936956908114
25,2,000 and,0.00030727351778087064
25,3,000,0.0002847042800820582
26,1,000 as,0.0004069975709365443
26,2,000 and,0.0003991906468832384
26,3,000,0.00038437857484346157
27,1,000,0.00034068518012124536
27,2,000 as,0.00032909891596284675
27,3,000 and,0.0003282528273304672
28,1,000 as,0.00035667125036584055
28,2,000,0.0003457075594658704
28,3,000 and,0.00032128247419280405
29,1,000 as,0.0003579892468249661
29,2,000 and,0.00033874896760882986
29,3,000,0.0003124633376986472
30,1,000,0.00038638407388116733
30,2,000 as,0.00038026862971711776
30,3,000 and,0.00035542806551725354
31,1,000 as,0.0004036678570804281
31,2,000,0.0003687595855965962
31,3,000 and,0.0003104601070987677
32,1,000 as,0.0004558005420052766
32,2,000,0.0004301960174138037
32,3,000 and,0.00037426275632209777
33,1,000 as,0.00038626804464945844
33,2,000,0.00034130154752121816
33,3,000 and,0.00031447731716590505
34,1,000 as,0.0003771079436431642
34,2,000,0.0003556860751829657
34,3,000 and,0.0002900395422437802
35,1,000,0.000488981826856416
35,2,000 as,0.0004850892440651082
35,3,000 and,0.00040288726760796914
36,1,000 as,0.0004013615209044931
36,2,000 and,0.00033774160129357175
36,3,000,0.00032907320274319407
37,1,000 as,0.00037815442172918793
37,2,000 and,0.0003329325400525168
37,3,000,0.0003244859775156968
38,1,000 as,0.0005366979480240865
38,2,000 and,0.000442320626374636
38,3,000,0.00040759123462690277
39,1,000 as,0.00039432598398303546
39,2,000 and,0.00033478752612281813
39,3,000,0.00031528738938359674
40,1,000 as,0.0003894991118340435
40,2,000 and,0.0003437089315937828
40,3,000,0.0003193429908521284
41,1,000 and,0.00038300709980966036
41,2,000 as,0.0003521780120550931
41,3,000,0.00034922157493933907
42,1,000 as,0.00039090247537631426
42,2,000,0.0003760891955322966
42,3,000 and,0.0003543389559046166
43,1,000,0.0005134506388901755
43,2,000 as,0.0005093093428384575
43,3,000 and,0.00041094178856014113
44,1,000 as,0.0005001701351610714
44,2,000 and,0.0004088479643043561
44,3,000,0.0003227544577087303
45,1,000 as,0.0003753250574138593
45,2,000 and,0.00033441909863915356
45,3,000,0.00029627664600805537
46,1,000 and,0.0003526283411232761
46,2,000 as,0.0003208563334560594
46,3,000,0.0002735628553383154
47,1,000 as,0.0003838079752910378
47,2,000 and,0.000358784654126836
47,3,000,0.0002913290790621365
48,1,000 as,0.0003889098421036271
48,2,000 and,0.00037036137081272724
48,3,000,0.00033433621499837703
49,1,000 as,0.000339591157612941
49,2,000 and,0.00031247463928044545
49,3,000,0.00029594516933080246
50,1,000 as,0.0003821903524668833
50,2,000 and,0.0003492581340036136
50,3,000,0.00033670383551398427
51,1,000 as,0.00040223560122239937
51,2,000,0.00035712359051292663
51,3,000 and,0.00032099170872427427
52,1,000 as,0.0003937126990506851
52,2,000,0.0003384143651578434
52,3,000 and,0.0003224410083424522
53,1,000 as,0.00037237926434371385
53,2,000,0.0003448526949384178
53,3,000 and,0.00032706562747116045
54,1,000,0.0003946093559849691
54,2,000 as,0.00035161194053677454
54,3,000 and,0.0003458157092130244
55,1,000 and,0.00037149880918358456
55,2,000 as,0.0003470010900600741
55,3,000,0.00028561964406206164
56,1,000 as,0.00039721212977640076
56,2,000,0.00038255374006265975
56,3,000 and,0.0003411803738997195
57,1,000 as,0.0003940483928546442
57,2,000 and,0.00036236404809751154
57,3,000,0.00030784226732909485
58,1,000 as,0.0005056165116585554
58,2,000,0.00048825283629073046
58,3,000 and,0.0003950872945067779
59,1,000 as,0.00032617126411042243
59,2,000,0.00031762684097288426
59,3,000 and,0.00030539230096659174
60,1,000 as,0.0004262175410234085
60,2,000,0.00042155274325592946
60,3,000 and,0.00034187402260972387
61,1,000 and,0.00034579737148409035
61,2,000 as,0.00032246065111718306
61,3,000,0.00027833034309399904
62,1,000 as,0.0003817201885089195
62,2,000 and,0.00035164198786278986
62,3,000,0.00026322097786171406
63,1,000 as,0.00042429010856117824
63,2,000 and,0.0003648636690095356
63,3,000,0.0003206725362525429
64,1,000 and,0.0003541215282317035
64,2,000 as,0.000320237859526153
64,3,000,0.000308586824918584
65,1,000 as,0.00041102393636188435
65,2,000,0.0003731131384625385
65,3,000 and,0.0003081728196351189
66,1,000 and,0.0003196533979155277
66,2,000 as,0.0003031313573377424
66,3,000,0.0002709668970540603
67,1,000,0.0003684950914687724
67,2,000 as,0.0003397986326656414
67,3,000 and,0.00030213714200791043
68,1,000 as,0.0003705414771714031
68,2,000,0.0003308845450799054
68,3,000 and,0.0003254083194292376
69,1,000 as,0.0003580715910105115
69,2,000 and,0.000307406112219811
69,3,000,0.0002700706667148481
70,1,000 as,0.0003898247143395895
70,2,000 and,0.0003299982462407999
70,3,000,0.0003062553181993182
71,1,000,0.0004439488182788481
71,2,000 as,0.0004384413856754444
71,3,000 and,0.00038802775211701276
72,1,000 as,0.00039316542890555556
72,2,000 and,0.00038301179473651347
72,3,000,0.0003662924513474125
73,1,000 as,0.0003575350748966436
73,2,000 and,0.00030344678214791736
73,3,000,0.0003012839831423582
74,1,000 as,0.0003873990049837131
74,2,000,0.000377951404667027
74,3,000 and,0.0003353548280745707
75,1,000 as,0.00039512616933267607
75,2,000,0.00035486985341557156
75,3,000 and,0.00032956587351817444
76,1,000 as,0.0003664255906241731
76,2,000,0.00034847830018094894
76,3,000 and,0.0003336227984866141
77,1,000,0.0004886324021823975
77,2,000 as,0.0004827459863597532
77,3,000 and,0.0004108276889560126
78,1,000 as,0.0003615394274506891
78,2,000,0.00036038015891536116
78,3,000 and,0.00033926571623493616
79,1,000 as,0.00032056505515885327
79,2,000,0.00030815463966773495
79,3,000 and,0.0003004781382366521
80,1,000 as,0.00038903011529528645
80,2,000,0.00034756708017411237
80,3,000 and,0.0003196843554011692
81,1,000,0.0004039454047234282
81,2,000 as,0.00039127356001828867
81,3,000 and,0.0003211081545235106
82,1,000 and,0.00035403101568660684
82,2,000 as,0.00033542990543227645
82,3,000,0.0003134727934472703
83,1,000 as,0.00034503318190193683
83,2,000,0.00034474768635388335
83,3,000 and,0.00032702837268884185
84,1,000 as,0.0004428714277286252
84,2,000,0.00041179576450468467
84,3,000 and,0.0003457653276604644
85,1,000,0.0003981349080944741
85,2,000 and,0.0003736332543372135
85,3,000 as,0.000365776288158584
86,1,000 as,0.0004795171123665601
86,2,000 and,0.000385529302512399
86,3,000,0.00036096410742680543
87,1,000 and,0.00040664588760796393
87,2,000 as,0.0004063230373239931
87,3,000,0.00040307392503612885
88,1,000 as,0.0004088454053576135
88,2,000,0.0003886409803919767
88,3,000 and,0.00035364049052719087
89,1,000,0.00044554639182085626
89,2,000 as,0.00038495088210385286
89,3,000 and,0.0003363928953478786
90,1,000,0.00039290587389995385
90,2,000 as,0.0003900835126067968
90,3,000 and,0.0003336394984524762
91,1,000 and,0.0003951428208625352
91,2,000 as,0.0003906635112368213
91,3,000,0.0003559067236541242
92,1,000,0.0004356668567916707
92,2,000 as,0.00040999976559730466
92,3,000 and,0.00033147042575202407
