class,rank,token,mean_abs_shap
0,1,000 as,0.00031525673811685944
0,2,000 and,0.00026745921820489583
0,3,000,0.0002667983408886246
1,1,000 as,0.00037655140088790824
1,2,000,0.0003730162842430072
1,3,000 and,0.00035374440309453374
2,1,000 and,0.00040251411648856654
2,2,000 as,0.000401150338832647
2,3,000,0.00035897888571706515
3,1,000 as,0.0005019279522528032
3,2,000 and,0.00038139225633088104
3,3,000,0.00036818426769234943
4,1,000 as,0.00037931796613230437
4,2,000 and,0.00032087551914345325
4,3,000,0.00030357160222929447
5,1,000 as,0.0004028328800298576
5,2,000,0.000388192635901805
5,3,000 and,0.0003394424850194553
6,1,000 as,0.0005148831542374705
6,2,000,0.0004393582433284154
6,3,000 and,0.0004298709838616702
7,1,000 as,0.00040443544673353306
7,2,000 and,0.0003391449771179848
7,3,000,0.0003343502557676864
8,1,000 as,0.00033235603933331586
8,2,000,0.0003246466996149472
8,3,000 and,0.00029192265914315354
9,1,000,0.00039515117206264565
9,2,000 as,0.0003862208742814477
9,3,000 and,0.00033294756985848055
10,1,000 as,0.0003966279032911997
10,2,000,0.0003840548974181011
10,3,000 and,0.000334485290306498
11,1,000 as,0.0003991829339189278
11,2,000,0.0003387563530625139
11,3,000 and,0.0003189162904642468
12,1,000,0.0004148027419650081
12,2,000 as,0.0004132509078924321
12,3,000 and,0.0003551474040121165
13,1,000 as,0.0003579558431459016
13,2,000,0.00031351045485963864
13,3,000 and,0.00030042129533123244
14,1,000,0.00043261168695413155
14,2,000 as,0.0004244875714393672
14,3,000 and,0.00038138791776696763
15,1,000 as,0.0004082835286483637
15,2,000,0.0004059401219862134
15,3,000 and,0.0003790851745282923
16,1,000 as,0.00035759125449614804
16,2,000,0.0003472914506611302
16,3,000 and,0.00031174020766395636
17,1,000 as,0.00036279896317457206
17,2,000 and,0.0003512268297705979
17,3,000,0.0003231064206424828
18,1,000 as,0.0004328659976324047
18,2,000 and,0.0003392511512097853
18,3,000,0.00032280997801110214
19,1,000,0.0003990600409150326
19,2,000 as,0.00037794087955609755
19,3,000 and,0.0003522662617874024
20,1,000 as,0.00037999182484566143
20,2,000,0.0003335059505389231
20,3,000 and,0.00032753463795951864
21,1,000 as,0.00040063455346953667
21,2,000,0.0003692205815457528
21,3,000 and,0.00036779055055906226
22,1,000 as,0.00037902821664162023
22,2,000,0.00029280835273309434
22,3,000 and,0.0002917178612364361
23,1,000 as,0.00041254799774269644
23,2,000,0.0003700900619454274
23,3,000 and,0.00036449150043511077
24,1,000 as,0.0003715496622040513
24,2,000 and,0.0003498345751091034
24,3,000,0.00034596563995684516
25,1,000 as,0.0003662889072802706
25,2,000,0.0003495353626718524
25,3,000 and,0.0002973526682357051
26,1,000 as,0.00045854453136769693
26,2,000,0.0004158190632858981
26,3,000 and,0.0003597801149651902
27,1,000 as,0.00042657766336812755
27,2,000,0.0003977997818695338
27,3,000 and,0.0003611667247652493
28,1,000 as,0.0003846450395417544
28,2,000,0.0003097767398103856
28,3,000 and,0.0002881467355822957
29,1,000 as,0.0003723628423153312
29,2,000,0.00031827145084947837
29,3,000 and,0.0003109328084364241
30,1,000 as,0.0003310866534500755
30,2,000,0.0003216478102592827
30,3,000 and,0.0002861332893855177
31,1,000 as,0.00040288844493344215
31,2,000,0.0003911603820869051
31,3,000 and,0.00035274312242243
32,1,000 as,0.0004264491030137299
32,2,000,0.0003553492368935356
32,3,000 and,0.00031663687812078667
33,1,000 as,0.00037091187627397507
33,2,000 and,0.00030977604840665325
33,3,000,0.0002939871611391847
34,1,000 as,0.00037247298184100335
34,2,000,0.0003442349701041344
34,3,000 and,0.0003169056946961936
35,1,000 as,0.00037528531448469804
35,2,000,0.00034128963075452483
35,3,000 and,0.0003232682239490246
36,1,000,0.0004056158947247691
36,2,000 and,0.0003570636440823852
36,3,000 as,0.0003566172744983551
37,1,000 as,0.0003844567584537429
37,2,000,0.000374343330999973
37,3,000 and,0.00034176012359268034
38,1,000 as,0.0003886270889683347
38,2,000,0.0003389151711973324
38,3,000 and,0.00032498088436159415
39,1,000 as,0.000411586963617684
39,2,000 and,0.0003890609400144423
39,3,000,0.000357502918379611
40,1,000 as,0.00038284609202790857
40,2,000 and,0.0003318151387060656
40,3,000,0.0002985315229659935
41,1,000 as,0.0003372397890048384
41,2,000 and,0.0003197172429946044
41,3,000,0.0003052734783732998
42,1,000 as,0.00035222547751177595
42,2,000,0.0003415728538665413
42,3,000 and,0.0002976791226123355
43,1,000 as,0.00037942051354302803
43,2,000 and,0.0003546340306479867
43,3,000,0.00035096248090764814
44,1,000 as,0.0004986534034320837
44,2,000,0.0004632995728921786
44,3,000 and,0.00039696238706098965
45,1,000 as,0.0004358141200160582
45,2,000,0.0003799287389483706
45,3,000 and,0.00034929706379950484
46,1,000 as,0.0004030298500879405
46,2,000 and,0.0003646198659743638
46,3,000,0.0003069934155964058
47,1,000 as,0.00041446524779105404
47,2,000,0.00036812556419075137
47,3,000 and,0.0003358235433646945
48,1,000,0.00034623112897102734
48,2,000 as,0.00034083577591349724
48,3,000 and,0.0002875185305032316
49,1,000 as,0.0004033513495449909
49,2,000,0.00038445866848108885
49,3,000 and,0.0003283162797753654
50,1,000 as,0.0004359385190255469
50,2,000,0.00040276217195712945
50,3,000 and,0.0003384674335148417
51,1,000 as,0.00036022980654324533
51,2,000 and,0.000350448120866878
51,3,000,0.0002954777256786419
52,1,000,0.000359501054490493
52,2,000 as,0.00035796247797529533
52,3,000 and,0.0002978310114043625
53,1,000 as,0.00042862652154456826
53,2,000,0.00037042909305887747
53,3,000 and,0.0003090806471214985
54,1,000,0.0004369889892115338
54,2,000 as,0.000367217708622591
54,3,000 and,0.00033579700358921474
55,1,000 as,0.0003852083674888447
55,2,000 and,0.00034191074954963835
55,3,000,0.0003108119278592222
56,1,000 and,0.000377064673476272
56,2,000 as,0.00033402354975804987
56,3,000,0.00031085188387849845
57,1,000 as,0.00042417071670478246
57,2,000 and,0.0003324005357649438
57,3,000,0.00028976450915556577
58,1,000 as,0.0003410316705140637
58,2,000 and,0.0003180204089506661
58,3,000,0.0002637804316625246
59,1,000 and,0.0003923744147691191
59,2,000 as,0.0003796130847041177
59,3,000,0.00035173750145089646
60,1,000 as,0.00044906946741615154
60,2,000,0.0003900176380520646
60,3,000 and,0.0003531861197382997
61,1,000 as,0.00039416913624056396
61,2,000,0.00038804772686102735
61,3,000 and,0.0003508280974580136
62,1,000 as,0.00043589352190840736
62,2,000 and,0.00040085063573658513
62,3,000,0.0003734627589752596
63,1,000 as,0.0004724232384420048
63,2,000 and,0.0003786794676472484
63,3,000,0.00031446086331567293
64,1,000 as,0.0004183678008075231
64,2,000 and,0.0003968868971377435
64,3,000,0.00036308277068100136
65,1,000 as,0.00046422516293144136
65,2,000,0.0004547110250829908
65,3,000 and,0.00039390660991713624
66,1,000 as,0.0003913746640291761
66,2,000,0.0003453423981964022
66,3,000 and,0.00033595340725836283
67,1,000 as,0.00042570451617346015
67,2,000,0.0003524042936568982
67,3,000 and,0.00031905697547584617
68,1,000,0.00042876040654527735
68,2,000 as,0.0004158024760783244
68,3,000 and,0.0003767976585757453
69,1,000 as,0.00039192894720941777
69,2,000,0.00034263691505189743
69,3,000 and,0.00033245464237874415
70,1,000 as,0.00037806714115433285
70,2,000 and,0.00033129202523056505
70,3,000,0.00031365991924433277
71,1,000 as,0.00041285143985847435
71,2,000 and,0.00037051114421082093
71,3,000,0.00033565869287607907
72,1,000 as,0.0003440389556239198
72,2,000 and,0.00033180161093154857
72,3,000,0.0002883557224058503
73,1,000 as,0.00039032080830615925
73,2,000 and,0.00031278292267887374
73,3,000,0.00030552811058581926
74,1,000 as,0.00035397178295478544
74,2,000 and,0.00035386959434791744
74,3,000,0.00028268111893867354
75,1,000,0.00040173463689765674
75,2,000 as,0.000362577448146962
75,3,000 and,0.0003218337921536946
76,1,000 as,0.00044198214884813054
76,2,000 and,0.0003942119220845271
76,3,000,0.00037877049749886844
77,1,000 as,0.0004301320349547891
77,2,000,0.00036182157418745124
77,3,000 and,0.0003537878162709606
78,1,000 as,0.00046125009611306306
