class,rank,token,mean_abs_shap
0,1,000 senior,0.0025738768770981212
0,2,000,0.0023088781893603693
0,3,00,0.0006518827728781959
1,1,000 senior,0.0025490492958334145
1,2,000,0.0023140895912117584
1,3,00,0.0007071939035953707
2,1,000 senior,0.0025071268181474328
2,2,000,0.0022674963445654048
2,3,00,0.0007055893433844724
3,1,000 senior,0.0024719366734950554
3,2,000,0.002340074863457643
3,3,00,0.0007369417024359511
4,1,000 senior,0.002688704318076765
4,2,000,0.002394798875526835
4,3,00,0.0006804125944500008
5,1,000,0.0035331763244236007
5,2,000 senior,0.003409652173582987
5,3,00,0.0008253655531451504
6,1,000,0.0032902821988862675
6,2,000 senior,0.0032579650779644923
6,3,00,0.00086268828127081
7,1,000,0.002405371483597988
7,2,000 senior,0.002302321716791191
7,3,00,0.0016413920389335185
8,1,000,0.002684250439205159
8,2,000 senior,0.0026624683173354707
8,3,00,0.0008930012747747305
9,1,000 senior,0.002372084894116085
9,2,000,0.002232035425177608
9,3,00,0.0007810523258461879
10,1,000 senior,0.0026483497264777694
10,2,000,0.0024668221417224303
10,3,00,0.000832702490067094
11,1,000 senior,0.0025970620977152415
11,2,000,0.002326917672795752
11,3,00,0.0008354412261458033
12,1,000 senior,0.0029099341469773637
12,2,000,0.002753153273636151
12,3,00,0.0007387620208479586
13,1,000 senior,0.002587076528626044
13,2,000,0.0023181981427194956
13,3,00,0.0006704267618252412
14,1,000 senior,0.0029587578070994526
14,2,000,0.002928665416059436
14,3,00,0.0007702494896867097
15,1,000,0.0028853549598362705
15,2,000 senior,0.002862901338299225
15,3,00,0.0012568162970743363
16,1,000 senior,0.002792694202110029
16,2,000,0.0027891210543184615
16,3,00,0.0027026594139171506
17,1,000,0.002765862902510639
17,2,000 senior,0.0024590594349677077
17,3,00,0.0018900519991527018
18,1,000 senior,0.0025900379367937505
18,2,000,0.0024247296921187833
18,3,00,0.0006239644757397027
19,1,000,0.0021656782603754264
19,2,000 senior,0.002071762373037411
19,3,00,0.0007488621029882503
20,1,000 senior,0.0024999864599245824
20,2,000,0.002245157738913773
20,3,00,0.00096246640473284
21,1,000,0.003249812662130634
21,2,000 senior,0.0032286967194892486
21,3,00,0.0008308799517217322
22,1,000 senior,0.0024032715638346424
22,2,000,0.0021853946438189762
22,3,00,0.0006281178899542432
23,1,000 senior,0.002694308564682678
23,2,000,0.002508496347108928
23,3,00,0.0006751297424453825
24,1,000 senior,0.002812399930329879
24,2,000,0.002509268933574125
24,3,00,0.000696007456254545
25,1,000 senior,0.0027695744627039666
25,2,000,0.002755740326018318
25,3,00,0.0007208496018317781
26,1,000 senior,0.002682991582074057
26,2,000,0.002497003605062501
26,3,00,0.0006822167786601948
27,1,000 senior,0.0024711110453819645
27,2,000,0.0022515728897858083
27,3,00,0.0006550690832261683
28,1,000 senior,0.002430126147620465
28,2,000,0.002241186415063426
28,3,00,0.0006413154437884768
29,1,000 senior,0.003518269962260388
29,2,000,0.0034234756193145506
29,3,00,0.0010019746489863949
30,1,000 senior,0.002771565546129217
30,2,000,0.002741793548050742
30,3,00,0.0008512943473642452
31,1,000 senior,0.0025245433222324193
31,2,000,0.002260331051360747
31,3,00,0.0006660762091872269
32,1,000 senior,0.0026696441506512776
32,2,000,0.0023954080882282527
32,3,00,0.0007384935198323858
33,1,000 senior,0.002922092777907438
33,2,000,0.002795045801666608
33,3,00,0.0006922000900969102
34,1,000 senior,0.002545651307604466
34,2,000,0.002267142077896649
34,3,00,0.0007787785752595501
35,1,000,0.0034096882268946625
35,2,000 senior,0.0033601803452684054
35,3,00,0.0008504141458454659
36,1,000 senior,0.002300534829927484
36,2,000,0.002138415239928564
36,3,00,0.000721656940387335
37,1,000 senior,0.0027202115806100467
37,2,000,0.0025077855625505207
37,3,00,0.0007959677217661301
38,1,000 senior,0.0025139162423872905
38,2,000,0.0022571916242049867
38,3,00,0.000653878554972949
