class,rank,token,mean_abs_shap
0,1,000 senior,0.002904387827792904
0,2,000,0.0026807892071760648
0,3,00,0.0008550094912384401
1,1,000 senior,0.002817336231503072
1,2,000,0.0025580777666041354
1,3,00,0.0007088842137723167
2,1,000 senior,0.0028753393355477734
2,2,000,0.002735250743199432
2,3,00,0.0007253543427750742
3,1,000 senior,0.0025712539183257756
3,2,000,0.0023237263744143857
3,3,00,0.000667500967150005
4,1,000,0.0029955823663764597
4,2,000 senior,0.002900616832670881
4,3,00,0.0007280592567171779
5,1,000 senior,0.0025562798944329425
5,2,000,0.0022559080968718747
5,3,00,0.0007546198041356846
6,1,000 senior,0.0022749746952508594
6,2,000,0.0021699575943136067
6,3,00,0.000828838157585647
7,1,000 senior,0.0024793951362065284
7,2,000,0.0023495684143446083
7,3,00,0.0008232172227603286
8,1,000 senior,0.0025206640637824526
8,2,000,0.002238729705510429
8,3,00,0.0007697537301316501
9,1,000 senior,0.0025368689714419493
9,2,000,0.002284441836135282
9,3,00,0.0006590553911794184
10,1,000 senior,0.0025912799137885545
10,2,000,0.0023629607079576776
10,3,00,0.0007249478811604582
11,1,000 senior,0.0028983872550506504
11,2,000,0.0026644848551615617
11,3,00,0.0007208964859548311
12,1,000,0.0031609920184731883
12,2,000 senior,0.0030795668062889693
12,3,00,0.0006912416497911708
13,1,000 senior,0.0023646145960850083
13,2,000,0.002188223656869222
13,3,00,0.0008250943813760131
14,1,000 senior,0.002783668461985715
14,2,000,0.0026433802873146238
14,3,00,0.0007258133676229202
15,1,000 senior,0.002893523997361921
15,2,000,0.002740359373087802
15,3,00,0.0007256457009269322
16,1,000 senior,0.0028316478220983842
16,2,000,0.0028055534084380465
16,3,00,0.0008001430960922508
17,1,000 senior,0.002952487915991229
17,2,000,0.0027690240208303103
17,3,00,0.0007413402888675104
18,1,000,0.002914532211271329
18,2,000 senior,0.002799374463345485
18,3,00,0.0008165563848085082
19,1,000 senior,0.002441417619295914
19,2,000,0.002188917963622862
19,3,00,0.0007188647178194824
20,1,000 senior,0.002654934728766075
20,2,000,0.002432537338985679
20,3,00,0.0006685889298855999
21,1,000 senior,0.0027026182701528497
21,2,000,0.0024994194457216208
21,3,00,0.0007213190793196883
22,1,000 senior,0.002531191381856084
22,2,000,0.0023868750763311125
22,3,00,0.0007536391904577163
23,1,000,0.003159128106668524
23,2,000 senior,0.0030522759958937808
23,3,00,0.0007334805394844583
24,1,000 senior,0.0024831333787811855
24,2,000,0.002389546945024963
24,3,00,0.0007612136477890123
25,1,000,0.0032677449652155953
25,2,000 senior,0.00316356252720073
25,3,00,0.0008338309139972769
26,1,000,0.00340879962939204
26,2,000 senior,0.003309026446858172
26,3,00,0.0008304992413943142
27,1,000 senior,0.002610789407821641
27,2,000,0.0024550271047899595
27,3,00,0.0008602757033761406
28,1,000 senior,0.0032334748217741163
28,2,000,0.0029548184172062597
28,3,00,0.001419588480439878
29,1,000 senior,0.003518322791181107
29,2,00,0.002893395269758814
29,3,000,0.002289950941710133
30,1,000 senior,0.0027260094390850957
30,2,000,0.002638381247518317
30,3,00,0.0007477251404039336
31,1,000 senior,0.002496453351251125
31,2,000,0.002370877817021454
31,3,00,0.0006897510150145612
32,1,000 senior,0.003055320394157562
32,2,000,0.002765956810369878
32,3,00,0.0010461714641642262
33,1,000 senior,0.002604029835786947
33,2,000,0.002436668545014056
33,3,00,0.0007544949557850622
34,1,000 senior,0.003462323268476607
34,2,000,0.0034480558604384377
34,3,00,0.0009575089373553734
35,1,000 senior,0.0025841185937405036
35,2,000,0.00234373068225891
35,3,00,0.0008552636799493395
36,1,000 senior,0.0029156275549162922
36,2,000,0.0026022529479220132
36,3,00,0.0007059763301281556
37,1,000 senior,0.003821606973567955
37,2,000,0.003765802097975256
37,3,00,0.0009323459617458908
