class,rank,token,mean_abs_shap
0,1,media,0.11454960880394037
0,2,cgi,0.10973289828953596
0,3,stocks,0.06545294596003794
0,4,investment,0.0590320491646219
0,5,general investments,0.04587709593385803
0,6,canadian general,0.04587709593385803
0,7,make,0.04371887580535951
0,8,unaudited,0.040529381207508826
0,9,limited,0.03854122003995787
0,10,ai,0.03830061939869882
0,11,great,0.03055958082029353
0,12,ai great,0.029996668042190023
0,13,general,0.02997697843932302
0,14,canadian,0.029279438320187156
0,15,tariff,0.02444008188362359
0,16,unaudited media,0.023624918957541288
0,17,update,0.021267869247279275
0,18,basis,0.020138866603262605
0,19,shares,0.019685626354494303
0,20,market,0.01822662153076483
0,21,losses,0.017366125976792553
0,22,investments,0.017051285899260915
0,23,nvidia,0.016877545659935184
0,24,futures,0.015888533403972113
0,25,america,0.015619137072145954
0,26,tariffs,0.014816204652568806
0,27,day,0.013926409202580566
0,28,2025,0.012767357714230924
0,29,trade,0.012476543117575447
0,30,uncertainty,0.012215936250922968
0,31,limited cgi,0.012192544254392874
0,32,cgi reports,0.012192544254392874
0,33,unaudited basis,0.012192544254392874
0,34,reports unaudited,0.012192544254392874
0,35,basis net,0.012192544254392874
0,36,newswire canadian,0.012192544254392874
0,37,cgi tsx,0.012192544254392874
0,38,investments limited,0.012192544254392874
0,39,cgi lse,0.012192544254392874
0,40,toronto canada,0.012192544254392874
0,41,tsx cgi,0.012192544254392874
0,42,unaudited toronto,0.012192544254392874
0,43,lse cgi,0.012192544254392874
0,44,lse,0.012192544254392874
0,45,lower,0.011147162786052876
0,46,war,0.010969776590675601
0,47,500,0.010666163233250222
0,48,buy,0.010174603797881904
0,49,trade war,0.009985896808644215
0,50,investors,0.009687139019509301
0,51,energy,0.009657060586466934
0,52,nasdaq,0.008501230828144078
0,53,ahead,0.0080770673864819
0,54,oil,0.007955639941287687
0,55,amid,0.007823480612292027
0,56,major,0.007791323011511843
0,57,trump,0.007726945705829082
0,58,trading,0.006965799313197257
0,59,friday,0.006649467954034787
0,60,dollar,0.006554640929962655
0,61,reports,0.006355803811812842
0,62,canada,0.006284100835346405
0,63,trillion,0.006262531603814924
0,64,session,0.006205432179457633
0,65,drops,0.006051577171007672
0,66,stock,0.005974480251312763
0,67,economy,0.0058564893184214215
0,68,law,0.005797233055230701
0,69,concerns,0.0055104041803724045
0,70,sell,0.005465342929714796
0,71,falling,0.0054543896857252
0,72,stock market,0.005453057937656829
0,73,recently,0.005410097658534824
0,74,declines,0.005128471535288715
0,75,years,0.005097298010869583
0,76,dow,0.005091227903903008
0,77,2024,0.004904224668631259
0,78,worst,0.00487658487354097
0,79,gains,0.00480104051906772
0,80,company,0.0046549069374416845
0,81,growth,0.0045595574704824
0,82,announces,0.004546539839473213
0,83,stocks buy,0.0045393815265782275
0,84,optimism,0.004506413873509617
0,85,markets,0.004415126833165931
0,86,earnings,0.004345411208546431
0,87,fed,0.004191739398396881
0,88,offering,0.00395543067543924
0,89,jim,0.003926727543354207
0,90,dividend,0.003924044820528508
0,91,know,0.0039233183387912636
0,92,technologies,0.003917609758276885
0,93,billion,0.0038925400657194346
0,94,hold,0.0038182464142182937
0,95,march,0.003740323645740796
0,96,mixed,0.0037403175992314027
0,97,economic,0.0037290856848881983
0,98,jim cramer,0.00351712243497254
0,99,best,0.0035007925282337093
0,100,law firm,0.003493797301696283
1,1,media,0.21838641682016355
1,2,great,0.08897874510241395
1,3,general,0.08563763006672963
1,4,ai,0.07981038944326226
1,5,cgi,0.06389585149216541
1,6,unaudited media,0.05661630416439772
1,7,investments investment,0.05306313718499279
1,8,update unaudited,0.05306313718499279
1,9,investment update,0.05306313718499279
1,10,stocks,0.05124357295017037
1,11,general investments,0.0438178123201896
1,12,canadian general,0.0438178123201896
1,13,2025,0.03503370873962101
1,14,unaudited,0.03500106056361799
1,15,limited,0.032782260649910896
1,16,stock,0.027637029349164705
1,17,nvidia,0.024824780328650115
1,18,shares,0.023093955501321806
1,19,canadian,0.022310572230205463
1,20,market,0.022117311513838483
1,21,ai great,0.020745475343356714
1,22,update,0.019207587301955497
1,23,tsx,0.018761329998421842
1,24,energy,0.017736444382568092
1,25,earnings,0.016459779180411954
1,26,gains,0.015035578292497973
1,27,toronto,0.01424332622844563
1,28,500,0.013150471611360562
1,29,futures,0.012645606486858202
1,30,investment,0.012020162283277236
1,31,tech,0.011387356373049684
1,32,basis,0.011227698527586026
1,33,growth,0.010696420697985676
1,34,tariff,0.010685643272799519
1,35,amid,0.010411219904028055
1,36,net,0.010124192876838242
1,37,trading,0.009952126170364662
1,38,trade,0.009282782527955688
1,39,announces,0.008066286112955777
1,40,losses,0.007940027573264447
1,41,best,0.0077866249670143954
1,42,know,0.007307317326635208
1,43,cgi reports,0.007099539054685027
1,44,investments limited,0.007099539054685027
1,45,cgi tsx,0.007099539054685027
1,46,unaudited basis,0.007099539054685027
1,47,lse cgi,0.007099539054685027
1,48,tsx cgi,0.007099539054685027
1,49,basis net,0.007099539054685027
1,50,newswire canadian,0.007099539054685027
1,51,toronto canada,0.007099539054685027
1,52,cgi lse,0.007099539054685027
1,53,lse,0.007099539054685027
1,54,reports unaudited,0.007099539054685027
