class,rank,token,mean_abs_shap
0,1,market,0.12663354178086558
0,2,trump,0.06861714833722811
0,3,stock market,0.0338547661010379
0,4,losses,0.031334432997476735
0,5,stock,0.02478900789790566
0,6,recession,0.020587358247091823
0,7,snap,0.018544452119593987
0,8,investors,0.016797097896894715
0,9,major,0.016323580775247724
0,10,500,0.015928041507554905
0,11,inflation,0.015068208998892428
0,12,shares,0.014188590199338354
0,13,2025,0.014089696614026828
0,14,tech,0.01358133012825025
0,15,corporation,0.01263846940148605
0,16,fed,0.012492215235925185
0,17,today,0.01243726164400694
0,18,analysis,0.011945335652193911
0,19,growth,0.011729992837209062
0,20,tariffs,0.011436420185250026
0,21,reports,0.010953212758924292
0,22,earnings,0.01048302860817507
0,23,china,0.010227643302479057
0,24,day,0.009861703728908242
0,25,technologies,0.009827116606795253
0,26,media,0.00957495580465657
0,27,stocks,0.009552955856258327
0,28,nasdaq,0.0092193370308408
0,29,gains,0.008983613794036739
0,30,news,0.008563052415790572
0,31,update,0.008559465975046572
0,32,buy,0.008536463255657187
0,33,drop,0.008525626733733086
0,34,amid,0.008372756937773628
0,35,rates,0.008251094535473165
0,36,trading,0.007948666452486427
0,37,value,0.007770798669580609
0,38,president,0.007514484890176227
0,39,model,0.007450717282153212
0,40,deepseek,0.007211900881385171
0,41,major indices,0.0069092836377959155
0,42,indices,0.0069092836377959155
0,43,cash,0.006594063336654773
0,44,nyse,0.00655951490245921
0,45,nvidia corporation,0.006500350645840292
0,46,alphabet,0.006423997576539984
0,47,year,0.006311041506638792
0,48,ai,0.00627021261723606
0,49,chief,0.006076734133373286
0,50,fall,0.0060704091309442465
0,51,article,0.005966492195900975
0,52,lower,0.005854139407476622
0,53,hold,0.005697991776203654
0,54,meta,0.005681758234817884
0,55,tariff,0.005497186530374245
0,56,analysis investing,0.005443105768081361
0,57,session,0.005434931031309497
0,58,look,0.005307022799708696
0,59,nvidia,0.005281232602692764
0,60,futures,0.005246686219321837
0,61,thesis,0.005176692315967308
0,62,steady,0.004864528180217866
0,63,read,0.00484137470097732
0,64,cramer,0.004803801925680193
0,65,new,0.004799303908839868
0,66,broadcom,0.004789689585906435
0,67,following,0.004743208644113621
0,68,conference,0.0044420823531260804
0,69,tesla,0.004331301571302084
0,70,2025 earnings,0.0042238910494839695
0,71,16,0.0042151829924143595
0,72,tsla,0.004114729007180471
0,73,despite,0.004113487688057565
0,74,rate,0.004082977147930763
0,75,index,0.004077415648539782
0,76,microsoft,0.004073964545128151
0,77,march,0.004007693809298513
0,78,just,0.00394539048192026
0,79,chips,0.0038811316885431543
0,80,000,0.003878944907323204
0,81,feb,0.0038742727193725596
0,82,investing com,0.00376162255453753
0,83,27,0.0037363749884061683
0,84,executive,0.0037356925028604734
0,85,hedge,0.003708489082188778
0,86,q1 2025,0.0037069486437883064
0,87,delivered,0.0036910901974249646
0,88,potential,0.0036553771070571357
0,89,million,0.0036359129383920644
0,90,week,0.0036055564925925607
0,91,market today,0.0035436853740242378
