class,rank,token,mean_abs_shap
0,1,fears,0.10708554874256214
0,2,tariffs,0.06453695939359766
0,3,futures,0.06314568176344151
0,4,war,0.05739911579019248
0,5,oil,0.04490060600414522
0,6,dollar,0.038427206659638724
0,7,tariff,0.03809600718370958
0,8,drops,0.036544226572065464
0,9,trump,0.03530364651295674
0,10,futures slide,0.03367881554264243
0,11,recession,0.033505862539498596
0,12,trade,0.028266059610969015
0,13,economy,0.024409773676035747
0,14,day,0.023674043265978623
0,15,long,0.023422138508399592
0,16,ahead,0.023192070176641082
0,17,stocks,0.02301248066060543
0,18,market,0.02234215917567639
0,19,dow,0.0211638621820971
0,20,markets,0.02101266318748215
0,21,shares,0.019685626354494303
0,22,accenture,0.019613690930278038
0,23,cost,0.0189987399308356
0,24,trump tariffs,0.018602806804517827
0,25,500,0.018434361798741528
0,26,flat,0.01830540748057837
0,27,announced,0.01825080996940008
0,28,nasdaq,0.017685588334842673
0,29,losses,0.01736612597679255
0,30,tensions,0.01712606081283531
0,31,nvidia,0.016877545659935184
0,32,investors,0.016772160119196067
0,33,costco,0.01630692095115564
0,34,firm,0.015772794113109986
0,35,risk,0.014996620636605723
0,36,plunge,0.014112116541277416
0,37,economic,0.014009838507070833
0,38,amid,0.013880531861459839
0,39,profit,0.013054413016467589
0,40,indexes,0.012444638916101751
0,41,uncertainty,0.012215936250922972
0,42,optimism,0.011970433453765309
0,43,sharply,0.011888500415315287
0,44,company,0.011673849499769857
0,45,2025,0.011601900736988304
0,46,concerns,0.011530323857153146
0,47,rate,0.0114450843300468
0,48,tariffs zerohedge,0.011257683562523914
0,49,lower,0.011147162786052876
0,50,trump tariff,0.010715455259583917
0,51,trade tensions,0.01070265133426609
0,52,zero,0.010376812972605646
0,53,corp,0.01034660148368639
0,54,flat ahead,0.010316850936245578
0,55,winning,0.010244767700544945
0,56,buy,0.010174603797881904
0,57,trade war,0.009985896808644215
0,58,ai,0.009731713619644039
0,59,energy,0.009657060586466934
0,60,tumble trump,0.00958971208679628
0,61,await,0.009529318936337138
0,62,tumble,0.009375275297913202
0,63,reportedly,0.009249146304442932
0,64,winning streak,0.00916845605395738
0,65,ppi,0.008889552363925052
0,66,dropped,0.008641120711099633
0,67,year,0.008618464102705727
0,68,points,0.008541212501717113
0,69,tariff fears,0.00841266833431827
0,70,jones,0.008404368312370687
0,71,look,0.008316486331015893
0,72,dow jones,0.00818039729821513
0,73,stock market,0.008148233959716276
0,74,near,0.007904890026775432
0,75,nyse,0.007849188997694538
0,76,major,0.007791323011511843
0,77,slowdown,0.007759809083640248
0,78,indexes fell,0.007611393850973273
0,79,stayed,0.0075690349925232325
0,80,futures flat,0.007325003060116956
0,81,morgan,0.007143424021053613
0,82,loss,0.0071425790841657824
0,83,trading,0.006965799313197256
0,84,high,0.0068884064898596395
0,85,streak,0.006746948735663564
0,86,748,0.0067243769889785325
0,87,tell,0.00668035713223914
0,88,timeline,0.00666578549142585
0,89,friday,0.006649467954034787
0,90,reciprocal tariffs,0.006383376569305143
0,91,reciprocal,0.006383376569305143
0,92,nuclear,0.006344214760399534
0,93,details,0.0062676865743439
0,94,trillion,0.006262531603814924
0,95,session,0.006205432179457633
0,96,stock,0.0061747893186110585
0,97,longest,0.005969841109780158
0,98,dow 500,0.005930688585109507
0,99,going,0.0058048177773276635
0,100,law,0.005797233055230701
1,1,futures,0.05025734110394556
1,2,fears,0.049828124625820674
1,3,accenture,0.04300103139086998
1,4,futures slide,0.036446371164414154
1,5,markets,0.03366455336538823
1,6,2025,0.031835687566942
1,7,costco,0.030244703906161893
1,8,oil,0.029934193580864403
1,9,stock,0.028563628373508353
1,10,market,0.027111359806650012
1,11,zero,0.026933489978681627
1,12,war,0.0267607606021389
1,13,nvidia,0.024824780328650122
1,14,shares,0.023093955501321813
1,15,500,0.022727999394589152
1,16,drops,0.022052079971732988
1,17,earnings,0.021398191534063273
1,18,trade,0.02103047950206953
1,19,rate drops,0.020911446333449726
1,20,drops zero,0.020911446333449726
1,21,survival rate,0.020911446333449726
1,22,survival,0.020911446333449726
1,23,zerohedge,0.020911446333449726
1,24,zerohedge long,0.020911446333449726
1,25,timeline survival,0.020911446333449726
1,26,long timeline,0.020911446333449726
1,27,ai,0.020278832721970976
1,28,long,0.020164723380178825
1,29,amid,0.018471736143561367
1,30,stocks,0.018016633387534627
1,31,tariffs zerohedge,0.017862795789369734
1,32,energy,0.017736444382568092
1,33,flat ahead,0.017560568615779773
1,34,tariff,0.016656259370223234
1,35,timeline,0.015926221050708848
1,36,rate,0.015914141892135213
1,37,nuclear,0.01590826859828315
1,38,recession,0.015584599079812135
1,39,futures flat,0.015495192241091653
1,40,dollar,0.015339893575682736
1,41,gains,0.015035578292497975
1,42,nyse,0.01489728713096252
1,43,liberation,0.013888724021527608
1,44,liberation day,0.013888724021527608
1,45,cost,0.013712000054796596
1,46,today,0.013638665010046848
1,47,risk,0.012514194103251856
1,48,firm,0.012500973801502535
1,49,investors,0.012232353431821831
1,50,tumble trump,0.01187145524789213
1,51,flat,0.011647268298705401
1,52,streak,0.011638742202685376
1,53,loss,0.01143115972485375
1,54,tech,0.011387356373049686
1,55,global,0.011309707514919942
1,56,growth,0.01069642069798568
1,57,near,0.010657644054550922
1,58,day,0.01046740543676433
1,59,dropped,0.010132614071607295
1,60,trading,0.00995212617036466
1,61,optimism,0.009792086256033299
1,62,economy,0.009635092341376508
1,63,tensions,0.009322967423193107
1,64,company announced,0.00914586953483203
1,65,slide,0.009110799475507326
1,66,dow jones,0.009035038973867903
1,67,winning,0.008407236222678315
1,68,jones,0.008386392347895219
1,69,await,0.008132075310321526
1,70,winning streak,0.008121767102699073
1,71,announces,0.008066286112955777
1,72,losses,0.007940027573264447
1,73,apple,0.007837836023544303
1,74,hit,0.007829259687543454
1,75,best,0.007786624967014397
1,76,ahead,0.007668117179024599
1,77,points,0.007651099700024349
1,78,peak,0.007513726279666524
1,79,going,0.007396701565996206
1,80,indexes,0.007363839409380548
1,81,stock today,0.007341521995463162
1,82,know,0.007307317326635207
1,83,dow,0.00713136151055045
1,84,ppi,0.007023069047387342
1,85,look,0.006871929687592501
1,86,report,0.006833575657531773
1,87,climbing,0.006036247734277078
1,88,offering,0.006003534124324901
1,89,jobs,0.005883258918515719
1,90,trade tensions,0.005762931103970762
1,91,uncertainty,0.005762453310891195
1,92,data,0.0056363189816166365
1,93,street,0.005618967083041101
1,94,cautious,0.005506213458365649
1,95,cramer,0.005495235157616024
1,96,china trade,0.005468472123364441
1,97,major,0.005412112990149285
1,98,goldman sachs,0.005329734179767869
1,99,goldman,0.005329734179767869
1,100,sachs,0.005329734179767869
2,1,tariffs,0.06004342764232921
2,2,drops,0.058596306543798576
2,3,fears,0.057257424116741465
2,4,shares,0.04277958185581616
2,5,trump,0.038515724839490076
