class,rank,token,mean_abs_shap
0,1,2025,0.056606936987177864
0,2,500,0.04626423645902916
0,3,amid,0.03211932931851023
0,4,trump,0.03106702130981363
0,5,financial,0.029413210111981485
0,6,nasdaq,0.026093946842169362
0,7,tariff,0.024623970458643757
0,8,capital,0.021310200921438434
0,9,rate,0.01936691512217531
0,10,market,0.019145278205789817
0,11,wall street,0.018450916199417564
0,12,street,0.018450916199417564
0,13,wall,0.017291314947856264
0,14,announces,0.01697700181741939
0,15,president,0.016193099217662696
0,16,time,0.016066089664556076
0,17,nyse,0.015208897402309126
0,18,shares,0.01458154492585352
0,19,corporation,0.014550610781347229
0,20,stock,0.014442060104242803
0,21,risks,0.012870078836236249
0,22,drops,0.01283460984795379
0,23,long timeline,0.012591632352115963
0,24,long,0.012591632352115963
0,25,zerohedge,0.012591632352115963
0,26,rate drops,0.012591632352115963
0,27,survival rate,0.012591632352115963
0,28,drops zero,0.012591632352115963
0,29,timeline,0.012591632352115963
0,30,timeline survival,0.012591632352115963
0,31,survival,0.012591632352115963
0,32,zerohedge long,0.012591632352115963
0,33,conference,0.011586847741123946
0,34,transcript,0.011366260524350332
0,35,10,0.011053439732853942
0,36,media,0.010810818725707362
0,37,zero,0.009616636757025551
0,38,futures,0.009403497003620304
0,39,buy,0.009326274335852123
0,40,raised,0.009047864094789826
0,41,stock news,0.0087707111620024
0,42,q1,0.008620623368290935
0,43,nvidia,0.00849770575513651
0,44,ceo,0.00849057590470488
0,45,following,0.008387232384798122
0,46,stocks,0.008220381273647262
0,47,news,0.008012928667659493
0,48,says,0.007989573071002063
0,49,billion,0.007925450703463687
0,50,recession,0.007276604112986364
0,51,bank,0.007157214112632901
0,52,raise,0.006733038850695806
0,53,new,0.005574571128937691
0,54,results,0.005570400452165588
0,55,q1 2025,0.005555445910415183
0,56,higher,0.005528025448351439
0,57,exchange,0.005405058069761561
0,58,america,0.005372647253130067
0,59,key,0.005228660111067399
0,60,chinese,0.005112642656121543
0,61,previous,0.00499722170726618
0,62,year,0.004988830328900268
0,63,major,0.004977735477681463
0,64,likely,0.0049252550246627735
0,65,bond,0.0047657961060198865
0,66,earnings transcript,0.004647102508310179
0,67,company,0.004449064396057857
0,68,etcompany,0.004421019348539096
0,69,30,0.0043589308947442765
0,70,tariffs,0.004326824281239325
0,71,16,0.0042957531461728414
0,72,public,0.004220898352052276
0,73,reports,0.0040293029594091504
0,74,key metrics,0.0038705541195813717
0,75,metrics,0.0038705541195813717
0,76,holdings,0.003853080720613579
0,77,tech,0.0037354895592032742
0,78,federal,0.003733966342701366
0,79,conference transcript,0.0036280708089598324
0,80,trade,0.0035439796827837393
0,81,looking,0.0035034663720889996
0,82,click,0.0034931208729750197
0,83,quarter,0.0034647148042742733
0,84,pm,0.0034368586515333174
0,85,pm etcompany,0.0034368586515333174
0,86,limited,0.0034139302836361392
0,87,2024,0.003394661089230692
0,88,funds,0.0033790791123503253
0,89,strategic,0.003377894256815729
0,90,bancorp,0.0033351254249275727
0,91,2025 earnings,0.0033038891303953624
0,92,investors,0.0032895661662371354
0,93,jpmorgan,0.003166996809272116
0,94,worst,0.003121590980972056
0,95,oil,0.003049219736066767
0,96,president donald,0.00304886540389727
0,97,ahead,0.002989187108807547
0,98,rating,0.002922195299264261
0,99,dollar,0.0028751317150193466
0,100,recent,0.002856088045329501
1,1,stock,0.0539479823421197
1,2,corporation,0.04117164414454231
1,3,2025,0.03922668765979604
1,4,conference,0.0304235613283149
1,5,announces,0.029509199539744967
1,6,q1,0.02895325043598665
1,7,transcript,0.027466249459110522
1,8,market,0.026754653331688926
1,9,nvidia,0.026705957665801867
1,10,nasdaq,0.02537478772598497
1,11,shares,0.023905322059945642
1,12,federal,0.022769739143229602
1,13,etcompany,0.022163182723590438
1,14,futures,0.02211205960884203
1,15,amid,0.02137874250841591
1,16,earnings transcript,0.020055187603489483
1,17,america,0.0199640854404708
1,18,earnings,0.01968798313454286
1,19,q1 2025,0.017865047340643064
1,20,pm,0.01722944875015218
1,21,pm etcompany,0.01722944875015218
1,22,500,0.016966418808752538
1,23,2025 earnings,0.0156371486247544
1,24,march,0.01555560534259884
1,25,stocks,0.014903867563193946
1,26,growth,0.013622034042202195
1,27,ceo,0.01342831174634584
1,28,buy,0.01325652941485896
1,29,president,0.012690780444492426
1,30,wall,0.01250095518597186
1,31,q4,0.01216670638410526
1,32,trade,0.011902528572830876
1,33,rate,0.01171637318266615
1,34,wall street,0.011116023600094622
1,35,street,0.011116023600094622
1,36,strategic,0.010729155955134047
1,37,investors,0.010241407189878713
1,38,nyse,0.0100277578596501
1,39,13,0.009621763103935279
1,40,2024,0.009507284096922147
1,41,trump,0.009341568151550291
1,42,news,0.00911060571465231
1,43,high,0.008802372115574388
1,44,quarter,0.008771106757459396
1,45,time,0.008679178181066217
1,46,30,0.008312729102553568
1,47,chinese,0.008142245501059433
1,48,new,0.00802769362523951
1,49,tariff,0.007951218361522346
1,50,16,0.007831395447593927
1,51,company,0.007642649187058817
1,52,zerohedge,0.007617540671069578
1,53,survival rate,0.007617540671069578
1,54,survival,0.007617540671069578
1,55,timeline,0.007617540671069578
1,56,zerohedge long,0.007617540671069578
1,57,long timeline,0.007617540671069578
1,58,long,0.007617540671069578
1,59,drops zero,0.007617540671069578
1,60,timeline survival,0.007617540671069578
1,61,rate drops,0.007617540671069578
1,62,filing,0.0075382488830286285
1,63,tariffs,0.007529550563413359
1,64,conference march,0.0071504948470919785
1,65,march 2025,0.006751864571593434
1,66,exchange,0.0064990788858653855
1,67,key,0.006343414930969649
1,68,estimates,0.006300976456518705
1,69,results,0.006111676791587404
1,70,billion,0.006097282472538545
1,71,markets,0.006073956514581191
1,72,click,0.006025344367412202
1,73,higher,0.006014529435439336
1,74,year,0.00597279355438782
1,75,risks,0.005872754251711636
1,76,bond,0.005710541677385974
1,77,jpmorgan,0.005473452864877857
1,78,recent,0.005214765481271819
1,79,look,0.005209865678810875
1,80,expert,0.005121777674618229
1,81,corporation nyse,0.005042637415144115
1,82,10,0.0049552573298564965
1,83,corp,0.004579059000842705
1,84,june,0.004566144232124346
1,85,rating,0.004529070580079591
1,86,metrics,0.004368782773607597
1,87,key metrics,0.004368782773607597
1,88,payments,0.004336664975639493
1,89,wealth,0.004335195907283306
1,90,following,0.004184731478480297
1,91,index,0.004161811430319697
1,92,donald,0.004054648654431659
1,93,donald trump,0.004054648654431659
1,94,concerns,0.004023376479213192
1,95,finance,0.0039802111970068475
1,96,hold,0.003960724408982588
1,97,earnings conference,0.0039092871561886
1,98,offering,0.003903302359975213
1,99,public offering,0.003903302359975213
1,100,net,0.003866977323086563
2,1,stock,0.06839004244636246
2,2,shares,0.038486866985799166
2,3,nvidia,0.03520366342093838
2,4,500,0.02929781765027659
2,5,financial,0.02866222205995591
2,6,corporation,0.026621033363195074
2,7,federal,0.026503705485930975
2,8,time,0.024745267845622303
2,9,buy,0.02258280375071108
2,10,ceo,0.0219188876510507
2,11,trump,0.02172545315826334
2,12,earnings,0.020388764000759497
2,13,q1,0.020332627067695692
2,14,conference,0.01883671358719094
2,15,capital,0.01850502730259032
2,16,etcompany,0.017742163375051353
2,17,2025,0.017380249327381837
2,18,tariff,0.016672752097121407
2,19,transcript,0.016099988934760185
2,20,earnings transcript,0.015408085095179316
2,21,america,0.014591438187340728
2,22,pm etcompany,0.013792590098618876
2,23,pm,0.013792590098618876
2,24,media,0.013766600922804188
2,25,growth,0.013720863371455031
2,26,new,0.013602264754177192
2,27,chinese,0.013254888157180981
2,28,2024,0.012901945186152841
2,29,march,0.012875459802659524
2,30,futures,0.012708562605221735
2,31,following,0.012571963863278425
2,32,announces,0.01253219772232558
2,33,zero,0.012511476223425117
2,34,2025 earnings,0.012333259494359044
2,35,q1 2025,0.012309601430227883
2,36,quarter,0.01223582156173368
2,37,key,0.011572075042037052
2,38,higher,0.011542554883790775
2,39,drops,0.011439658969102505
2,40,amid,0.010740586810094332
2,41,q4,0.010472642797416035
2,42,stock news,0.009823789281252705
2,43,click,0.009518465240387223
2,44,jpmorgan,0.008640449674149994
2,45,trade,0.008358548890047137
2,46,metrics,0.008239336893188974
2,47,key metrics,0.008239336893188974
2,48,markets,0.008152480013449922
2,49,recent,0.008070853526601321
2,50,raise,0.007778897378278167
2,51,rate,0.007650541939509159
2,52,market,0.007609375125899116
2,53,bank,0.007567519087133221
2,54,rating,0.007451265879343856
2,55,strategic,0.007351261698318319
2,56,wall street,0.007334892599322928
2,57,street,0.007334892599322928
2,58,high,0.0072758017590410125
2,59,wealth,0.007162771576756027
2,60,risks,0.006997324584524612
2,61,estimates,0.006981289391630557
2,62,investors,0.006951841023641577
2,63,holdings,0.006862951568109678
2,64,june,0.006811510827700658
2,65,13,0.00679734185242354
2,66,stocks,0.0066834862895467015
2,67,expert,0.006670012777566587
2,68,singapore,0.006340896091547599
2,69,looking,0.006162629340389056
2,70,10,0.006098182402997445
2,71,president donald,0.006057386968899919
2,72,transaction,0.006004231659053424
2,73,public,0.0060012713637
2,74,conference march,0.005788781334312836
2,75,jpm,0.005781681949682674
2,76,raised,0.0057382229079495665
2,77,major,0.005630760616022423
2,78,says,0.005614636517788121
2,79,filing,0.0055654440893993665
2,80,likely,0.005476823009705533
2,81,march 2025,0.005435472108193508
2,82,traders,0.005257049629140215
2,83,recession,0.005235568468795825
2,84,profit,0.005212046627394124
2,85,nyse,0.005181139542659034
2,86,equity,0.005127517904110646
2,87,long timeline,0.004974091681046382
2,88,long,0.004974091681046382
2,89,rate drops,0.004974091681046382
2,90,drops zero,0.004974091681046382
2,91,zerohedge,0.004974091681046382
2,92,survival rate,0.004974091681046382
2,93,survival,0.004974091681046382
2,94,timeline,0.004974091681046382
2,95,timeline survival,0.004974091681046382
2,96,zerohedge long,0.004974091681046382
2,97,business,0.004849192983566402
2,98,concerns,0.004835097976131722
2,99,wall,0.004790359761884401
2,100,asset,0.004758288489651642
