class,rank,token,mean_abs_shap
0,1,media,0.030997284179756137
0,2,therapeutics,0.029701155255972743
0,3,pharmaceuticals,0.025375026484680183
0,4,oil,0.02372802854279754
0,5,amid,0.0225151486786217
0,6,ai,0.022396299323092943
0,7,earnings,0.020907608065742562
0,8,healthcare,0.02041219541657916
0,9,2024,0.02017751777852007
0,10,q4,0.018180914570272613
0,11,gains,0.016692958225195096
0,12,nasdaq,0.01566473882621375
0,13,2025,0.015506059621428182
0,14,stock,0.014996686704137962
0,15,rate,0.014548081281245113
0,16,growth,0.014499340586277425
0,17,drops,0.013892904938660773
0,18,trade,0.013502140856335009
0,19,rise,0.013345089346336679
0,20,key,0.01303409352847499
0,21,technologies,0.012797729045349615
0,22,tariff,0.012282010506521219
0,23,need,0.012033963240589739
0,24,company,0.01191139234827141
0,25,shares,0.011858556577747049
0,26,news,0.011351339218113822
0,27,data,0.01046503952886434
0,28,set,0.009619235882081783
0,29,q4 2024,0.00907683731428917
0,30,2024 earnings,0.00907683731428917
0,31,trading day,0.009032907624601356
0,32,market,0.009031297562202471
0,33,survival,0.009022315787290716
0,34,long timeline,0.009022315787290716
0,35,long,0.009022315787290716
0,36,survival rate,0.009022315787290716
0,37,timeline survival,0.009022315787290716
0,38,drops zero,0.009022315787290716
0,39,zero,0.009022315787290716
0,40,rate drops,0.009022315787290716
0,41,zerohedge long,0.009022315787290716
0,42,zerohedge,0.009022315787290716
0,43,stocks,0.008873857674738167
0,44,results,0.008670214983070537
0,45,stock news,0.008634857680557313
0,46,conference,0.00816746835642198
0,47,investors,0.008113262075022509
0,48,transcript,0.007789072057207647
0,49,timeline,0.007648948370142744
0,50,biogen,0.007350800685590058
0,51,revenue,0.007276318725414249
0,52,oscr,0.007271901332424088
0,53,health oscr,0.007271901332424088
0,54,oscar health,0.007271901332424088
0,55,oscar,0.007271901332424088
0,56,trading,0.007252872126873175
0,57,closed,0.0069769948115547984
0,58,present,0.006955364736730274
0,59,breakthrough,0.0068284872586736965
0,60,10,0.00678940501296563
0,61,sees,0.006546587740477933
0,62,announces,0.006436221460136948
0,63,new,0.006414192192958005
0,64,trading session,0.006377183565025133
0,65,wall,0.00636837900952155
0,66,wall street,0.00636837900952155
0,67,scientific,0.006146808761400593
0,68,corporation,0.006013363361659449
0,69,30,0.005916204474395784
0,70,futures rise,0.005902396705052133
0,71,loss,0.005782428258213881
0,72,etcompany,0.005683221483246335
0,73,asco,0.0056260482683760235
0,74,marking,0.005478403220217467
0,75,nyse,0.005411139936958212
0,76,slide,0.0054044402223045905
0,77,lower,0.00539531058828643
0,78,despite,0.005338648030901914
0,79,street,0.005301302000360649
0,80,dow,0.005189066446579685
0,81,know,0.0050771972800773245
0,82,china,0.004927925817864594
0,83,february,0.0049201866312618405
0,84,presentation,0.0048130086683422215
0,85,tariffs,0.004796592585176281
0,86,16,0.004764186640374085
0,87,price,0.00475294374451509
0,88,report,0.004702071251395306
0,89,trial,0.0046530297318868475
0,90,pm,0.004649362142358661
0,91,futures,0.004632324386374328
0,92,financial,0.004428587054839663
0,93,11,0.00419830407876926
0,94,market today,0.004132668047316447
0,95,q1,0.003914459401413658
0,96,market recap,0.0038945666319138896
0,97,recap,0.0038945666319138896
