class,rank,token,mean_abs_shap
0,1,500,0.04249713125538619
0,2,corporation,0.02627682967885221
0,3,year,0.025120242667724637
0,4,new,0.022140318314693302
0,5,tariffs,0.01866289801051214
0,6,news,0.01751132084717587
0,7,week,0.017205459817440517
0,8,fed,0.016984450608223827
0,9,stock news,0.016362139730874928
0,10,trading,0.014781470320047545
0,11,nyse,0.014133770367685936
0,12,futures,0.013917203000244238
0,13,earnings,0.013697462704275637
0,14,2025,0.01305252450052525
0,15,announces,0.011642015116258482
0,16,market,0.011053810615611344
0,17,company,0.01071047453381701
0,18,losses,0.010663288323673381
0,19,stocks,0.01058997505948419
0,20,10,0.010021856119388656
0,21,program,0.009615656409444487
0,22,key,0.00939693289903015
0,23,day,0.00925655762623271
0,24,following,0.008421324873133303
0,25,iran,0.008379711228067525
0,26,gains,0.008303902143514732
0,27,published,0.008064362322146156
0,28,technologies,0.007990830500913286
0,29,united,0.007920671198823904
0,30,shares,0.007898627044391338
0,31,group,0.007152255852877549
0,32,companies,0.007081100045859852
0,33,financial,0.006901983131721451
0,34,disappointing,0.006778152941990021
0,35,announced,0.006740199067124469
0,36,trump,0.006645632660780041
0,37,2024,0.0063556775673733815
0,38,rating,0.006147726842176463
0,39,zto,0.0060767991025499745
0,40,cramer,0.0060753225389851544
0,41,revenue,0.00606062277982801
0,42,billion,0.0059060743670343455
0,43,term,0.005887048021033364
0,44,risk,0.005490344153129751
0,45,global,0.00530510311459708
0,46,delivered,0.005246991487811353
0,47,india,0.00519232690740731
0,48,systems,0.004985432704747756
0,49,express,0.00495260059312852
0,50,drops,0.004928612673139261
0,51,decline,0.004896816219737564
0,52,earnings presentation,0.004791392284574683
0,53,slide deck,0.004791392284574683
0,54,presentation,0.004791392284574683
0,55,results earnings,0.004791392284574683
0,56,slide,0.004791392284574683
0,57,following slide,0.004791392284574683
0,58,deck published,0.004791392284574683
0,59,q1 earnings,0.004739094586003518
0,60,powell,0.004694027853407973
0,61,secures,0.0046924449299528374
0,62,tennant,0.004618395249786945
0,63,q1,0.004544998675131872
0,64,latest,0.004535157697927401
0,65,latest trading,0.004535157697927401
0,66,trading day,0.004506711885795107
0,67,conference,0.0044880198775105904
0,68,rebound,0.004420546825157824
0,69,street,0.004142256317475726
0,70,wall street,0.004142256317475726
0,71,wall,0.004142256317475726
0,72,results,0.0041227179004679065
0,73,know,0.004073013110390007
0,74,million,0.004014660675205456
0,75,flat,0.003992273057851161
0,76,sell,0.0038878446819881007
0,77,analysts,0.0038429633724750374
0,78,april,0.0038299033346376327
0,79,transcript,0.0037903748676196406
0,80,etcompany,0.0037903748676196406
0,81,quarter,0.0035810460617156635
