class,rank,token,mean_abs_shap
0,1,media,0.046575943133278966
0,2,share price,0.037010907433383505
0,3,share,0.037010907433383505
0,4,lawsuit,0.034564956905412544
0,5,asx,0.03410482899016535
0,6,class action,0.034004310136386925
0,7,class,0.034004310136386925
0,8,action,0.034004310136386925
0,9,rmd,0.033449623205569205
0,10,holdings dv,0.03142649242368715
0,11,action lawsuit,0.02854121773179056
0,12,law,0.026476566713408443
0,13,firm,0.02320463236774752
0,14,shares,0.02211157846150203
0,15,investors,0.02098215342516738
0,16,fraud,0.019954528509793536
0,17,company,0.019635945234077908
0,18,angeles,0.016637943805667698
0,19,prnewswire,0.01639803343226533
0,20,law firm,0.016068627323441678
0,21,securities,0.014410598677098568
0,22,schall,0.014239346178902759
0,23,schall law,0.014239346178902759
0,24,value,0.013851486399472692
0,25,resmed,0.013343903140775278
0,26,cdi asx,0.013343903140775278
0,27,resmed cdi,0.013343903140775278
0,28,cdi,0.013343903140775278
0,29,buy,0.013180012280698154
0,30,needham,0.013157092150406327
0,31,national,0.013046219735826417
0,32,rmd share,0.012927653920683338
0,33,price target,0.012589916911424833
0,34,securities fraud,0.012537199217476284
0,35,llp,0.012343971423367708
0,36,target,0.01206627947363814
0,37,dv investors,0.011949704293762116
0,38,york,0.011528520058272021
0,39,james,0.011064749356218208
0,40,rating,0.01078101292235464
0,41,pomerantz,0.01052737970163378
0,42,asx rmd,0.010089423124154522
0,43,stock,0.009439580970356319
0,44,filed,0.00900370211560646
0,45,2025,0.008734917007030262
0,46,17,0.008708451056864172
0,47,holdings,0.008697814349138088
0,48,doubleverify holdings,0.008697814349138088
0,49,june,0.008119553140186853
0,50,12,0.00782017163738073
0,51,opportunity,0.00756545492770983
0,52,2025 prnewswire,0.007499106335932548
0,53,announces,0.007084999386343855
0,54,doubleverify dv,0.00691645178427841
0,55,dv,0.006903915642484385
0,56,doubleverify,0.006543583178533686
0,57,los,0.00640551076578071
0,58,los angeles,0.00640551076578071
0,59,trading,0.006328464327545894
0,60,shares doubleverify,0.005976167181266127
0,61,lawsuit filed,0.005937089710957244
0,62,announces class,0.005937089710957244
0,63,investors opportunity,0.005895707812734065
0,64,focus 2025,0.005773237953186411
0,65,2025 value,0.005773237953186411
0,66,price focus,0.005773237953186411
0,67,focus,0.005773237953186411
0,68,results,0.005723112193814796
0,69,york june,0.00566471307637137
0,70,pr,0.005626035227513638
0,71,11,0.0055643472971965485
0,72,new york,0.005356533166571058
0,73,new,0.005356533166571058
0,74,violations,0.005070831093461506
0,75,losses,0.004981741083958814
0,76,shares resmed,0.004951555119882051
0,77,quarter,0.0043988415584515165
0,78,march,0.004190574480196823
0,79,investors purchased,0.0041173027513694066
0,80,purchased,0.0041173027513694066
0,81,filed behalf,0.0041173027513694066
0,82,friday,0.0038443767561404042
0,83,dv price,0.003779668110791869
0,84,gross,0.003727631568507459
0,85,gross law,0.003727631568507459
0,86,investigation,0.0036768945589257477
0,87,analyst,0.003599142716841521
0,88,holdings fraud,0.0035598365447256897
0,89,fraud investigation,0.0035598365447256897
0,90,investigation schall,0.0035598365447256897
0,91,national shareholder,0.0035598365447256897
0,92,litigation firm,0.0035598365447256897
0,93,join,0.0035598365447256897
0,94,join doubleverify,0.0035598365447256897
0,95,litigation,0.0035598365447256897
0,96,opportunity join,0.0035598365447256897
0,97,rights litigation,0.0035598365447256897
0,98,shareholder rights,0.0035598365447256897
0,99,high,0.0035303009251445834
0,100,investor,0.0034609140685020355
1,1,media,0.09264684824449805
1,2,national,0.039559733472640336
1,3,share price,0.026083552288964314
1,4,share,0.026083552288964314
1,5,asx,0.025412134661737775
1,6,rmd,0.023428212420861464
1,7,firm,0.021883709362613336
1,8,price,0.020222521977445656
1,9,needham,0.01763764033437312
1,10,url,0.016973975734279268
1,11,class,0.01666103722803031
1,12,class action,0.01666103722803031
1,13,action,0.01666103722803031
1,14,shares,0.01559017910870768
1,15,2025,0.014208559822162207
1,16,offices,0.014151387652464107
1,17,law offices,0.014151387652464107
1,18,law firm,0.013796292337179047
1,19,doubleverify,0.012235730786761628
1,20,dv stock,0.011110401688598521
1,21,lawsuit,0.011101412967157718
1,22,doubleverify holdings,0.010197882677414827
1,23,holdings,0.010197882677414827
1,24,value,0.009947158976099258
1,25,resmed cdi,0.009455527240863364
1,26,cdi asx,0.009455527240863364
1,27,cdi,0.009455527240863364
1,28,resmed,0.009455527240863364
1,29,rmd share,0.009025500844942946
1,30,behalf,0.008725265702828926
1,31,quarter,0.008623873901480865
1,32,action lawsuit,0.00849597218435974
1,33,results,0.008006744182072574
1,34,12,0.007836893533457043
1,35,fraud,0.007486174890830573
1,36,securities,0.007284616260021166
1,37,asx rmd,0.007137817110670821
1,38,announces,0.0067666050447251205
1,39,investigation,0.006482974598654351
1,40,friday,0.006245103488922627
1,41,prnewswire,0.005800862471323948
1,42,law,0.005711979341363722
1,43,angeles,0.005544680662723216
1,44,investors,0.0055156288528205874
1,45,york,0.005110436258582486
1,46,schall,0.0050872065329022045
1,47,schall law,0.0050872065329022045
1,48,investor,0.0050670166575067935
1,49,buy,0.004965385215197874
1,50,pr,0.004952085396643027
1,51,securities fraud,0.004870718173694553
1,52,trading,0.004848942985889667
1,53,holdings nyse,0.0048238675587202245
1,54,nyse dv,0.0048238675587202245
1,55,news,0.004811624100111424
1,56,stock news,0.004811624100111424
1,57,10,0.004725663494830771
1,58,dv,0.004551304632943342
1,59,dv investors,0.004483071408723443
1,60,nyse,0.004410131123896917
1,61,analyst laura,0.00440941008359328
1,62,martin,0.00440941008359328
1,63,laura martin,0.00440941008359328
1,64,laura,0.00440941008359328
1,65,needham dv,0.00440941008359328
1,66,prominent,0.004263946460224586
1,67,announced,0.004263946460224586
1,68,shareholders,0.004236948053793482
1,69,shares doubleverify,0.004197656816445718
1,70,focus 2025,0.004139976718975773
1,71,price focus,0.004139976718975773
1,72,2025 value,0.004139976718975773
1,73,focus,0.004139976718975773
1,74,raymond,0.003936536907933429
1,75,raymond james,0.003936536907933429
1,76,james,0.0037970369516979185
1,77,newswire,0.003758362798722479
1,78,globe newswire,0.003758362798722479
1,79,globe,0.003758362798722479
1,80,2025 globe,0.003758362798722479
1,81,rating stock,0.0037199268416091033
1,82,stock,0.0037126857058342013
1,83,holdings dv,0.0036910147021946556
1,84,price target,0.0036877507571555714
1,85,shares resmed,0.003463239864734625
1,86,11,0.0033831521354249546
1,87,upcoming,0.0033132407060864027
1,88,14,0.0032722351186144356
1,89,llp,0.003210917342328609
1,90,maintaining,0.0031635133203316967
1,91,growth,0.003139628283820917
1,92,pomerantz,0.0031218267959667767
1,93,high,0.0030396227877721328
1,94,york june,0.0030190693951265657
1,95,dv price,0.002978396307520756
1,96,behalf investors,0.002847258019904361
1,97,ad,0.0028419587083104996
1,98,new,0.00281531682222392
1,99,new york,0.00281531682222392
1,100,opportunity,0.002792882387855969
2,1,share price,0.06309445972234784
2,2,share,0.06309445972234784
2,3,asx,0.05951696365190313
2,4,rmd,0.05687783562643066
2,5,media,0.04607090511121906
2,6,shares,0.0377017575702097
2,7,holdings dv,0.027735477721492492
2,8,national,0.0265135137368139
2,9,value,0.02379864537557195
2,10,lawsuit,0.023463543938254817
2,11,resmed cdi,0.02279943038163864
2,12,resmed,0.02279943038163864
2,13,cdi,0.02279943038163864
2,14,cdi asx,0.02279943038163864
2,15,rmd share,0.021953154765626277
2,16,law,0.02076458737204473
2,17,company,0.020488255958413176
2,18,action lawsuit,0.020045245547430812
2,19,price,0.019442725332524398
2,20,buy,0.01814539749589602
2,21,class,0.017343272908356626
2,22,action,0.017343272908356626
2,23,class action,0.017343272908356626
2,24,asx rmd,0.01722724023482534
2,25,12,0.01565706517083778
2,26,investors,0.01546652457234678
2,27,url,0.013629299738127855
2,28,offices,0.01335001367080215
2,29,law offices,0.01335001367080215
2,30,stock,0.013152266676190516
2,31,target,0.012893833447768724
2,32,fraud,0.012468353618962959
2,33,dv,0.011455220275427728
2,34,trading,0.011177407313435559
2,35,angeles,0.011093263142944485
2,36,prnewswire,0.010597170960941382
2,37,shares doubleverify,0.010173823997711844
2,38,investigation,0.010159869157580104
2,39,friday,0.010089480245063035
2,40,17,0.00992493551998526
2,41,focus 2025,0.009913214672162189
2,42,price focus,0.009913214672162189
2,43,2025 value,0.009913214672162189
2,44,focus,0.009913214672162189
2,45,behalf,0.009595936605223954
2,46,dv stock,0.009257222911658973
2,47,schall law,0.009152139646000555
2,48,schall,0.009152139646000555
2,49,llp,0.0091330540810391
2,50,11,0.008947499432621506
2,51,price target,0.008902166154269265
2,52,investor,0.008527930726008829
2,53,shares resmed,0.00841479498461668
2,54,rating,0.008238246727721204
2,55,securities fraud,0.007666481043781737
2,56,nyse dv,0.007595248428895386
2,57,holdings nyse,0.007595248428895386
2,58,dv investors,0.007466632885038667
2,59,june,0.0074590428564219975
2,60,pomerantz,0.007405552905666997
2,61,james,0.007267712404520297
2,62,securities,0.007125982417077402
2,63,stock news,0.006983448051413145
2,64,news,0.006983448051413145
2,65,high,0.006569923712916717
2,66,nyse,0.006449241194775703
2,67,york,0.006418083799689531
2,68,filed,0.006319151549715041
2,69,growth,0.006245993194117778
2,70,behalf investors,0.0061948488029977215
2,71,doubleverify,0.005692147608227944
2,72,rmd shares,0.005642106756453263
2,73,12 2025,0.005594540523190019
2,74,2025,0.005473642815131954
2,75,10,0.0052546583420204395
2,76,zip,0.005187997083878002
2,77,17 2025,0.005174677368931168
2,78,june 17,0.005174677368931168
2,79,doubleverify dv,0.005169411693897916
2,80,maintaining,0.005122147245116459
2,81,analyst,0.005024670580107261
2,82,intraday,0.004921907778714736
2,83,mid,0.004921907778714736
2,84,reached intraday,0.004921907778714736
2,85,day trading,0.004921907778714736
2,86,day,0.004921907778714736
2,87,reached,0.004921907778714736
2,88,mid day,0.004921907778714736
2,89,stock reached,0.004921907778714736
2,90,2025 prnewswire,0.004846270879030491
2,91,opportunity,0.0047725725398538605
2,92,platform,0.004504910193172591
2,93,needham,0.004480548183966792
2,94,newswire,0.0043262055884992585
2,95,globe,0.0043262055884992585
2,96,2025 globe,0.0043262055884992585
2,97,globe newswire,0.0043262055884992585
2,98,significant,0.004313164165677315
2,99,los,0.004270841236136609
2,100,los angeles,0.004270841236136609
