class,rank,token,mean_abs_shap
0,1,nvidia,0.05104021086317829
0,2,stocks,0.04004329185855287
0,3,amd,0.029769753215464163
0,4,lower,0.029400173469331808
0,5,tariffs,0.028724888546143905
0,6,trade,0.02851383565458195
0,7,shares,0.0264224033016988
0,8,day,0.02410592652542888
0,9,buy,0.023988268508703094
0,10,trump,0.023611682738652186
0,11,tensions,0.023065482529145403
0,12,nasdaq,0.021626216971295176
0,13,2025,0.021227978811424877
0,14,nvda,0.020414359607209248
0,15,500,0.019701744453571812
0,16,strong,0.01906438878952009
0,17,losses,0.017576851537839548
0,18,stock market,0.017413606708267103
0,19,amid,0.0164910431053011
0,20,dow,0.016472009868684315
0,21,market,0.01619568717321547
0,22,corporation,0.01579827533855518
0,23,com,0.014789424010320582
0,24,tech,0.014122108028520484
0,25,worst,0.013354664605777233
0,26,company,0.012926560598404893
0,27,tariff,0.012725076056689663
0,28,gains,0.011655815695797376
0,29,week,0.011085546346284003
0,30,war,0.010960469025951537
0,31,fears,0.010923431424783301
0,32,media,0.009950251852458578
0,33,tech stocks,0.009834257390084833
0,34,micro,0.009624229314563422
0,35,major,0.009171762767317649
0,36,concerns,0.009160038738335463
0,37,investors,0.009132893824699518
0,38,intel,0.008720323715659804
0,39,uncertainty,0.008543003033151832
0,40,nvidia corporation,0.008541970341598456
0,41,trade war,0.008480199848619882
0,42,hit,0.008465618531426496
0,43,billion,0.008177832795671726
0,44,best,0.0078382071878174
0,45,futures,0.007690213965573003
0,46,drop,0.007663417237306556
0,47,semiconductor,0.007649401698789854
0,48,long,0.007524801402607921
0,49,markets,0.007518378010432666
0,50,east,0.007466812182258728
0,51,middle east,0.007466812182258728
0,52,trade tensions,0.007307158963054361
0,53,february,0.007197443817147098
0,54,investing,0.007156226078096638
0,55,price,0.007131064474563468
0,56,high,0.007103331281815984
0,57,ceo,0.007086220612216075
0,58,advanced,0.007026739710498386
0,59,volatility,0.00696861551806317
0,60,falling,0.006754170354444547
0,61,stock,0.006676717716753851
0,62,recently,0.006598517422566278
0,63,chip,0.006563280181056691
0,64,middle,0.006514046215429542
0,65,growth,0.00647975171218962
0,66,rate,0.006363808827474365
0,67,significant,0.006360723977279136
0,68,dow jones,0.0062098469323087005
0,69,jones,0.0062098469323087005
0,70,years,0.0061552623671533215
0,71,cuts,0.006151306141427247
0,72,economy,0.00610259024696
0,73,lose,0.00581175918754703
0,74,close,0.005751904155342104
0,75,investment,0.005689964157293338
0,76,cramer,0.005635755491478179
0,77,indexes,0.00560990014061332
0,78,drops,0.0055425371005755125
0,79,dollar,0.005447582007176553
0,80,year,0.005432651208341165
0,81,business,0.005413804186490496
0,82,value,0.005390170552179706
0,83,dip,0.0053002378378638184
0,84,global,0.005254526660962611
0,85,new,0.005235871788345348
0,86,declines,0.005200252378493693
0,87,bitcoin price,0.005189357303263535
0,88,ai,0.0051375710183285215
0,89,corporation nvda,0.00500880634270465
0,90,china,0.0049220649994160615
0,91,rise,0.00487100240926546
0,92,broadcom,0.00480989155799585
0,93,higher,0.004808202555918182
0,94,points,0.004786599047584322
0,95,jim cramer,0.00478048715307667
0,96,positive,0.0047719080539469225
0,97,2024,0.00476152077503099
0,98,trillion,0.004620337817463709
0,99,economic,0.004619819052708208
0,100,lot,0.004603685758257005
1,1,nvidia,0.04597650106620351
1,2,500,0.04186368103652155
1,3,stock,0.03233384493873179
1,4,ai,0.03226636072368579
1,5,tech,0.026680327468137487
1,6,growth,0.025411177854518203
1,7,shares,0.024919981485224077
1,8,2025,0.022083391899835478
1,9,trade,0.02188671409606866
1,10,gains,0.019578182317041993
1,11,strong,0.018753938849051653
1,12,media,0.017159541570915076
1,13,micro,0.01642054189823608
1,14,stocks,0.015782248607740645
1,15,major,0.015195777928858435
1,16,advanced,0.014580556090651002
1,17,market,0.014460803990159107
1,18,best,0.013847284908296481
1,19,mixed,0.013830203054845969
1,20,nvda,0.013223401031947088
1,21,chip,0.012646094868864961
1,22,amid,0.012435218884744182
1,23,investing,0.012332088144476526
1,24,devices,0.0118159029087274
1,25,advanced micro,0.011165170764308638
1,26,today,0.011059393778492571
1,27,lower,0.011029816369304016
1,28,micro devices,0.010779044593070728
1,29,com,0.010313495251441486
1,30,2024,0.00999170336789615
1,31,report,0.009613019367941452
1,32,week,0.009367005781587275
1,33,tariffs,0.00920722613860209
1,34,trillion,0.009118742535749706
1,35,corporation,0.008488030381421149
1,36,points,0.008381464006656437
1,37,news,0.008365344482263101
1,38,investors,0.007826304651388154
1,39,earnings,0.0075423471336107314
1,40,markets,0.007520249831032326
1,41,higher,0.007437238835938271
1,42,deepseek,0.0073465064589675055
1,43,investing com,0.007092928427937981
1,44,market analysis,0.007075825929543928
1,45,industry,0.00695882718837321
1,46,nasdaq nvda,0.006958161529018539
1,47,rate,0.00693927552818647
1,48,tensions,0.0068775495444860805
1,49,demand,0.0068373385872613586
1,50,ahead,0.006718983932531563
1,51,year,0.006666203534713433
1,52,investment,0.006661954797457324
1,53,analysis,0.006592778192960576
1,54,worst,0.006571960792527837
1,55,february,0.006515895638414813
1,56,nvidia nvda,0.0064876175948379
1,57,early,0.006479091027137747
1,58,following,0.006341661477083985
1,59,china,0.006089654545240519
1,60,global,0.0060829958473114865
1,61,billion,0.00607052793653284
1,62,decision,0.0060648955094875215
1,63,nvidia nasdaq,0.006040603414425428
1,64,wednesday,0.006012154133498918
1,65,according,0.005938878472507871
1,66,amd,0.005933899755445266
1,67,high,0.005909934503562391
1,68,dow jones,0.005873825906937446
1,69,jones,0.005873825906937446
1,70,dip,0.005866524765505651
1,71,trump,0.005813301027872544
1,72,losses,0.005803786001707748
1,73,despite,0.005750333512097622
1,74,tariff,0.005742135009123156
1,75,index,0.0056926363358624065
1,76,trading,0.005675043294855092
1,77,long,0.005670519931160624
1,78,q4,0.005618949843760117
1,79,tech stocks,0.005582772749542821
1,80,results,0.00548196246877091
1,81,ceo,0.005472685493739653
1,82,price,0.0054660187487198045
1,83,street,0.005382164543260342
1,84,company,0.0053446502520544
1,85,wall,0.005261146044737348
1,86,fears,0.005223104855951972
1,87,session,0.005147748291519494
1,88,list,0.0050131259057356915
1,89,recently,0.00493064915190872
1,90,apple,0.004871014735187548
1,91,war,0.004806468299972176
1,92,share,0.004770616336723498
1,93,scheduled,0.004768097023631151
1,94,sell,0.004663051741100379
1,95,significant,0.004650316286278418
1,96,wall street,0.004643172070046442
1,97,business,0.004600187584118806
1,98,just,0.0045766223526787705
1,99,hold,0.004575727499921483
1,100,2025 stock,0.004526490263292456
2,1,shares,0.05134238478692255
2,2,strong,0.03781832763857208
2,3,amd,0.03570365297090983
2,4,growth,0.03189092956670767
2,5,gains,0.031233998012839458
2,6,trump,0.02942498376652469
2,7,ai,0.027128789705357145
2,8,micro,0.026044771212799692
2,9,stock,0.025657127221978056
2,10,stocks,0.024261043250812308
2,11,nasdaq,0.02335619467178826
2,12,day,0.022185976552114683
2,13,500,0.02216193658294972
2,14,best,0.021685492096113902
2,15,advanced,0.02160729580114954
2,16,buy,0.02081596891409124
2,17,tariffs,0.01951766240754182
2,18,lower,0.018370357100027695
2,19,company,0.018271210850459397
2,20,devices,0.01632592040487787
2,21,tensions,0.01618793298465925
2,22,advanced micro,0.014982274632904028
2,23,micro devices,0.014181928364455029
2,24,dow,0.013472263422590286
2,25,stock market,0.012893730499155561
2,26,tech,0.012558219439616984
2,27,investment,0.01235191895475073
2,28,concerns,0.01228455866699526
2,29,higher,0.012245441391856446
2,30,year,0.012098854743054615
2,31,losses,0.011773065536131907
2,32,global,0.011337522508274155
2,33,deepseek,0.011178552725539677
2,34,value,0.009876344268902947
2,35,ahead,0.00983237913382009
2,36,mixed,0.009646074211016568
2,37,early,0.00927009108155059
2,38,today,0.009087011037762828
2,39,session,0.008933491970427995
2,40,nvidia nvda,0.008928244925887395
2,41,futures,0.008733406233155725
2,42,microsoft,0.008048250716692733
2,43,drops,0.007942774416171722
2,44,jim cramer,0.0079196913573801
2,45,sell,0.007878549997321257
2,46,new,0.007770880217192475
2,47,positive,0.007766796019818619
2,48,fall,0.0076378961699773
2,49,surge,0.007489473111156407
2,50,intel,0.007375802749926499
2,51,volatility,0.007329337757814495
2,52,corporation,0.007310244957134137
2,53,nvidia nasdaq,0.007284406960796748
2,54,media,0.007209289718456477
2,55,nvda,0.007190958575262177
2,56,wednesday,0.007046279448109973
2,57,cramer,0.007032971546835718
2,58,semiconductor,0.007032580520900516
2,59,tariff,0.006982941047566447
2,60,hopes,0.006970473269428097
2,61,worst,0.0067827038132494
2,62,intelligence,0.006708235604225455
2,63,artificial,0.006708235604225455
2,64,artificial intelligence,0.006708235604225455
2,65,just,0.006705789304127594
2,66,trade,0.006627121558513226
2,67,results,0.006612811372786291
2,68,earnings,0.006581690008946992
2,69,share,0.006548694417542384
2,70,fed,0.006493568285983913
2,71,asian,0.006258869568299276
2,72,amazon,0.006166548931565419
2,73,war,0.006154000725979229
2,74,devices amd,0.006143996804223002
2,75,q4,0.006136004628010926
2,76,companies,0.0061063675295745445
2,77,chip,0.006082814687808274
2,78,major,0.0060240151615408005
2,79,news,0.0059782687737277695
2,80,record high,0.0059634100847138875
2,81,magnificent,0.005927197855043216
2,82,nasdaq nvda,0.005869275674232889
2,83,following,0.005856582832678246
2,84,jim,0.005855029279136296
2,85,close,0.005854297438422114
2,86,quantum,0.0057527422838731255
2,87,deal,0.005730127509773992
2,88,fears,0.005700326568831326
2,89,dollar,0.00555250293963795
2,90,palantir,0.005488247174028485
2,91,promising,0.005459669895279717
2,92,record,0.005394947620220018
2,93,like,0.005350283057925859
2,94,picks,0.005340030741363805
2,95,wall,0.005292155628222973
2,96,report,0.0052762770746667634
2,97,2024,0.005230182592865161
2,98,investing,0.0051758620663798355
2,99,better,0.005108281451170044
2,100,nvidia,0.005063709796974727
