class,rank,token,mean_abs_shap
0,1,2025,0.0633270855837502
0,2,conference,0.05593049565504943
0,3,2025 earnings,0.04256679915611429
0,4,q1,0.03971935060086457
0,5,interactive,0.03828684802882365
0,6,year,0.03226073148980433
0,7,key,0.027856425257954
0,8,results,0.02778216644214436
0,9,transcript,0.027359558602846203
0,10,tariff,0.02444008188362359
0,11,earnings,0.024370826624384067
0,12,investor,0.02434917815051783
0,13,2024,0.0242650620947729
0,14,metrics,0.023905158673415368
0,15,netflix,0.022304600519480154
0,16,pm,0.020625482807040657
0,17,quarter,0.02009466033934067
0,18,etcompany,0.01990786946656849
0,19,stocks,0.019690555694028396
0,20,shares,0.019685626354494303
0,21,compared,0.01925699539845264
0,22,market,0.01822662153076483
0,23,look,0.018074219228641088
0,24,13,0.01771392973226713
0,25,nflx,0.0174460420786531
0,26,losses,0.017366125976792553
0,27,nvidia,0.016877545659935184
0,28,metrics line,0.0164920988473052
0,29,nasdaq,0.016066250786574157
0,30,futures,0.015888533403972113
0,31,pm etcompany,0.015853107109691955
0,32,tariffs,0.014816204652568806
0,33,day,0.013926409202580566
0,34,earnings transcript,0.0136161698891929
0,35,land,0.013342258377217716
0,36,q4 earnings,0.012767728490281127
0,37,compared estimates,0.012729656656720904
0,38,earnings look,0.012729656656720904
0,39,trade,0.012476543117575447
0,40,uncertainty,0.01221593625092297
0,41,netflix nflx,0.012044430237906915
0,42,estimates,0.011847829104474725
0,43,lower,0.011147162786052876
0,44,war,0.010969776590675603
0,45,500,0.01066616323325022
0,46,buy,0.010174603797881904
0,47,trade war,0.009985896808644215
0,48,business,0.009984972587831252
0,49,key metrics,0.009865854752147704
0,50,ai,0.009731713619644039
0,51,investors,0.009687139019509301
0,52,energy,0.009657060586466934
0,53,december,0.009523383939115022
0,54,00,0.008970108441586357
0,55,look key,0.008401714994707843
0,56,ahead,0.0080770673864819
0,57,street,0.007996896428279806
0,58,oil,0.007955639941287687
0,59,amid,0.007823480612292027
0,60,major,0.007791323011511843
0,61,trump,0.007726945705829082
0,62,compare,0.007551367016901133
0,63,sense,0.007368478060274082
0,64,numbers,0.0071929995164984675
0,65,results conference,0.007138848475310487
0,66,trading,0.006965799313197257
0,67,friday,0.006649467954034787
0,68,dollar,0.006554640929962655
0,69,street estimates,0.006467748596903596
0,70,q1 2025,0.006401448717177041
