class,rank,token,mean_abs_shap
0,1,2025,0.039018065279228874
0,2,pr,0.021416116320235292
0,3,energy,0.018078139809804585
0,4,feb,0.013442370428616623
0,5,stock,0.01132731974219487
0,6,2025 prnewswire,0.010139924558387572
0,7,prnewswire,0.010139924558387572
0,8,earnings,0.009279360083232923
0,9,action lawsuit,0.008155389297811929
0,10,lawsuit,0.008155389297811929
0,11,class,0.00814915845333979
0,12,action,0.00814915845333979
0,13,class action,0.00814915845333979
0,14,financial,0.007889665400996277
0,15,resources,0.00739073595358103
0,16,water,0.006800474226801575
0,17,investor,0.005906350999239956
0,18,29,0.0052501079023743605
0,19,april,0.0052501079023743605
0,20,april 29,0.0052501079023743605
0,21,29 2025,0.0052501079023743605
0,22,common,0.004956219978783439
0,23,international,0.004218699185651482
0,24,eix,0.004218699185651482
0,25,edison international,0.004218699185651482
0,26,nyse,0.004128890510871283
0,27,offering,0.004126306980965062
0,28,nasdaq,0.004090312886002017
0,29,march,0.004044769030034754
0,30,company,0.0039954793006170995
0,31,common stock,0.003971412182176272
0,32,group,0.003818161370682855
0,33,electric,0.003766617092918832
0,34,quarter,0.0037416281816243864
0,35,dividend,0.003729439878627429
0,36,announces,0.003581153066096636
0,37,nextera energy,0.0035469008097517266
0,38,nextera,0.0035469008097517266
0,39,york,0.00342187802282899
0,40,25,0.003305720122866734
0,41,news,0.003161667868275701
0,42,stock news,0.003161667868275701
0,43,public offering,0.003082563885165585
0,44,public,0.003082563885165585
0,45,2024,0.0028546678898082162
0,46,shares,0.0028242986890261233
0,47,nrg,0.0027412088515472847
0,48,meeting,0.002682513000389614
0,49,investors,0.002585289131779054
0,50,limited,0.0025571817876882006
0,51,key,0.002519168621812105
0,52,q1,0.002511358184885836
0,53,conference,0.0024968949776564327
0,54,global,0.0024943787340961014
0,55,trading,0.0024879902059434323
0,56,buy,0.0024005545214286265
0,57,york feb,0.0023426721416032158
0,58,feb 25,0.0023426721416032158
0,59,25 2025,0.0023426721416032158
0,60,media,0.0022666329878523253
0,61,swx,0.0022160259060200476
0,62,announced,0.002202003902726453
0,63,ppl,0.002076657884732488
0,64,stocks,0.002065894727301492
0,65,centerpoint,0.0019280076412191316
0,66,million,0.0019126863039284699
0,67,revenue,0.0018970143055318247
0,68,operations,0.0018553572833542341
0,69,today,0.0018288833607424976
0,70,goals,0.001735357261675099
0,71,quarter 2025,0.001735304045299761
0,72,2025 earnings,0.0016773753224687295
0,73,new,0.0016554570241130882
0,74,corporation,0.0015566247034847756
0,75,best,0.0015343190476437972
0,76,10,0.0015328162215958844
0,77,corporate,0.0015232788386561596
0,78,ahead,0.0015172439048725653
0,79,prices,0.001513293847406918
0,80,results,0.0015082018037618158
0,81,offering common,0.0014842052418216156
0,82,release,0.001452987748719453
0,83,gas,0.001429492550403667
0,84,power,0.0014172134604842786
0,85,february,0.0013316684779828111
0,86,day,0.0013053234200115962
0,87,edison,0.0012648525511468752
0,88,news summary,0.0011730392803945187
0,89,summary,0.0011730392803945187
0,90,houston,0.0011457270605494349
0,91,article,0.0011342665101885172
0,92,nee,0.0011072557026431567
0,93,market,0.0010913066779165135
0,94,q4,0.0010734428254592279
0,95,investment,0.0010439500949761837
0,96,expected,0.001034668712197362
0,97,q1 2025,0.0009608332841066051
0,98,nfe,0.0009543682688085928
0,99,new fortress,0.0009543682688085928
0,100,fortress,0.0009543682688085928
1,1,energy,0.09121033732709993
1,2,earnings,0.05753882325541973
1,3,water,0.036496888253432384
1,4,group,0.027213372977006024
1,5,quarter,0.026166545114430628
1,6,nasdaq,0.02554753277340366
1,7,media,0.024046526725094854
1,8,swx,0.021415321016233644
1,9,global,0.020392578151813452
1,10,stock,0.017578046781733147
1,11,conference,0.01679774088864831
1,12,power,0.01668379990840535
1,13,public offering,0.01652597639051174
1,14,public,0.01652597639051174
1,15,company,0.016451239048697414
1,16,2025,0.01605792395156851
1,17,nyse,0.015970471718937472
1,18,release,0.015301221601133895
1,19,quarter 2025,0.015078062284174366
1,20,nextera energy,0.014496952657453542
1,21,nextera,0.014496952657453542
1,22,shares,0.01404900242904904
1,23,feb,0.013975515034531275
1,24,new,0.012927154601242455
1,25,buy,0.012740812481906321
1,26,houston,0.012479138552393224
1,27,revenue,0.012180425316647928
1,28,pr,0.011910862443555645
1,29,2025 earnings,0.011807224245325102
1,30,offering,0.01159480968591213
1,31,nrg,0.01148317169004331
1,32,common stock,0.011385613019247202
1,33,march,0.011370797292376743
1,34,results,0.010468685587616561
1,35,centerpoint,0.010213284456450448
1,36,trading,0.010130184245092537
1,37,southwest,0.008895819005754873
1,38,southwest gas,0.008895819005754873
1,39,ahead,0.008858967477156584
1,40,2024,0.00881698249557853
