date,industry,sent_mean
2025-01-02,Communication Services,-0.5
2025-01-02,Consumer Cyclical,0.0
2025-01-02,Energy,-1.0
2025-01-02,Technology,0.3
2025-01-03,Communication Services,1.0
2025-01-03,Consumer Cyclical,0.25
2025-01-03,Financial Services,1.0
2025-01-03,Technology,0.3684210526315789
2025-01-04,Communication Services,0.0
2025-01-04,Consumer Cyclical,1.0
2025-01-04,Healthcare,0.5
2025-01-04,Industrials,1.0
2025-01-04,Technology,0.5789473684210527
2025-01-05,Industrials,0.0
2025-01-05,Technology,0.6470588235294118
2025-01-06,Communication Services,0.0
2025-01-06,Financial Services,1.0
2025-01-06,Healthcare,0.0
2025-01-06,Industrials,0.0
2025-01-06,Services,1.0
2025-01-06,Technology,0.42105263157894735
2025-01-07,Communication Services,0.3333333333333333
2025-01-07,Consumer Cyclical,0.2
2025-01-07,Energy,0.25
2025-01-07,Financial Services,0.5
2025-01-07,Healthcare,0.3333333333333333
2025-01-07,Industrials,0.3333333333333333
2025-01-07,Real Estate,1.0
2025-01-07,Services,0.0
2025-01-07,Technology,0.35
2025-01-07,Utilities,1.0
2025-01-08,Technology,0.06666666666666667
2025-01-09,Services,1.0
2025-01-14,Communication Services,0.6666666666666666
2025-01-14,Consumer Cyclical,0.0
2025-01-14,Energy,0.6666666666666666
2025-01-14,Financial Services,0.0
2025-01-14,Healthcare,0.3333333333333333
2025-01-14,Industrials,0.3333333333333333
2025-01-14,Real Estate,0.6666666666666666
2025-01-14,Utilities,0.6666666666666666
2025-01-17,Services,1.0
2025-01-21,Communication Services,0.5
2025-01-21,Consumer Cyclical,1.0
2025-01-21,Energy,0.3333333333333333
2025-01-21,Financial Services,0.6666666666666666
2025-01-21,Healthcare,0.0
2025-01-21,Industrials,0.0
2025-01-21,Real Estate,0.3333333333333333
2025-01-21,Utilities,0.6666666666666666
2025-01-25,Services,1.0
2025-01-27,Services,1.0
2025-01-28,Communication Services,0.3333333333333333
2025-01-28,Consumer Cyclical,0.0
2025-01-28,Energy,-0.6666666666666666
2025-01-28,Financial Services,-0.5
2025-01-28,Healthcare,0.3333333333333333
2025-01-28,Industrials,0.0
2025-01-28,Real Estate,0.6666666666666666
2025-01-28,Utilities,0.3333333333333333
2025-02-01,Services,1.0
2025-02-02,Technology,0.5
2025-02-03,Communication Services,0.5
2025-02-03,Consumer Cyclical,-1.0
2025-02-03,Technology,0.14285714285714285
2025-02-04,Communication Services,0.3333333333333333
2025-02-04,Consumer Cyclical,0.0
2025-02-04,Energy,0.6666666666666666
2025-02-04,Financial Services,0.3333333333333333
2025-02-04,Healthcare,0.25
2025-02-04,Industrials,0.3333333333333333
2025-02-04,Real Estate,0.3333333333333333
2025-02-04,Technology,0.6153846153846154
2025-02-04,Utilities,1.0
2025-02-05,Communication Services,0.0
2025-02-05,Technology,0.16666666666666666
2025-02-06,Communication Services,0.5
2025-02-06,Consumer Cyclical,1.0
2025-02-06,Industrials,0.0
2025-02-06,Technology,0.09090909090909091
2025-02-07,Communication Services,-1.0
2025-02-07,Consumer Cyclical,1.0
2025-02-07,Consumer Defensive,0.0
2025-02-07,Financial Services,0.0
2025-02-07,Healthcare,-1.0
2025-02-07,Technology,0.23076923076923078
2025-02-08,Technology,0.75
2025-02-09,Communication Services,-1.0
2025-02-09,Technology,-0.25
2025-02-10,Communication Services,1.0
2025-02-10,Consumer Cyclical,1.0
2025-02-10,Industrials,-1.0
2025-02-10,Technology,0.14285714285714285
2025-02-11,Communication Services,0.16666666666666666
2025-02-11,Consumer Cyclical,0.6666666666666666
2025-02-11,Energy,0.3333333333333333
2025-02-11,Financial Services,0.2
2025-02-11,Healthcare,0.5
2025-02-11,Industrials,1.0
2025-02-11,Real Estate,1.0
2025-02-11,Technology,0.0
2025-02-11,Utilities,1.0
2025-02-12,Communication Services,-0.5
2025-02-12,Consumer Cyclical,1.0
2025-02-12,Industrials,0.0
2025-02-12,Technology,0.4166666666666667
2025-02-13,Communication Services,1.0
2025-02-13,Consumer Cyclical,1.0
2025-02-13,Consumer Defensive,0.0
2025-02-13,Technology,0.2727272727272727
2025-02-14,Consumer Cyclical,0.0
2025-02-14,Technology,0.35714285714285715
2025-02-15,Consumer Cyclical,1.0
2025-02-15,Technology,1.0
2025-02-16,Technology,0.6666666666666666
2025-02-17,Communication Services,1.0
2025-02-17,Consumer Cyclical,1.0
2025-02-17,Services,0.0
2025-02-17,Technology,0.5833333333333334
2025-02-18,Communication Services,0.5
2025-02-18,Consumer Cyclical,-0.25
2025-02-18,Energy,0.6666666666666666
