class,rank,token,mean_abs_shap
0,1,tariff,0.0343710511979464
0,2,shares,0.034054668110265064
0,3,stocks,0.03139367204742333
0,4,losses,0.02707923784453977
0,5,futures,0.027070365628231636
0,6,nvidia,0.026474340874362758
0,7,tariffs,0.025568636202435952
0,8,market,0.025276703333761995
0,9,trade,0.022200740698446825
0,10,energy,0.021653364894070288
0,11,lower,0.020811548303783952
0,12,day,0.02067657202304049
0,13,500,0.02027757264511795
0,14,war,0.020170674790366987
0,15,trump,0.01942293107359418
0,16,ai,0.01875985115559424
0,17,2025,0.018719884694981277
0,18,uncertainty,0.018491760444628542
0,19,buy,0.01820276152800175
0,20,media,0.01560816913704533
0,21,nasdaq,0.014442892245710092
0,22,amid,0.013744123867257397
0,23,trade war,0.013539275771889916
0,24,major,0.013528805453427807
0,25,investors,0.013481769959722898
0,26,ahead,0.012441024387473071
0,27,worst,0.011883641206290572
0,28,oil,0.01152941057299983
0,29,year,0.011187089687333975
0,30,trading,0.011113889527194637
0,31,strong,0.010622522434626507
0,32,dow,0.010378988257660027
0,33,dollar,0.010103403461807568
0,34,recently,0.01000472574316051
0,35,news,0.009943663386799551
0,36,growth,0.0099299663447494
0,37,trillion,0.009764212977268896
0,38,drops,0.00975936830875239
0,39,2024,0.0097513629422237
0,40,announces,0.009666152259563295
0,41,session,0.00957523745888854
0,42,sell,0.008947396709140194
0,43,concerns,0.008852685977215722
0,44,earnings,0.008606529908979954
0,45,stock market,0.008597550097815784
0,46,markets,0.008511410253453575
0,47,economy,0.008486119606887938
0,48,com,0.00824200142674455
0,49,company,0.008142983154273347
0,50,falling,0.008124182096256309
0,51,tensions,0.00802986148425038
0,52,gains,0.0076371779758603485
0,53,stock,0.007380970666322738
0,54,friday,0.007359762817167318
0,55,drop,0.007357604142172711
0,56,years,0.00715627404351013
0,57,micro,0.006993351107461986
0,58,week,0.006927739621985188
0,59,billion,0.006758275085060566
0,60,jim cramer,0.0066297749229811895
0,61,declines,0.006627483112641544
0,62,jim,0.006549791805925754
0,63,law,0.00653116464573149
0,64,long,0.006505975449283075
0,65,conference,0.006471514888886557
0,66,fears,0.006424297744597219
0,67,fed,0.006422986973793135
0,68,inflation,0.006351029263413902
0,69,stocks buy,0.00630174944433592
0,70,best,0.006296811051485493
0,71,know,0.006219517132877701
0,72,article,0.006026207676810018
0,73,investing,0.006007463297333979
0,74,recession,0.005990045755085779
0,75,high,0.005936112301871927
0,76,hold,0.005909327334918418
0,77,offering,0.005854835749305731
0,78,trump tariffs,0.005847200321972017
0,79,economic,0.005826501195279934
0,80,technologies,0.005798307687924909
0,81,mixed,0.005797339620512317
0,82,announced,0.005755142313743191
0,83,analysis,0.005548980288309884
0,84,10,0.005482352323575554
0,85,quarter,0.005405796791429057
0,86,tech stocks,0.005373439440297253
0,87,nvidia stock,0.005305713341525764
0,88,indexes,0.005282981128463121
0,89,optimism,0.005277920113515418
0,90,gold,0.005272411080013204
0,91,positive,0.005235721861540224
0,92,semiconductor,0.005224614133056698
0,93,cramer,0.0051028442718331025
0,94,trading day,0.005052453095809589
0,95,stock news,0.005019653703178916
0,96,middle,0.005014352231243197
0,97,dividend,0.004998772710548524
0,98,list,0.004825339172196181
0,99,middle east,0.004707318253172988
0,100,east,0.004707318253172988
1,1,2025,0.05136747968706559
1,2,shares,0.039950823803540716
1,3,energy,0.039769213281868505
1,4,ai,0.03909156170660979
1,5,nvidia,0.03894047806441432
1,6,stock,0.034143238298538874
1,7,earnings,0.0326002707253123
1,8,market,0.030672317452362922
1,9,media,0.029756645758576714
1,10,500,0.025000521517020424
1,11,stocks,0.02457832722637194
1,12,tech,0.024439923056470067
1,13,gains,0.023917604305511337
1,14,growth,0.023295045238028923
1,15,futures,0.021545172388561015
1,16,amid,0.018290209059301826
1,17,announces,0.017149294296311804
1,18,trade,0.016517768256890997
1,19,trading,0.015878555474399595
1,20,tariff,0.01502764163234975
1,21,best,0.014005658933123725
1,22,amd,0.013792062126762131
